MetroArea,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces
"Atlanta-Sandy Springs-Roswell, GA Metro Area",5790210,2796566,48.3,2993644,51.7,373866,6.5,401301,6.9,420861,7.3,406274,7,379995,6.6,806854,13.9,822092,14.2,839061,14.5,366054,6.3,304776,5.3,427652,7.4,178678,3.1,62746,1.1,4342280,4342280,2062383,47.5,2279897,52.5,669076,669076,288377,43.1,380699,56.9,5636941,97.4,3104150,53.6,1970242,34,23324,0.4,330979,5.7,2732,0,609696,10.5,205514,3.5,153269,2.6
"Baltimore-Columbia-Towson, MD Metro Area",2798886,1350187,48.2,1448699,51.8,168065,6,170786,6.1,172864,6.2,173731,6.2,185450,6.6,404493,14.5,348959,12.5,390364,13.9,196810,7,174869,6.2,241997,8.6,114425,4.1,56073,2,2181555,2181555,1035036,47.4,1146519,52.6,412495,412495,176012,42.7,236483,57.3,2710252,96.8,1700012,60.7,814885,29.1,6621,0.2,151431,5.4,1474,0.1,157327,5.6,35829,1.3,88634,3.2
"Boston-Cambridge-Newton, MA-NH Metro Area",4794447,2329810,48.6,2464637,51.4,256221,5.3,252639,5.3,285906,6,318869,6.7,347661,7.3,706920,14.7,595391,12.4,680170,14.2,336959,7,295144,6.2,411330,8.6,206884,4.3,100353,2.1,3824917,3824917,1834208,48,1990709,52,718567,718567,309155,43,409412,57,4640225,96.8,3671796,76.6,391465,8.2,8169,0.2,373970,7.8,1502,0,518663,10.8,193323,4,154222,3.2
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1132804,549979,48.6,582825,51.4,60818,5.4,61539,5.4,66268,5.8,73375,6.5,75995,6.7,154523,13.6,125354,11.1,154746,13.7,80893,7.1,83560,7.4,108439,9.6,58435,5.2,28859,2.5,901067,901067,431173,47.9,469894,52.1,195733,195733,83547,42.7,112186,57.3,1104580,97.5,904141,79.8,136141,12,6976,0.6,36214,3.2,546,0,54985,4.9,20562,1.8,28224,2.5
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2474314,1198240,48.4,1276074,51.6,155152,6.3,163579,6.6,176955,7.2,167657,6.8,150189,6.1,339304,13.7,347967,14.1,358121,14.5,155712,6.3,139245,5.6,197743,8,90458,3.7,32232,1.3,1875014,1875014,894710,47.7,980304,52.3,320433,320433,138465,43.2,181968,56.8,2417869,97.7,1667681,67.4,558245,22.6,8895,0.4,86593,3.5,1381,0.1,245765,9.9,95074,3.8,56445,2.3
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9512968,4657742,49,4855226,51,583441,6.1,610485,6.4,632648,6.7,632950,6.7,644784,6.8,1357964,14.3,1268554,13.3,1294255,13.6,631600,6.6,571618,6,749522,7.9,366153,3.8,168994,1.8,7295467,7295467,3525691,48.3,3769776,51.7,1284669,1284669,551683,42.9,732986,57.1,9262384,97.4,6202988,65.2,1577873,16.6,24650,0.3,617341,6.5,3677,0,2099428,22.1,835855,8.8,250584,2.6
"Cincinnati, OH-KY-IN Metro Area",2161441,1059514,49,1101927,51,136294,6.3,146568,6.8,140815,6.5,147749,6.8,144850,6.7,286736,13.3,266338,12.3,292069,13.5,148820,6.9,140278,6.5,182042,8.4,89797,4.2,39085,1.8,1648597,1648597,796430,48.3,852167,51.7,310924,310924,135606,43.6,175318,56.4,2111286,97.7,1766311,81.7,267296,12.4,2331,0.1,53478,2.5,370,0,66582,3.1,21500,1,50155,2.3
"Cleveland-Elyria, OH Metro Area",2055612,991015,48.2,1064597,51.8,116095,5.6,120380,5.9,124528,6.1,130441,6.3,130151,6.3,256513,12.5,237909,11.6,281714,13.7,162036,7.9,138594,6.7,199584,9.7,104416,5.1,53251,2.6,1613669,1613669,766345,47.5,847324,52.5,357251,357251,152288,42.6,204963,57.4,1992052,96.9,1508646,73.4,406835,19.8,3765,0.2,43359,2.1,589,0,115895,5.6,28858,1.4,63560,3.1
"Dallas-Fort Worth-Arlington, TX Metro Area",7232599,3555393,49.2,3677206,50.8,511685,7.1,541383,7.5,539572,7.5,508348,7,479089,6.6,1062280,14.7,1018032,14.1,981383,13.6,438940,6.1,369825,5.1,483301,6.7,220038,3,78723,1.1,5320066,5320066,2577856,48.5,2742210,51.5,782062,782062,341809,43.7,440253,56.3,7008610,96.9,5006420,69.2,1115545,15.4,29526,0.4,473365,6.5,6458,0.1,2065087,28.6,377296,5.2,223989,3.1
"Denver-Aurora-Lakewood, CO Metro Area",2853077,1424838,49.9,1428239,50.1,177459,6.2,188583,6.6,186524,6.5,171729,6,172574,6,464262,16.3,410989,14.4,383963,13.5,186579,6.5,160228,5.6,217419,7.6,94683,3.3,38085,1.3,2191741,2191741,1085689,49.5,1106052,50.5,350187,350187,156968,44.8,193219,55.2,2760828,96.8,2304110,80.8,166510,5.8,22543,0.8,120979,4.2,2931,0.1,653765,22.9,143755,5,92249,3.2
"Detroit-Warren-Dearborn, MI Metro Area",4297617,2090856,48.7,2206761,51.3,253332,5.9,261710,6.1,273667,6.4,275818,6.4,271603,6.3,555624,12.9,520996,12.1,616925,14.4,325471,7.6,278419,6.5,388226,9,185207,4.3,90619,2.1,3329461,3329461,1595903,47.9,1733558,52.1,664052,664052,286542,43.2,377510,56.8,4180060,97.3,2980932,69.4,954847,22.2,11088,0.3,178110,4.1,837,0,186563,4.3,54246,1.3,117557,2.7
"Green Bay, WI Metro Area",318236,159584,50.1,158652,49.9,19883,6.2,21770,6.8,19911,6.3,20694,6.5,20179,6.3,41293,13,38865,12.2,44325,13.9,23552,7.4,20674,6.5,27137,8.5,14417,4.5,5536,1.7,243673,243673,120549,49.5,123124,50.5,47090,47090,21504,45.7,25586,54.3,308143,96.8,277280,87.1,6211,2,7564,2.4,8104,2.5,22,0,23432,7.4,8962,2.8,10093,3.2
"Houston-The Woodlands-Sugar Land, TX Metro Area",6772470,3364026,49.7,3408444,50.3,505962,7.5,513970,7.6,501430,7.4,473925,7,451844,6.7,1020911,15.1,959403,14.2,876152,12.9,418784,6.2,344372,5.1,444968,6.6,186743,2.8,74006,1.1,4953873,4953873,2435306,49.2,2518567,50.8,705717,705717,315440,44.7,390277,55.3,6622405,97.8,4434172,65.5,1172202,17.3,28709,0.4,516300,7.6,4488,0.1,2490600,36.8,466534,6.9,150065,2.2
"Indianapolis-Carmel-Anderson, IN Metro Area",2001737,973728,48.6,1028009,51.4,136335,6.8,141837,7.1,138278,6.9,131137,6.6,127784,6.4,287366,14.4,261471,13.1,270651,13.5,130183,6.5,116303,5.8,154243,7.7,75816,3.8,30333,1.5,1500899,1500899,721023,48,779876,52,260392,260392,112588,43.2,147804,56.8,1949420,97.4,1535618,76.7,300851,15,4782,0.2,59656,3,336,0,132598,6.6,48177,2.4,52317,2.6
"Jacksonville, FL Metro Area",1478212,720246,48.7,757966,51.3,91166,6.2,92467,6.3,94353,6.4,90797,6.1,91690,6.2,214805,14.5,187930,12.7,199174,13.5,100678,6.8,92878,6.3,137066,9.3,57947,3.9,27261,1.8,1143057,1143057,548180,48,594877,52,222274,222274,98410,44.3,123864,55.7,1427373,96.6,1031677,69.8,314206,21.3,2918,0.2,52983,3.6,1545,0.1,125087,8.5,24044,1.6,50839,3.4
