MetroArea,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces
"Kansas City, MO-KS Metro Area",2104115,1032437,49.1,1071678,50.9,137865,6.6,143275,6.8,148125,7,135279,6.4,125441,6,290508,13.8,278452,13.2,280504,13.3,142634,6.8,125768,6,174275,8.3,82961,3.9,39028,1.9,1587433,1587433,768373,48.4,819060,51.6,296264,296264,129488,43.7,166776,56.3,2037716,96.8,1649262,78.4,260749,12.4,7875,0.4,58240,2.8,4448,0.2,186849,8.9,57142,2.7,66399,3.2
"Las Vegas-Henderson-Paradise, NV Metro Area",2155664,1076144,49.9,1079520,50.1,138602,6.4,143042,6.6,141116,6.5,130839,6.1,137659,6.4,320855,14.9,298072,13.8,289972,13.5,129489,6,122371,5.7,189191,8.8,87657,4.1,26799,1.2,1648780,1648780,816774,49.5,832006,50.5,303647,303647,141667,46.7,161980,53.3,2044476,94.8,1330054,61.7,247427,11.5,13583,0.6,211925,9.8,17783,0.8,666280,30.9,223704,10.4,111188,5.2
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13310447,6559967,49.3,6750480,50.7,817178,6.1,810821,6.1,821769,6.2,864009,6.5,958945,7.2,2067068,15.5,1797594,13.5,1842362,13.8,847343,6.4,731587,5.5,992844,7.5,518707,3.9,240220,1.8,10344691,10344691,5044037,48.8,5300654,51.2,1751771,1751771,761244,43.5,990527,56.5,12799423,96.2,7080092,53.2,880118,6.6,78813,0.6,2112197,15.9,36895,0.3,6005521,45.1,2611308,19.6,511024,3.8
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6066387,2943550,48.5,3122837,51.5,343412,5.7,336863,5.6,343808,5.7,349394,5.8,364042,6,822112,13.6,792887,13.1,872953,14.4,413113,6.8,351130,5.8,567665,9.4,337968,5.6,171040,2.8,4827097,4827097,2312177,47.9,2514920,52.1,1076673,1076673,461987,42.9,614686,57.1,5933625,97.8,4263038,70.3,1288585,21.2,12487,0.2,151537,2.5,3527,0.1,2693672,44.4,214451,3.5,132762,2.2
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3551036,1759481,49.5,1791555,50.5,232062,6.5,243167,6.8,231345,6.5,225362,6.3,222536,6.3,516542,14.5,464674,13.1,488050,13.7,245776,6.9,216338,6.1,274012,7.7,127122,3.6,64050,1.8,2702693,2702693,1325678,49.1,1377015,50.9,465184,465184,206032,44.3,259152,55.7,3432341,96.7,2809022,79.1,287397,8.1,21916,0.6,227212,6.4,1151,0,204034,5.7,85643,2.4,118695,3.3
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1865535,907579,48.6,957956,51.4,120749,6.5,123878,6.6,122805,6.6,117732,6.3,129168,6.9,279480,15,255384,13.7,251658,13.5,118865,6.4,107800,5.8,147516,7.9,67497,3.6,23003,1.2,1426996,1426996,684864,48,742132,52,238016,238016,104345,43.8,133671,56.2,1823017,97.7,1460806,78.3,285059,15.3,4851,0.3,51399,2.8,1224,0.1,131729,7.1,19678,1.1,42518,2.3
"New Orleans-Metairie, LA Metro Area",1268883,612890,48.3,655993,51.7,78463,6.2,78804,6.2,79116,6.2,75933,6,76830,6.1,193859,15.3,162132,12.8,165419,13,90933,7.2,81411,6.4,112598,8.9,49628,3.9,23757,1.9,985080,985080,469200,47.6,515880,52.4,185983,185983,80984,43.5,104999,56.5,1243310,98,728536,57.4,442404,34.9,4704,0.4,36865,2.9,511,0,111119,8.8,30290,2.4,25573,2
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",20153634,9752250,48.4,10401384,51.6,1220380,6.1,1220555,6.1,1198560,5.9,1234643,6.1,1337002,6.6,2964036,14.7,2642569,13.1,2815062,14,1342070,6.7,1212833,6,1672677,8.3,857670,4.3,435577,2.2,15760226,15760226,7507946,47.6,8252280,52.4,2965924,2965924,1248975,42.1,1716949,57.9,19537758,96.9,11704438,58.1,3430610,17,60590,0.3,2215765,11,9815,0,4895817,24.3,2116540,10.5,615876,3.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6070500,2937275,48.4,3133225,51.6,358607,5.9,367475,6.1,376914,6.2,392544,6.5,402870,6.6,860978,14.2,738346,12.2,835772,13.8,433878,7.1,381629,6.3,524212,8.6,263902,4.3,133373,2.2,4733527,4733527,2253973,47.6,2479554,52.4,921487,921487,392024,42.5,529463,57.5,5898228,97.2,4057149,66.8,1260847,20.8,12998,0.2,355212,5.9,2167,0,559407,9.2,209855,3.5,172272,2.8
"Phoenix-Mesa-Scottsdale, AZ Metro Area",4661537,2315323,49.7,2346214,50.3,306207,6.6,318453,6.8,320299,6.9,315078,6.8,306940,6.6,661984,14.2,607853,13,590164,12.7,274510,5.9,256710,5.5,414263,8.9,210772,4.5,78304,1.7,3523182,3523182,1734274,49.2,1788908,50.8,703339,703339,319853,45.5,383486,54.5,4496444,96.5,3565081,76.5,249321,5.3,104096,2.2,177288,3.8,11165,0.2,1425459,30.6,389493,8.4,165093,3.5
"Pittsburgh, PA Metro Area",2342299,1140583,48.7,1201716,51.3,119875,5.1,119525,5.1,127830,5.5,138725,5.9,139501,6,311564,13.3,266096,11.4,315109,13.5,185666,7.9,171533,7.3,245217,10.5,130843,5.6,70815,3,1894322,1894322,911047,48.1,983275,51.9,446875,446875,191331,42.8,255544,57.2,2284573,97.5,2032618,86.8,187693,8,1652,0.1,52885,2.3,727,0,39605,1.7,8998,0.4,57726,2.5
"San Francisco-Oakland-Hayward, CA Metro Area",4679166,2311693,49.4,2367473,50.6,259996,5.6,264726,5.7,260951,5.6,252986,5.4,274918,5.9,754118,16.1,675265,14.4,660966,14.1,308745,6.6,281818,6,394834,8.4,191503,4.1,98340,2.1,3739464,3739464,1831888,49,1907576,51,684677,684677,300695,43.9,383982,56.1,4385071,93.7,2340479,50,339263,7.3,19711,0.4,1196801,25.6,31876,0.7,1023359,21.9,456941,9.8,294095,6.3
"Seattle-Tacoma-Bellevue, WA Metro Area",3798902,1897442,49.9,1901460,50.1,237845,6.3,238228,6.3,217744,5.7,217753,5.7,241601,6.4,621672,16.4,535813,14.1,522552,13.8,246815,6.5,229549,6,295704,7.8,130404,3.4,63222,1.7,2971252,2971252,1476038,49.7,1495214,50.3,489330,489330,217720,44.5,271610,55.5,3544202,93.3,2621458,69,210964,5.6,30043,0.8,494718,13,33491,0.9,374259,9.9,153528,4,254700,6.7
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3032171,1467733,48.4,1564438,51.6,165768,5.5,167805,5.5,173872,5.7,173574,5.7,171615,5.7,397731,13.1,369180,12.2,417079,13.8,209804,6.9,200648,6.6,328028,10.8,181000,6,76067,2.5,2417167,2417167,1154273,47.8,1262894,52.2,585095,585095,261521,44.7,323574,55.3,2941545,97,2370888,78.2,363562,12,9427,0.3,102940,3.4,2289,0.1,565338,18.6,92439,3,90626,3
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6133552,2998343,48.9,3135209,51.1,399485,6.5,406174,6.6,381825,6.2,386089,6.3,396743,6.5,914453,14.9,881476,14.4,881563,14.4,398421,6.5,341306,5.6,456083,7.4,204266,3.3,85668,1.4,4713325,4713325,2271729,48.2,2441596,51.8,746017,746017,324684,43.5,421333,56.5,5892416,96.1,3308818,53.9,1559363,25.4,18553,0.3,616946,10.1,3654,0.1,948418,15.5,385082,6.3,241136,3.9
