Year,City,State,Team,PositionInLeague,InSuperBowl,WonSuperBowl,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
2016,Phoenix,Arizona,Cardinals,20,0,0,4661537,2315323,49.7,2346214,50.3,306207,6.6,318453,6.8,320299,6.9,315078,6.8,306940,6.6,661984,14.2,607853,13,590164,12.7,274510,5.9,256710,5.5,414263,8.9,210772,4.5,78304,1.7,3523182,3523182,1734274,49.2,1788908,50.8,703339,703339,319853,45.5,383486,54.5,4496444,96.5,3565081,76.5,249321,5.3,104096,2.2,177288,3.8,11165,0.2,1425459,30.6,389493,8.4,165093,3.5,355371,2293971,319684,531621,799268,740648,33.5,71.9,75.4,74.8,76.5,76.7,68.4,51.3,21.9,5.2,72.5,78.2,66.7,40.7,78.8,72.5,57.2,67.2,73.9,81.5,19.1,8.5,5.9,6.1,4,4.3,4,3.3,4.1,5.6,5.1,5.1,5.1,20.2,3.6,4.6,8,5.8,4.4,3.1
2016,Los Angeles,California,Rams,28,0,0,13310447,6559967,49.3,6750480,50.7,817178,6.1,810821,6.1,821769,6.2,864009,6.5,958945,7.2,2067068,15.5,1797594,13.5,1842362,13.8,847343,6.4,731587,5.5,992844,7.5,518707,3.9,240220,1.8,10344691,10344691,5044037,48.8,5300654,51.2,1751771,1751771,761244,43.5,990527,56.5,12799423,96.2,7080092,53.2,880118,6.6,78813,0.6,2112197,15.9,36895,0.3,6005521,45.1,2611308,19.6,511024,3.8,1079393,7098235,1379405,1450381,1958281,2497887,20.4,62.3,77.3,78.6,78.1,76.6,69.4,55.5,26.7,6.3,73,79.6,66.4,40.3,78.5,74.4,63.8,70.3,75,82.1,24.5,10.3,6.5,5.3,4.9,4.9,5.2,4.9,4.4,6.8,5.8,5.5,6.1,19.6,4.4,5.2,6.5,6,5.3,4.2
2016,Los Angeles,California,Chargers,27,0,0,13310447,6559967,49.3,6750480,50.7,817178,6.1,810821,6.1,821769,6.2,864009,6.5,958945,7.2,2067068,15.5,1797594,13.5,1842362,13.8,847343,6.4,731587,5.5,992844,7.5,518707,3.9,240220,1.8,10344691,10344691,5044037,48.8,5300654,51.2,1751771,1751771,761244,43.5,990527,56.5,12799423,96.2,7080092,53.2,880118,6.6,78813,0.6,2112197,15.9,36895,0.3,6005521,45.1,2611308,19.6,511024,3.8,1079393,7098235,1379405,1450381,1958281,2497887,20.4,62.3,77.3,78.6,78.1,76.6,69.4,55.5,26.7,6.3,73,79.6,66.4,40.3,78.5,74.4,63.8,70.3,75,82.1,24.5,10.3,6.5,5.3,4.9,4.9,5.2,4.9,4.4,6.8,5.8,5.5,6.1,19.6,4.4,5.2,6.5,6,5.3,4.2
2016,San Francisco,California,49ers,31,0,0,4679166,2311693,49.4,2367473,50.6,259996,5.6,264726,5.7,260951,5.6,252986,5.4,274918,5.9,754118,16.1,675265,14.4,660966,14.1,308745,6.6,281818,6,394834,8.4,191503,4.1,98340,2.1,3739464,3739464,1831888,49,1907576,51,684677,684677,300695,43.9,383982,56.1,4385071,93.7,2340479,50,339263,7.3,19711,0.4,1196801,25.6,31876,0.7,1023359,21.9,456941,9.8,294095,6.3,252680,2685124,272492,395906,650964,1361550,24.6,66.4,81,83.2,81.9,80,73.2,58.2,28.8,6.3,76.9,82.2,71.6,37.6,81,78,64.6,70.6,75.4,84.1,16.8,8.3,5.2,3.9,3.8,3.5,4.3,3.9,4.1,2.3,4.4,4.3,4.4,19.2,3.6,4,5.2,5.2,4.9,3.1
2016,Denver,Colorado,Broncos,11,0,0,2853077,1424838,49.9,1428239,50.1,177459,6.2,188583,6.6,186524,6.5,171729,6,172574,6,464262,16.3,410989,14.4,383963,13.5,186579,6.5,160228,5.6,217419,7.6,94683,3.3,38085,1.3,2191741,2191741,1085689,49.5,1106052,50.5,350187,350187,156968,44.8,193219,55.2,2760828,96.8,2304110,80.8,166510,5.8,22543,0.8,120979,4.2,2931,0.1,653765,22.9,143755,5,92249,3.2,152684,1610502,145317,317857,447741,695106,39,75.4,83.6,81.7,83.2,82.4,77,59.2,29.8,6.1,79.3,84.3,74.3,44.3,83.3,79.7,65.2,74,79,85.9,14.7,7.2,3.6,3.4,3.1,3.2,2.7,3,2.8,8,3.6,3.6,3.6,14.9,2.9,3.2,5.1,3.8,3.4,2.5
2016,Jacksonville,Florida,Jaguars,30,0,0,1478212,720246,48.7,757966,51.3,91166,6.2,92467,6.3,94353,6.4,90797,6.1,91690,6.2,214805,14.5,187930,12.7,199174,13.5,100678,6.8,92878,6.3,137066,9.3,57947,3.9,27261,1.8,1143057,1143057,548180,48,594877,52,222274,222274,98410,44.3,123864,55.7,1427373,96.6,1031677,69.8,314206,21.3,2918,0.2,52983,3.6,1545,0.1,125087,8.5,24044,1.6,50839,3.4,103688,768312,72061,209916,263806,249682,24.9,67.4,75.9,77.8,76.5,75.5,66.7,53.4,22.8,6.1,71.9,76.3,67.7,35.5,78.1,72.4,54.4,69.3,72.8,79.8,20.5,9.1,5.5,3.4,5.1,3.7,5,3.6,2.2,2.1,4.9,4,5.8,24.2,3.4,4.4,9.5,5.2,4.6,2.6
2016,Miami,Florida,Dolphins,10,0,0,6066387,2943550,48.5,3122837,51.5,343412,5.7,336863,5.6,343808,5.7,349394,5.8,364042,6,822112,13.6,792887,13.1,872953,14.4,413113,6.8,351130,5.8,567665,9.4,337968,5.6,171040,2.8,4827097,4827097,2312177,47.9,2514920,52.1,1076673,1076673,461987,42.9,614686,57.1,5933625,97.8,4263038,70.3,1288585,21.2,12487,0.2,151537,2.5,3527,0.1,2693672,44.4,214451,3.5,132762,2.2,474198,3107255,410083,870253,950478,1021381,22.8,64,76.3,77.1,79.4,78.2,71.2,57.7,25.9,5.9,73.9,78.8,69.1,40.8,79.7,75,59.2,72.3,77.3,81.6,21.2,10.4,6.2,7,5.2,4.3,4.3,4.5,3.7,4.3,5.6,5.2,6.1,20.6,4.2,5.1,8.5,5.8,5.2,3.5
2016,Tampa,Florida,Buccaneers,14,0,0,3032171,1467733,48.4,1564438,51.6,165768,5.5,167805,5.5,173872,5.7,173574,5.7,171615,5.7,397731,13.1,369180,12.2,417079,13.8,209804,6.9,200648,6.6,328028,10.8,181000,6,76067,2.5,2417167,2417167,1154273,47.8,1262894,52.2,585095,585095,261521,44.7,323574,55.3,2941545,97,2370888,78.2,363562,12,9427,0.3,102940,3.4,2289,0.1,565338,18.6,92439,3,90626,3,239699,1513002,157511,447909,501019,488003,30.3,67.1,77.3,77.6,78.8,75.7,64.2,48.3,20.6,4.3,71.4,75.2,67.9,35.4,77.7,71.9,52.5,66.4,73.4,81.7,19,11.8,6.1,6.1,4.4,4.9,4.8,4.7,4.6,3,5.7,5.9,5.6,23.3,4.1,5.1,8.2,7,5.2,2.8
2016,Atlanta,Georgia,Falcons,5,1,0,5790210,2796566,48.3,2993644,51.7,373866,6.5,401301,6.9,420861,7.3,406274,7,379995,6.6,806854,13.9,822092,14.2,839061,14.5,366054,6.3,304776,5.3,427652,7.4,178678,3.1,62746,1.1,4342280,4342280,2062383,47.5,2279897,52.5,669076,669076,288377,43.1,380699,56.9,5636941,97.4,3104150,53.6,1970242,34,23324,0.4,330979,5.7,2732,0,609696,10.5,205514,3.5,153269,2.6,395005,3077425,322954,712652,872777,1230454,27.9,65.8,79.4,77.3,80.2,79.6,70.5,55,24.5,7,74.9,80.2,70,38.8,80.4,76,56.2,69.8,76.4,84.5,17.1,9.6,6.1,5.9,4.4,3.4,4.3,3.9,3.6,4,5,4.7,5.3,22.6,3.6,4.5,8.7,5.6,5.1,2.8
2016,Chicago,Illinois,Bears,29,0,0,9512968,4657742,49,4855226,51,583441,6.1,610485,6.4,632648,6.7,632950,6.7,644784,6.8,1357964,14.3,1268554,13.3,1294255,13.6,631600,6.6,571618,6,749522,7.9,366153,3.8,168994,1.8,7295467,7295467,3525691,48.3,3769776,51.7,1284669,1284669,551683,42.9,732986,57.1,9262384,97.4,6202988,65.2,1577873,16.6,24650,0.3,617341,6.5,3677,0,2099428,22.1,835855,8.8,250584,2.6,621062,5083336,531139,1148900,1418884,2025068,29.6,68.4,80,81.8,80.5,79.4,70.4,56.1,25.3,6.2,75.5,80.3,70.7,38.4,80.7,76.4,58.2,69.4,76.6,84.8,21,11.7,6.4,4.8,5.2,4.8,5.2,4.5,4,5.2,5.8,5.8,5.9,26.1,4.3,5.1,9.9,7.3,5.5,2.9
