MetroArea,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
"Detroit-Warren-Dearborn, MI Metro Area",382184,2183310,213122,575171,793786,719126,33.1,67.3,73.4,75.6,76.6,73.5,64.2,48.2,20.1,4.7,69.8,74.7,65,34.2,76.4,70.1,42.2,60.7,72.4,83.3,21.3,13.8,10.5,8.6,6.3,6.1,5.3,3.8,4.1,3.1,7.5,7.6,7.5,31.6,4.9,6.8,15.7,10.3,6.7,3
"Green Bay, WI Metro Area",18682,165590,13229,50943,57810,45875,54.6,74.3,83,86.3,80.8,86.1,80.9,55,23,6.5,79.6,83.5,75.7,43.8,85.2,80.3,53,78.7,82.2,87.5,8.5,8.2,3.5,4,3.8,3.3,1.4,2.4,2.7,0,3.7,3,4.5,19.4,2.6,3.2,9,2.6,3,3
"Houston-The Woodlands-Sugar Land, TX Metro Area",480346,3499309,616443,826096,985338,1141553,25.9,66,78.1,74.6,77.4,76.9,70.3,57.7,28.8,7.7,73.3,81.9,64.9,44.1,78.2,74.3,64.5,69,75.2,82.6,18.7,9.9,5.4,5.9,4.7,3.8,4.6,3.7,4.2,1.4,5.2,5,5.6,18.1,4.1,4.7,5.3,6,5.1,3.3
"Indianapolis-Carmel-Anderson, IN Metro Area",143817,1027681,106191,279828,301261,373276,39.1,72.5,76.9,79.4,80.9,78.5,71.2,55.4,24.5,6.5,75.3,78.5,72.2,42.6,81.1,75.6,52,68.3,76.6,87.1,16,9.6,7.7,5.9,4.5,4.4,3.2,4.4,2.6,4.4,5.5,5.7,5.3,25.4,3.6,5,14.7,7.3,4.7,1.8
"Jacksonville, FL Metro Area",112386,748005,72583,211252,256045,241563,27.6,69.2,74.1,73.7,75.8,74.2,64.9,49.7,22.4,4.7,70.4,73.9,67,35.9,76.7,70.5,51.9,63.6,72.6,79.8,24.6,9.2,9.1,5.9,7,5.4,6.8,3.9,3.6,12.1,6.8,7.1,6.5,29.6,4.6,6.5,11,9.5,5.8,4
"Kansas City, MO-KS Metro Area",129554,1098004,92652,267074,333913,417136,40.5,73.9,80.7,82,82.9,80.3,71.4,57.4,27.1,6.6,77.2,81.5,73,42.9,82,77.6,58.2,71.3,77.5,85.9,14.6,7.2,4.9,3.9,3.2,3.2,3.6,3.7,2.9,1.7,4,3.7,4.3,21.5,2.6,3.6,8.2,4.6,4.2,1.9
"Las Vegas-Henderson-Paradise, NV Metro Area",171895,1093409,168222,321321,389655,260544,24,69.1,72.9,75.4,75.8,74.5,63.3,49.6,22.4,6,70.7,75.6,65.8,35.9,77,70.9,60.4,67.8,73.8,77.3,21.4,11.9,8.6,7.7,7.8,6.8,8.1,6.5,6.6,4.9,8,7.9,8.3,32.1,5.6,7.6,10.1,9.3,6.8,5.3
"Los Angeles-Long Beach-Anaheim, CA Metro Area",1148638,7059731,1413326,1462267,1969219,2446078,19,60.7,75.3,78,77.1,76,68.1,54.9,26.2,6.4,71.9,78.6,65.3,39.7,77.7,73.5,63.3,68.4,74.1,81.9,26.2,12.2,7.5,5.7,5,5.2,5.7,4.9,4.3,5.2,6.3,6.2,6.5,21.4,4.8,5.6,6.8,7,6.2,4
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",512237,3047768,394466,874264,920257,1037580,22,62.5,76,77.5,78.8,77.3,69.9,54.4,26.1,6.1,72.9,77.7,68.4,38.8,79.5,74.1,58.2,69.8,76.7,81.5,22.9,11.9,8.4,7.2,5.7,5.7,6.2,5.2,4.3,3.9,6.8,6.5,7.1,26.7,4.7,6.3,10.4,8,5.9,4.1
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",181952,1945062,120015,376595,613980,816220,43.4,78,86.5,84.5,86.1,84.8,79,61.4,27,5.7,81.7,84.8,78.6,47.8,85.4,82.1,59,75.9,82.4,88.2,13.4,8.5,4.1,3.8,2.7,3.3,3.6,2.9,3.4,4.1,3.9,4.3,3.4,17.8,3,3.3,9.2,4.7,3.3,2.2
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",129464,981510,96271,266187,278575,356413,35.9,74.3,81.7,79.7,81.1,77,68.8,55.5,25.3,7.4,75.7,81.6,70.1,41.3,81.2,75.9,53,69.8,77.7,85.2,19.9,7.1,5.8,3.8,3.3,3.9,3.7,3.1,2.4,2.7,4.3,4,4.6,17.9,3.2,3.9,8.8,5.4,3.9,2.1
"New Orleans-Metairie, LA Metro Area",120015,643427,87163,190641,212621,202885,23.2,59.1,73.9,76.9,78.3,73.4,65.1,53.1,27.8,7.2,70.4,74.3,66.7,36.7,77.6,71.7,48.5,66.3,74.3,84,24.6,14.5,8.1,7.7,5.3,5.3,4.7,3.8,3,2.7,6.7,6.9,6.4,26.1,4.5,5.9,12.4,7.5,5.8,2.8
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",1518467,10718836,1340734,2625926,2532302,4519446,19.8,58.1,76.7,79.2,79.1,77.1,71.5,57.7,27.7,7.1,73.2,78.1,68.5,36.2,79.2,75,57.5,68.1,75.8,83.9,23.4,13.4,7.3,5.9,5.3,4.9,4.8,4.4,4.7,3.9,6.2,6.2,6.2,23.6,4.8,5.4,9.1,7.2,5.7,3.6
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",431482,3172649,275413,899465,832760,1245633,28,63.3,75.9,77.7,78.5,77.6,71.4,58.4,28.2,7,73.3,76.4,70.5,32.1,79.9,74.6,45.5,67,76.8,85,21.2,12.8,8.4,6.6,6.1,5.3,5.2,4.8,4.8,3.4,6.7,7.2,6.2,30,5,6,15.5,8.4,6.5,3.1
"Phoenix-Mesa-Scottsdale, AZ Metro Area",389017,2221947,324942,530642,800290,694273,30.9,68.4,74.7,74.3,76.1,76,66.6,50.3,20.8,5.1,71.4,76.5,66.3,39,78.5,71.8,57,64.9,74.2,81.4,20.8,8.9,7.1,5.2,4,3.8,4.4,4.6,5.3,4.2,5.2,5.2,5.2,19.4,3.7,4.7,6.7,6.1,4.8,3
"Pittsburgh, PA Metro Area",161714,1218165,62060,372764,357476,465996,34.4,68.5,80,79.6,80.7,77.6,72.5,56,24.1,5.9,74.4,78.7,70.2,35.6,80.5,75.1,42.8,67,77.1,84.2,19.4,9.6,6.2,5,4.6,4.9,3.5,3.8,3.2,3.7,5.2,5.3,5.2,23.9,3.8,4.7,12.7,6.7,4.7,2.9
"San Francisco-Oakland-Hayward, CA Metro Area",300563,2628651,281676,409150,668465,1309461,25.2,64.5,79.1,82,81.1,78.8,71.7,58.2,28.2,6.1,75.7,81,70.4,37.4,80.6,76.9,61.8,69,75,83.6,19.2,10.9,5.5,4.5,3.8,4.6,5,4.8,3.1,1.3,5.1,5.1,5.2,23.1,3.9,4.6,7.2,6.8,5.2,3.3
"Seattle-Tacoma-Bellevue, WA Metro Area",226118,2116503,150663,415715,656584,895236,29.8,67.4,76.4,78.6,79.8,78.7,72.6,57.6,26.3,4.3,74.9,80.2,69.4,35,79.8,75.7,58.5,68.4,74.3,83.1,18.9,9.4,6.2,5,4.6,4.2,4,3.1,4.2,2.3,5.1,4.9,5.3,25.9,3.8,4.6,9.3,6.3,5.1,3.1
"Tampa-St. Petersburg-Clearwater, FL Metro Area",242344,1483416,147972,427621,513383,474884,27.2,65,77.3,73.6,78.2,75,66,50.6,21.1,4.8,71,74.8,67.5,33.5,77.7,71.7,53.4,66,71.9,82.3,18,11.7,7.1,8.4,5,4.9,5.2,4.5,4.1,4.9,6.3,6.6,5.9,29.5,4.1,5.7,9.9,7.7,5.9,3
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",283507,3487698,306905,614577,758368,1738610,29,66.8,81.4,82.1,83.5,82.8,75.8,62.3,33,8,78.5,82.9,74.3,41.4,82.3,79.9,67.8,73.2,77.6,85.4,17.7,10.6,5.8,4.6,3.3,4,3.9,4.1,4.1,2.2,4.8,4.6,5,23.6,3.8,4.2,7.6,6.5,4.5,2.8
