MetroArea,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
"Atlanta-Sandy Springs-Roswell, GA Metro Area",418851,3018485,323943,722126,861775,1190102,25.8,64.1,78.4,78.2,79.4,77.8,69.8,52.8,23.7,6,73.8,79.5,68.6,41.6,79.2,75,57.1,68.4,75.3,83.8,21.6,12.5,7.2,6.1,5.3,5,5.1,4.5,5.5,3.6,6.2,6,6.5,23.2,4.7,5.5,10.3,7,6.6,3
"Baltimore-Columbia-Towson, MD Metro Area",165740,1507401,121246,369393,411549,618225,30.9,63,77.9,78.7,79.7,78.6,70.4,57.5,27.8,6.4,74,76.8,71.4,30.9,80.2,75.4,48.5,68.1,74.1,85.8,17.9,11.3,6.3,6.3,4.2,4.2,4.2,3.7,4.2,5.2,5.4,5.7,5.1,29.3,4,4.8,12.8,7.5,5.1,2.2
"Boston-Cambridge-Newton, MA-NH Metro Area",274550,2615842,188941,558572,584312,1283774,38.4,68.7,81.8,83.2,82,81,76.1,63,31.9,7.7,77.8,81.5,74.3,35.9,83.2,79,56.9,71.4,77.9,86.1,14.7,9,5.5,4.9,4.4,3.9,4.2,3.8,3.5,4.1,4.9,5.2,4.6,24.4,3.8,4.4,8.2,7,5.7,2.5
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",96517,571509,46224,159252,198365,196104,36.8,69.2,76.7,79.4,78.5,78.1,71.5,53.2,22.4,6.8,73.5,75.8,71.3,32.5,81.6,74.1,43.4,67.9,75.6,84.8,12.8,7.3,7.2,4.7,3.8,4.5,3.3,3.8,3.8,2.5,4.8,5.5,4.1,21.8,3.4,4.5,12,5.7,3.8,3.5
"Charlotte-Concord-Gastonia, NC-SC Metro Area",186856,1265639,142178,303622,398352,465241,31.1,68.8,77.8,80.9,80,77.4,67.9,52.5,23.2,6.1,74.3,81.2,67.9,39.5,80,75,55.8,68.8,76,84.1,24,12.7,8.1,6.2,5.1,4.9,4.3,5,3.9,4.1,6.3,5.4,7.3,26.8,4.3,5.5,11.2,7,6,3.1
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",673936,5076506,553668,1190955,1441083,1970679,27.4,66,78.1,79.7,78.7,78.4,71.2,55.6,25.9,6.2,74.2,79.6,69,36.9,79.9,75.3,58.3,67.6,75.9,84.3,24.4,13,7.4,5.5,5.8,5.4,5.8,4.8,4,3.2,6.6,6.6,6.6,28.5,4.8,5.8,9.9,8.5,6.3,3.3
"Cincinnati, OH-KY-IN Metro Area",157063,1107626,89468,318598,339334,391066,33.6,70.6,80.1,80.8,79.4,76.7,71,57.1,25.9,6.1,74.7,78.7,70.7,37.8,80.9,75.2,44.6,69.2,77.2,85.3,19.6,8.6,6.4,6,4.2,4.2,3.6,3.2,3.3,4.3,5,5.2,4.8,25.2,3.3,4.6,12.2,6.5,4.5,2.3
"Cleveland-Elyria, OH Metro Area",167378,1028380,88439,300961,348266,344397,38.8,66.7,78,77.7,78,77.4,69.9,54.2,25.2,5.4,72.8,75.1,70.6,33.3,80.2,73.5,43.2,68,74.2,85.4,19.5,15.7,9,6.9,6.8,5.2,4.9,3.4,4.5,2.3,7.1,7.5,6.7,33.5,4.6,6.1,17.8,7.7,6.4,2.7
"Dallas-Fort Worth-Arlington, TX Metro Area",489522,3761325,580724,836662,1090247,1299428,31.6,69.4,77.7,79.4,79.4,79,72.1,59.3,28.3,7.3,75.6,82.8,68.6,43.6,80.4,76.4,65.2,70.4,77.4,84.3,14.8,8.7,5.7,4.2,3.9,3.6,3.6,3.2,3.7,3.4,4.5,4.4,4.7,16.3,3.6,4,5.8,5.2,4.5,2.4
"Denver-Aurora-Lakewood, CO Metro Area",161714,1578956,144023,305097,456525,677029,38.3,73.5,83.3,82.7,82.4,83.3,74.3,59.2,26.9,6.2,78.9,84.5,73.2,43.7,83.2,79.5,63.3,75.9,79.2,84.8,12.2,7.3,5.6,4.1,3.6,3.3,4.1,3.7,3.5,4.4,4.3,4.3,4.3,19.6,3.3,4,6.4,4.8,4.4,2.9
