State,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
Arizona,622528,3186170,478515,812243,1180579,945613,29.1,65.3,72.1,72.2,74,73.9,63.8,48.3,19.3,4.8,68.8,73.3,64.2,38.1,76.5,69.2,54.6,62.8,71.3,79.7,23,11,7.9,6.4,5,4.5,5.4,4.5,5.2,4,6.2,6,6.3,22.1,4.2,5.5,8.9,7,5.5,3.2
California,3270091,20136836,3576743,4302508,6163685,6852769,21.2,60.5,73.1,75.8,76,74.6,66.9,52.7,24.7,5.9,70.4,76,64.7,38.4,76.7,71.7,59.5,66,71.9,81.5,25.9,12.8,8.3,6.2,5.5,5.6,5.8,5.1,4.5,5.3,6.8,6.7,7,23.3,5.1,6,8.5,7.9,6.4,3.8
Colorado,358867,2928957,249075,619957,908501,1182748,35.8,70.2,79.2,79.1,80.1,80.7,72.2,56.8,26.7,6.3,75.7,80.2,71.1,43.6,81,76.4,60.9,70.5,76,83.2,15.6,8.1,6.4,4.9,3.7,3.7,4.4,4,4,3.2,4.8,4.9,4.7,19.6,3.6,4.4,7.7,6,4.6,3
Florida,1694426,9821306,1162261,2962898,3288107,3035782,24.7,63.1,74.2,74.8,76.4,74.4,65.5,50,21,5.3,69.9,73.4,66.5,37.1,77,70.7,54.8,65.4,72.7,80,22.7,11.6,8.2,6.9,5.7,5.6,5.8,4.3,4.6,4.9,6.6,6.8,6.5,26.2,4.5,6,10,8,5.7,3.6
Georgia,911272,5046432,671772,1456623,1577946,1674667,24.5,59.9,72.5,74.4,76.3,74.5,65.1,48.8,22.2,6.4,69.6,73.8,65.6,39.6,76.8,70.9,51.2,64.9,72.4,82.6,24.5,13.2,8.4,6.6,5.5,4.9,4.9,3.8,4.1,4,6.5,6.3,6.8,22.7,4.6,5.7,10.5,6.9,6.2,3.1
Illinois,938342,6655251,691196,1689309,2044323,2408885,29.9,65.6,77.6,78.4,78.6,78.1,70.8,54.5,24.8,6.2,73.6,77.8,69.4,37.5,79.9,74.6,55.1,67.6,75.8,84.1,22.9,12.6,7.5,5.9,5.6,5.1,5.2,4.5,3.8,3.2,6.4,6.6,6.2,27.7,4.5,5.6,10.7,8.2,5.7,3
Indiana,512275,3281802,354490,1087921,1049346,906492,36.3,68,76.4,77.6,78.3,77.1,70.4,54,22.8,6.1,73,77.4,68.7,40,79.7,73.7,49.8,68.9,76.3,86,16.8,9.9,7.5,5.8,4.9,4.1,3.4,2.6,2.6,2.7,5.4,5.4,5.4,23.8,3.6,4.8,12.4,5.9,4.4,2.2
Louisiana,467442,2231865,338009,812293,704462,586883,25.3,61.1,69.5,71.9,74.5,70.6,62.6,48.6,24.1,6.8,67.2,70.1,64.3,37.1,75.6,68,43.8,63.8,72.1,82.9,23.3,12.7,8.6,8.7,5.3,4.7,4.1,3.8,2.8,2.6,6.7,7.2,6.1,23.1,4.6,5.9,12.2,6.8,6,2.6
Maryland,318532,3269431,295161,779865,864970,1315505,29.4,65,78.3,79.4,81.4,81,73,59.5,29.1,7.1,75.8,78.8,72.9,35.8,81.1,77.1,58.9,70.6,76.2,85.6,17.5,11,6.3,5.6,3.9,4.1,3.8,3.7,3.7,4.3,5.1,5.3,4.9,25.9,4,4.5,9.2,6.7,4.8,2.4
Massachusetts,435040,3617613,296573,858688,890728,1616429,37.2,67.5,79.7,81.6,81,79.4,74.7,61.9,30.5,7.1,76.2,79.1,73.5,34.8,82.3,77.4,53.2,70.7,77.2,85.6,16.6,10,6.3,5.5,4.8,4.3,4.3,3.9,3.6,4.4,5.4,5.9,4.9,26,4,4.8,9.4,7.5,5.6,2.7
Michigan,869886,4908073,441538,1413229,1800395,1502544,34.4,68,74.9,75.5,77.2,74.5,64.5,47.3,19.8,4.7,70.1,73.8,66.4,37.7,76.9,70.4,44.5,61.6,72.9,83.3,20.4,12.1,8.3,7.3,5.9,5.3,4.5,3.6,3.9,3.5,6.7,6.9,6.4,26.2,4.4,5.9,14,8.6,5.6,2.7
Minnesota,307436,2910582,180114,651160,996644,1068059,46.7,78.8,85.5,84.1,85.7,84.2,79,60.9,26.6,5.9,81,83.7,78.3,48.6,85.1,81.3,60,74.8,82.3,87.8,11.8,7.7,4.4,3.8,2.8,3.2,3.2,2.7,3.2,3.2,3.8,4.3,3.2,16.6,2.9,3.3,9.1,4.6,3.2,2
Missouri,493624,2999033,303531,901896,1006020,934817,36.3,69.6,77.5,77.7,79.5,76.6,68.8,52.3,23.7,5.7,73.1,76.1,70.1,40.8,80,73.5,48.9,68,75.6,84.7,15.8,9,6.2,5.6,4.4,3.8,3.3,2.8,3,3.1,4.9,5.3,4.6,20.5,3.3,4.4,11.8,5.3,4.2,2.3
Nevada,231309,1481736,223977,430871,532642,358565,27.6,70.4,73.4,75.2,76.1,74.2,64.1,49.4,22.3,5.6,70.7,75.3,66,36.7,77,70.7,60.5,67.2,72.9,78.2,18.6,10.8,8.1,7.7,7.4,6.8,7.3,5.8,6.7,6.6,7.7,7.7,7.6,30.9,5.3,7.2,9.9,9,6.7,4.9
NewYork,1653187,10229385,1298875,2641220,2759587,3979344,23.5,59.1,76,77.9,78.6,76.2,70.6,54.6,25.8,6.6,72.1,75.6,68.7,35.2,79.2,73.8,53.8,67.2,74.7,84.2,22.3,12.6,7.6,6.2,5.1,4.7,4.5,4.1,4,3.3,6.1,6.4,5.7,23.6,4.5,5.4,10.1,7,5.3,3.4
NorthCarolina,892464,4944788,623603,1308928,1692548,1622020,28.7,62,72.4,74.6,77,74.2,66.2,50.9,21.6,5.6,70,74.1,66,39.5,76.8,71,52.6,64.7,72.2,82.1,24,12.3,7.9,6.9,5.2,4.9,4,3.9,4.4,3.1,6.2,5.9,6.5,23.6,4.2,5.5,10.2,7.4,5.7,2.7
Ohio,941999,5757473,517123,1906842,1889691,1743260,36.7,68.8,77.6,77.4,78.2,76.2,68.6,54.1,23.9,5.9,72.7,76.2,69.2,36.7,79.8,73.1,44.8,67.6,75.5,85.1,19,11.5,7.6,6.6,5.3,4.4,3.8,3,3.8,2.2,5.9,6,5.7,27.2,3.7,5.1,13.5,6.5,5.2,2.3
Pennsylvania,902629,6481084,566566,2214245,1765295,2168428,33.7,64.5,76.8,77.7,78,77.4,71.6,56.1,25.1,6.3,72.9,76.3,69.6,34.6,79.8,74,46.5,68.4,77,84.4,19.2,11.3,7.5,5.7,5.6,4.5,3.8,3.7,3.3,3.1,5.8,6.2,5.4,25.6,4.3,5.2,13.1,6.3,5.3,2.9
Tennessee,592877,3243020,404922,1123432,986507,942846,33.8,66.8,73.7,73.6,76.3,72.2,63.6,49.4,22.7,6.1,69.4,73.7,65.4,35.4,77,69.8,44.7,64.7,73.5,82.8,17.7,9.7,8.4,6.5,4.8,4.8,4,2.9,3.9,4.4,5.8,5.7,5.9,23.9,3.9,5.3,11.8,7.1,4.5,2.5
Texas,2151256,13749522,2350219,3565505,4185499,4150131,28.1,64.1,74.8,74.9,76.7,76,68,54.5,26.2,7,71.7,78.1,65.3,42.6,78,72.8,59.8,67.8,74.7,82.6,18.1,9.8,6,5.4,4.3,3.9,3.8,3.4,3.3,2.7,5.1,4.9,5.3,16.9,3.9,4.5,6.5,5.6,4.6,2.7
Washington,502130,3782459,341678,858893,1311385,1340732,29.9,66.1,73.8,74.8,77.8,76.6,69.1,53.5,23.7,4.4,71.9,76.8,67,35.7,77.7,72.7,58.7,65.8,71.4,81.9,19.4,10.5,6.9,6.1,4.5,4.5,3.9,3.4,3.8,4.4,5.5,5.5,5.6,24,4.1,4.9,8.9,6.5,5.4,2.9
Wisconsin,388529,2978895,221229,855514,1027757,913734,45.8,76.8,82.2,83.5,82.7,82,76,57,23.4,5.7,78.2,80.6,75.9,45.1,83.7,78.4,55.6,73.8,80,86.6,11.1,6.9,5.1,4,3.5,3.4,2.8,2.7,2.4,2.6,4,4.4,3.6,18.7,2.7,3.6,9.2,4.7,3.6,1.7
