State,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
Arizona,7016270,3487722,49.7,3528548,50.3,435041,6.2,439162,6.3,478839,6.8,476414,6.8,475452,6.8,953327,13.6,859457,12.2,850441,12.1,433857,6.2,413430,5.9,701165,10,368747,5.3,130938,1.9,5383542,76.7,2655396,49.3,2728146,50.7,1200850,17.1,553556,46.1,647294,53.9,6749869,96.2,5442417,77.6,307655,4.4,317974,4.5,232517,3.3,16453,0.2,2202173,31.4,432853,6.2,266401,3.8,540590,3358777,458638,823793,1198014,1030067,32.5,68.3,74.8,75.2,76.3,75.1,66,49.9,21,5.6,70.9,75.6,66.2,37.5,78,71.3,55.6,65.3,72.4,81.6,20.8,9,6.3,4.8,4.3,4.4,4.1,4.2,3,3.6,5.2,5.1,5.2,21.4,3.6,4.7,7.1,6.6,4.8,2.5
California,39536653,19650051,49.7,19886602,50.3,2460425,6.2,2468508,6.2,2597863,6.6,2569487,6.5,2761097,7,6018225,15.2,5232877,13.2,5159747,13.1,2495755,6.3,2267852,5.7,3198555,8.1,1585672,4,720590,1.8,30479267,77.1,15017561,49.3,15461706,50.7,5504817,13.9,2443427,44.4,3061390,55.6,37598576,95.1,23181769,58.6,2271917,5.7,313859,0.8,5765305,14.6,153923,0.4,15477306,39.1,5911803,15,1938077,4.9,2809135,20762623,3348498,4412959,6161241,7251758,23.3,62.9,76,77.1,77.3,76.3,69.3,55,25.8,6.3,72.3,77.7,66.8,37.6,78.1,73.5,60.1,68.7,73.8,82.4,21.3,10.6,6.3,5.3,4.6,4.4,4.4,4.4,4,4.2,5.5,5.5,5.5,21.2,4.2,4.9,7.1,6.2,4.8,3.5
Colorado,5607154,2820169,50.3,2786985,49.7,332593,5.9,346265,6.2,369721,6.6,361580,6.4,374927,6.7,867170,15.5,762156,13.6,714756,12.7,367628,6.6,336659,6,481344,8.6,208191,3.7,84164,1.5,4344795,77.5,2172597,50,2172198,50,773699,13.8,353208,45.7,420491,54.3,5413563,96.5,4720495,84.2,229436,4.1,56792,1,179251,3.2,8400,0.1,1206724,21.5,219189,3.9,193591,3.5,332823,3030626,249874,630201,891392,1276902,39.3,72.9,80.9,79.2,80.9,80.8,73.1,59.4,27.5,7.8,76.8,80.8,72.8,43.9,81.8,77.3,62.6,71.2,76.4,83.9,13.7,6.8,3.9,4,3.5,3.1,3.2,3.1,3,1.4,3.8,3.9,3.7,16.4,2.9,3.5,4.6,4.8,3.9,2.5
Florida,20984400,10254267,48.9,10730133,51.1,1129322,5.4,1140517,5.4,1200363,5.7,1228077,5.9,1265944,6,2707837,12.9,2535767,12.1,2761337,13.2,1456547,6.9,1343457,6.4,2344869,11.2,1324851,6.3,545512,2.6,16783620,80,8114222,48.3,8669398,51.7,4215232,20.1,1898142,45,2317090,55,20430514,97.4,15768315,75.1,3394508,16.2,63635,0.3,588087,2.8,13937,0.1,5370860,25.6,602032,2.9,553886,2.6,1538044,10320602,1143719,3042602,3366774,3251850,26.9,66,74.3,77,77.6,76.1,66.5,51.8,21.5,5.4,71.4,75.4,67.5,36.6,77.9,72,55.1,67.4,74,80.2,17.8,9.5,6.7,5,4.5,4.1,4.2,4.1,3.7,4.3,5.2,5.1,5.3,21.3,3.8,4.7,8.1,5.7,4.6,3.1
Georgia,10429379,5070721,48.6,5358658,51.4,655223,6.3,688623,6.6,735809,7.1,743722,7.1,709976,6.8,1421366,13.6,1384136,13.3,1418289,13.6,671921,6.4,598464,5.7,870469,8.3,395669,3.8,135712,1.3,7914614,75.9,3791307,47.9,4123307,52.1,1401850,13.4,606699,43.3,795151,56.7,10143214,97.3,6122956,58.7,3292061,31.6,36855,0.4,410915,3.9,8594,0.1,1001472,9.6,271833,2.6,286165,2.7,804536,5252458,643837,1486809,1593031,1770499,28,64.8,74.8,76,76.6,76.8,67.2,52.2,23,6,71.6,75.9,67.5,38.5,78.5,72.5,53,66.4,74.2,83.3,19.6,10.6,6.5,4.8,5.2,3.7,3.9,3.2,3.6,3,5.3,4.9,5.7,20.8,3.8,4.6,9.3,5.8,4.5,2.8
Illinois,12802023,6294900,49.2,6507123,50.8,767348,6,777382,6.1,844216,6.6,845473,6.6,860547,6.7,1765429,13.8,1647140,12.9,1678264,13.1,868447,6.8,800182,6.3,1123624,8.8,575066,4.5,248905,1.9,9906933,77.4,4815985,48.6,5090948,51.4,1947595,15.2,848158,43.5,1099437,56.5,12466552,97.4,9119912,71.2,1818986,14.2,29910,0.2,694968,5.4,4860,0,2206927,17.2,797916,6.2,335471,2.6,868597,6615008,663881,1630129,1995913,2469539,32.3,66,78.6,79.5,80,78.9,71.3,55.9,25.9,6.3,74.4,78.2,70.7,38,80.5,75.5,56.3,68.8,76.1,84.6,19.1,11.8,7.2,5.7,4.8,4.3,4.1,4,3.5,3.1,5.7,6,5.4,26.2,4.1,5,9.1,7.4,5.1,2.8
Indiana,6666818,3286152,49.3,3380666,50.7,419552,6.3,434312,6.5,448343,6.7,463660,7,465634,7,868016,13,818483,12.3,855973,12.8,447621,6.7,421338,6.3,599762,9,294381,4.4,129743,1.9,5092787,76.4,2475148,48.6,2617639,51.4,1023886,15.4,449807,43.9,574079,56.1,6489787,97.3,5577897,83.7,623961,9.4,12397,0.2,148366,2.2,1441,0,461618,6.9,125725,1.9,177031,2.7,487197,3304801,355972,1039039,1048080,968340,36.3,69.3,78.1,78.3,78.9,78.7,71.6,55.3,24.8,6.1,74.1,78.1,70.2,38.1,80.8,74.8,51.6,68.8,78,86.2,16.1,8.1,5.2,4.4,4.5,3.1,2.7,2.4,2,1.9,4.3,4.3,4.3,19.4,3,3.8,9.3,4.8,3.6,1.8
Louisiana,4684333,2289695,48.9,2394638,51.1,306213,6.5,305733,6.5,311993,6.7,321797,6.9,318320,6.8,654476,14,588273,12.6,577426,12.3,306691,6.5,297300,6.3,420819,9,199791,4.3,75501,1.6,3575091,76.3,1719776,48.1,1855315,51.9,696111,14.9,303744,43.6,392367,56.4,4597924,98.2,2890818,61.7,1521339,32.5,23848,0.5,84816,1.8,1517,0,243620,5.2,75586,1.6,86409,1.8,477335,2187303,332242,801413,694333,596178,24.9,59.2,71.7,73,72.8,71.5,63,48.5,23.3,7.3,67.1,69.6,64.7,34.6,76.3,68.1,41.9,63.4,72.6,83.9,20.1,12.6,9.1,6.3,6.2,3.7,3.5,2.7,3.2,2.3,6.2,6.5,5.9,23.8,4,5.4,13.1,6.8,4.7,2.2
Maryland,6052177,2935822,48.5,3116355,51.5,363313,6,364376,6,387944,6.4,381890,6.3,387050,6.4,837271,13.8,772536,12.8,844542,14,428485,7.1,382184,6.3,532895,8.8,260613,4.3,109078,1.8,4705227,77.7,2247134,47.8,2458093,52.2,902586,14.9,389803,43.2,512783,56.8,5846861,96.6,3322483,54.9,1806673,29.9,18931,0.3,391328,6.5,2143,0,612709,10.1,305303,5,205316,3.4,302336,3278728,298141,759748,865790,1341339,32,65.7,79,80.7,82.5,81.9,75.8,60.6,30.1,8.8,76.9,79.8,74.2,35.3,82.2,78.2,58.4,71,78.1,86.8,17.4,10.4,6.5,5.5,4.1,3.3,3.8,3,3.8,3.8,4.8,4.8,4.9,24.8,3.8,4.2,8.6,6.5,4.4,2.4
Massachusetts,6859819,3333270,48.6,3526549,51.4,360336,5.3,364268,5.3,396449,5.8,460059,6.7,490134,7.1,972147,14.2,835762,12.2,942394,13.7,486459,7.1,443987,6.5,636036,9.3,313847,4.6,157941,2.3,5489235,80,2630513,47.9,2858722,52.1,1107824,16.1,479522,43.3,628302,56.7,6649946,96.9,5387411,78.5,531887,7.8,15097,0.2,452717,6.6,993,0,811292,11.8,261841,3.8,209873,3.1,393386,3676554,283105,838017,867689,1691938,35.4,68.4,80.6,82.7,81.7,81.6,75.3,62.8,32,7.4,77.3,80.4,74.4,34,83.1,78.5,55.1,71.9,78.8,85.6,14.6,7.4,4.9,4.4,3.9,3.3,3.4,2.9,3.5,3.4,4.2,4.4,3.9,22.3,3.1,3.8,7.6,5.4,3.8,2.6
