MetroArea,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
"Atlanta-Sandy Springs-Roswell, GA Metro Area",395005,3077425,322954,712652,872777,1230454,27.9,65.8,79.4,77.3,80.2,79.6,70.5,55,24.5,7,74.9,80.2,70,38.8,80.4,76,56.2,69.8,76.4,84.5,17.1,9.6,6.1,5.9,4.4,3.4,4.3,3.9,3.6,4,5,4.7,5.3,22.6,3.6,4.5,8.7,5.6,5.1,2.8
"Baltimore-Columbia-Towson, MD Metro Area",158027,1508117,111703,370930,402620,630242,32,65.3,77.2,81.7,82.3,79.7,73.5,56.6,31.2,8.4,75.5,77.9,73.3,31.7,81.5,76.8,49.2,68.8,76.7,86.3,18.2,11.3,7.4,4,4.2,4,3,3.7,2.8,4.2,5.1,5.5,4.7,29.8,3.7,4.4,12.5,6.5,4.7,2.2
"Boston-Cambridge-Newton, MA-NH Metro Area",259273,2636097,188656,544475,575084,1306369,37,70.2,81.6,84.7,83.4,81.6,76.9,64.2,32.9,8.2,78.7,81.6,75.9,36,83.8,79.8,62,72.7,78.6,85.9,16.2,8.6,5.1,3.3,3.4,4.3,3.5,4,4.1,2.7,4.4,4.8,4.1,22.4,3.4,3.9,8.3,5.9,3.9,2.7
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",88648,573572,41369,162757,193149,201801,38.3,70,79.8,78.4,80.1,76.6,67.6,53.5,20.9,5.5,73.2,74.7,71.6,32.7,80.6,73.6,40.4,66,74.8,85.3,14.6,8.2,4.4,4.3,3.5,3.6,3.1,2.5,3.2,3.5,4.1,5.3,2.9,20,2.9,3.6,12.8,4.9,3.6,1.8
"Charlotte-Concord-Gastonia, NC-SC Metro Area",156962,1320532,136567,289539,422881,491362,35.3,69.2,77.8,82.2,78.7,78.6,71.1,55,23.4,6.3,75,81.3,69,40,79.7,75.7,58,67.8,76.6,84.4,19.5,11.4,6.9,5.1,4.3,4.3,3.9,4.2,2.8,1.1,5.4,4.8,6,24,3.9,4.7,8.7,7.2,4.8,2.6
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",621062,5083336,531139,1148900,1418884,2025068,29.6,68.4,80,81.8,80.5,79.4,70.4,56.1,25.3,6.2,75.5,80.3,70.7,38.4,80.7,76.4,58.2,69.4,76.6,84.8,21,11.7,6.4,4.8,5.2,4.8,5.2,4.5,4,5.2,5.8,5.8,5.9,26.1,4.3,5.1,9.9,7.3,5.5,2.9
"Cincinnati, OH-KY-IN Metro Area",146525,1117525,91255,314665,329345,398976,38.1,69.9,80.3,81.1,79.8,80.5,70.8,56.4,27,7.5,75.4,79.2,71.7,38.5,81.2,76.1,45.2,71.8,78.1,85,15.6,9.3,6.2,5.7,4.2,2.8,2.8,3.1,2.9,3.5,4.6,4.8,4.4,23.2,3.1,4,11.6,5.1,4.3,2.1
"Cleveland-Elyria, OH Metro Area",165433,1025521,86930,294780,344435,350621,40.2,72.3,77.9,79.8,78.6,77.5,68.7,56.7,26.2,5.6,73.9,77.5,70.4,36.6,80.8,74,46.6,67.3,75.3,85.4,16.6,10.9,8.2,6.1,5.6,5.6,4.3,3.2,4.1,4.4,6.2,6.2,6.1,27.7,4,5.6,14.9,8.4,5,2.7
"Dallas-Fort Worth-Arlington, TX Metro Area",464922,3848467,576213,851690,1099257,1343300,31.5,70.1,78.7,79.4,81.5,79,72.5,59.6,30.6,7.3,76.3,83.9,69,43.6,80.8,77.1,65.8,72,78.7,83.8,15.4,8.5,5,4.3,3.2,3.1,3.6,2.7,2.8,2.9,4.1,3.9,4.4,15.9,3.2,3.6,4.3,4.7,3.5,2.7
"Denver-Aurora-Lakewood, CO Metro Area",152684,1610502,145317,317857,447741,695106,39,75.4,83.6,81.7,83.2,82.4,77,59.2,29.8,6.1,79.3,84.3,74.3,44.3,83.3,79.7,65.2,74,79,85.9,14.7,7.2,3.6,3.4,3.1,3.2,2.7,3,2.8,8,3.6,3.6,3.6,14.9,2.9,3.2,5.1,3.8,3.4,2.5
"Detroit-Warren-Dearborn, MI Metro Area",346574,2208008,209483,575860,771461,740631,32.7,67.6,75.1,77.4,76.7,75.4,67.2,50.7,21.9,5.6,71.3,75.8,67,33.8,77.6,71.7,42.3,63,74.4,84.1,21.7,12.3,8.5,6.7,6.1,4.5,4.3,4.2,3.3,2.1,6.4,6.7,6,28.4,4.3,5.7,13.4,8.7,5.5,2.7
"Green Bay, WI Metro Area",16654,169059,11166,49502,60235,47806,47.5,76.4,82.8,83.2,87.2,84.2,79.1,58.3,24.9,7.9,80.2,83.6,76.8,43.6,85,80.7,58.5,74.2,83.5,89.2,9.9,7,6.1,3.2,2.2,2.2,1.1,1.3,1,2,3.1,2.9,3.3,18.4,2.2,2.6,5.6,3.8,2.9,0.6
"Houston-The Woodlands-Sugar Land, TX Metro Area",496968,3525944,584408,843074,1018732,1173408,24.8,64.6,76,76.9,77.6,76.7,69.8,56.2,27.8,6.4,73.1,81.4,64.8,44,78.1,74.1,64.3,69.4,74.8,81.8,19.6,12.5,6.5,5.4,5,4.8,5,4.5,4.8,3.9,6,6,5.9,18,4.9,5.2,6.2,6.3,5.8,3.6
"Indianapolis-Carmel-Anderson, IN Metro Area",141807,1033380,99189,279094,301765,385926,34.7,73.8,78.7,81.1,80.6,80.1,72.5,58.8,25.7,5.9,76.6,80.9,72.4,41.1,82.7,76.9,52.5,69.8,78.7,86.9,16.6,9.3,5.7,3.5,4.2,3.4,2.7,2.4,2.4,2,4.4,4.4,4.3,19.2,3.1,3.8,8.8,5.4,3.4,2.2
"Jacksonville, FL Metro Area",103688,768312,72061,209916,263806,249682,24.9,67.4,75.9,77.8,76.5,75.5,66.7,53.4,22.8,6.1,71.9,76.3,67.7,35.5,78.1,72.4,54.4,69.3,72.8,79.8,20.5,9.1,5.5,3.4,5.1,3.7,5,3.6,2.2,2.1,4.9,4,5.8,24.2,3.4,4.4,9.5,5.2,4.6,2.6
"Kansas City, MO-KS Metro Area",121103,1110734,81461,269910,334109,432386,41.3,75.1,81.8,82.8,82.3,82.1,74.1,57.8,29.7,6.3,78.1,82,74.3,40.7,82.9,78.5,59.6,72.4,77.9,86.2,12.7,8.2,4.8,5.2,3.6,3.8,2.2,2.5,1.9,4.2,4.2,4.2,4.3,23,3,3.8,9.2,5,4.1,2.1
"Las Vegas-Henderson-Paradise, NV Metro Area",167996,1115269,168838,345928,380666,265327,26.9,69,75.8,76.5,77.6,75.2,66.2,49,21,6.5,71.9,76.7,67.2,36.7,78.2,72.3,63.5,69.4,73.3,80.2,18.8,9.7,8.9,5.7,5.6,6.3,5.6,4.2,4.9,4.5,6.6,6.4,6.8,25.4,4.9,6.2,7.1,7.8,6.2,3.9
"Los Angeles-Long Beach-Anaheim, CA Metro Area",1079393,7098235,1379405,1450381,1958281,2497887,20.4,62.3,77.3,78.6,78.1,76.6,69.4,55.5,26.7,6.3,73,79.6,66.4,40.3,78.5,74.4,63.8,70.3,75,82.1,24.5,10.3,6.5,5.3,4.9,4.9,5.2,4.9,4.4,6.8,5.8,5.5,6.1,19.6,4.4,5.2,6.5,6,5.3,4.2
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",474198,3107255,410083,870253,950478,1021381,22.8,64,76.3,77.1,79.4,78.2,71.2,57.7,25.9,5.9,73.9,78.8,69.1,40.8,79.7,75,59.2,72.3,77.3,81.6,21.2,10.4,6.2,7,5.2,4.3,4.3,4.5,3.7,4.3,5.6,5.2,6.1,20.6,4.2,5.1,8.5,5.8,5.2,3.5
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",171392,1963307,115759,374613,620937,820071,44.4,79.6,86,86.4,85.7,85.9,78.7,62.1,27.7,5.6,82.1,85.1,79.1,44.1,86,82.4,59.3,75.7,83.1,88.1,11.7,5.7,4.6,2.9,3,2.3,3,2.8,2.7,3.3,3.3,3.7,2.9,17.4,2.5,3,6.4,4.2,3.3,2
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",121687,1004698,97622,258345,289539,367681,38.8,74.1,80.5,80.9,79.8,79.9,69.5,54.7,28.4,6.9,75.9,81.6,70.6,40.4,81.2,76.2,56.4,70.3,77.6,84.5,11.5,6.2,5.2,3.3,2.9,3.2,2,2.9,3.3,3.5,3.6,3.3,4,16.2,2.7,3.3,4.6,4.5,3.4,2.2
"New Orleans-Metairie, LA Metro Area",117955,638254,91172,188167,203880,210535,24.4,67,74.8,75.9,76.3,73,62.7,53,26,6,70.3,72.9,68,36.5,77.8,70.7,46.9,65.2,73.1,83.7,21.5,12,6.3,7.5,6,4.6,5.5,5.1,3.3,3.6,6.4,7.2,5.7,25.5,4.3,5.8,12.6,7.5,5.5,2.9
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",1443010,10734774,1299394,2585169,2538662,4553345,21.2,59.5,77.1,79,79.6,78.1,71.4,58.1,28.3,7.3,73.7,78.8,68.8,36,79.5,75.4,58.7,68.7,75.1,84.1,20.9,12,6.8,5.6,4.8,4.5,4.5,4.6,4.1,3.5,5.7,5.6,5.8,23,4.4,5.1,7.8,6.8,5.7,3.3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",434084,3162986,271592,895902,815349,1267760,28.9,62.9,78.2,80.1,78.8,77.1,70.7,58,28.3,6.4,73.6,76.6,70.8,32.3,80.2,74.9,48.4,67.2,76.4,85.1,20.6,12.3,6.7,5.3,5.7,4.9,4.3,3.8,3.8,6.3,6,6.3,5.6,25.9,4.5,5.2,11.9,7.8,5,3
