State,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
Arizona,580265,3265650,466553,809959,1183696,996375,31.7,67.9,73.3,73.4,75,74.3,65.7,48.6,20.5,5.1,69.8,74.5,65.1,39.3,77,70.1,54.1,64.2,71.6,80.5,20.9,10.7,6.7,6.3,4.6,4.9,4.6,4,4.2,5.7,5.9,5.9,5.8,21.3,4.2,5.2,10,6.6,4.8,3.1
California,3009530,20389158,3524568,4259901,6143115,7028218,23.2,62.1,74.5,76.7,76.7,75.6,67.7,53.3,25.2,5.8,71.3,77,65.6,38.2,77.4,72.6,60,67.3,72.6,82,21.9,11.2,7.2,5.7,5.3,4.9,5.1,4.9,4,4.8,6.1,6,6.3,21.7,4.7,5.5,8.2,7,5.5,3.6
Colorado,353185,2979087,254148,637867,894354,1216081,35.5,70.2,80.5,78,81.2,80.2,72.6,57,28.6,6.3,76,80.2,71.6,44.4,81.1,76.7,63.2,69.4,75.8,84.1,16.2,8.6,4.6,4.4,3.7,3.5,3.3,3,2.6,5,4.3,4.4,4.2,17.3,3.3,3.8,6.8,5.2,4,2.5
Florida,1607260,10057500,1219577,3000938,3311684,3080708,26.1,64.9,74.9,76.1,77.3,74.8,65.8,50.3,20.8,5.3,70.7,74.6,66.9,37.7,77.3,71.3,54.9,67.2,73,80.1,19.7,10.3,6.3,5.9,5.1,4.6,4.6,4.3,3.8,3.7,5.6,5.5,5.8,21.4,4.1,5.1,8.7,6.1,5.1,3.1
Georgia,855057,5137000,669436,1444444,1584205,1728176,28.7,62.8,74.2,74,76.7,76.1,66.3,50.5,22.3,6.6,70.8,75.1,66.7,37.7,78,71.8,51.5,65.5,73.7,83.2,18.9,10.9,6.9,6.3,4.9,3.6,4.3,3.8,2.9,3,5.5,5.3,5.8,22.9,3.8,4.9,9.9,6,5.1,2.7
Illinois,892034,6637337,664752,1626704,2033865,2467068,31.1,68,79.3,80.6,79.8,78.5,69.5,54.7,24.5,6.2,74.4,78.1,70.8,38.8,80.5,75.3,55.3,68.4,75.9,84.6,20.3,11,6.7,5.3,5.1,4.8,5,4.3,3.7,4.3,5.8,5.9,5.7,25.5,4.2,5.2,10.3,7.3,5.4,2.9
Indiana,502125,3287247,356165,1075160,1039751,928161,35.3,71,77.7,78.4,78.1,78.1,71,56.3,23.9,6.2,74.1,78,70.1,40.6,80.6,74.5,51.1,69.5,77.7,85.7,15.9,8.4,6,4.9,4.2,3.5,2.8,2.7,2.4,1.8,4.6,4.7,4.4,18.8,3.3,4.1,10,5,3.9,1.9
Louisiana,488695,2195316,349379,812699,693599,585164,25.8,60.7,70.5,72.6,73.6,70.7,58.4,47.8,24.2,7,66.6,69,64.2,36.3,75.4,67.4,42.8,63.4,71.6,82.4,24.3,12,8.5,6.1,6,4.7,5,4.2,1.9,1.6,6.5,7,5.9,22.7,4.4,5.8,13.5,7,4.9,2.7
Maryland,310698,3260486,285001,787065,850820,1323174,30.8,65,77.5,82.3,83.2,81.2,75.6,59.1,30.9,8.4,76.6,79.6,73.9,36.3,81.9,78.1,61.3,70.6,78.2,86,18.3,11.3,7.5,4.2,4.1,3.8,3.3,3.5,3.6,3.9,5,5.1,4.9,26.5,3.8,4.3,7.5,6.6,4.6,2.5
Massachusetts,394961,3653022,293838,836230,868647,1654375,35.8,68.9,80.7,82.1,82.6,80.7,75.5,62.8,31.2,7.6,77.3,79.8,75,32.8,83.2,78.5,57.1,72.2,77.3,86.1,17,9.3,5.6,4,3.8,4.4,3.7,3.9,4,1.9,4.8,5.2,4.4,25.5,3.6,4.3,9.4,5.8,4.7,2.7
