State,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
Michigan,831530,4931971,436802,1410266,1779474,1524795,35,68.2,76.1,76.6,77.6,75.6,66.9,49.3,20.7,5.3,71.2,74.5,67.9,37.1,78,71.6,44,63.7,74,84,19.3,10.9,7.4,6,5.1,4.2,3.8,3.5,3.3,2.8,5.7,6.1,5.2,23.5,3.9,5,11.6,7.1,4.9,2.4
Minnesota,295628,2923540,180035,642080,1004298,1068535,45.7,79.1,84.9,85.7,85.1,85.1,77.7,61.6,27,5.9,81.1,83.6,78.4,44.1,85.5,81.3,58.7,75.2,82.2,88,12,5.7,4.8,2.9,3.4,2.5,3.3,2.8,2.3,3,3.5,3.9,3,17,2.6,3.2,8.3,4.4,3.3,1.9
Missouri,460814,3013701,285648,903434,1004051,950902,38.8,70.5,75.7,79.4,80.1,76.2,67.8,53.2,24.6,6.1,73.2,76.4,70.1,38,80,73.5,49.4,68,75,84.5,13.5,7.9,6.7,4.9,3.7,4.1,3.2,2.2,2.1,2.7,4.6,4.8,4.4,21,3.2,4.2,10.2,5.1,4.4,2.1
Nevada,220330,1510444,222509,457613,529509,359218,28.7,69.4,75.4,76.5,77.7,75.8,66.5,49.9,22,6.1,72,76.9,67,37.2,78.2,72.3,64.7,69,73,80.2,18.8,10.3,8.7,5.5,5.2,5.7,5.6,4.4,4.7,3.7,6.3,6.1,6.6,25.1,4.7,5.9,6.3,7.8,5.6,3.9
NewYork,1568726,10231358,1265315,2610871,2728809,4017816,24.6,60.5,76.6,78.2,78.7,77.2,69.8,55.6,26.1,6.8,72.6,76.3,69.1,34.8,79.6,74.2,54.4,67.2,74.7,84.6,20.3,11.5,6.8,5.5,4.8,4.2,4.2,4.2,4,3.1,5.6,5.8,5.4,23.2,4.1,4.9,8.6,6.5,5.2,3.1
NorthCarolina,834194,5038243,593985,1287680,1723188,1703741,29.6,62.9,75.1,75.1,76.9,75.4,67.3,50.1,22.2,5.8,70.7,74.7,66.9,38.8,77.4,71.7,53.6,64.8,72.9,82,22,10.9,7.3,6,5.4,4.1,4,3.5,3,3.2,5.7,5.4,6,22.7,3.9,5,9.4,7.2,4.9,2.8
Ohio,925490,5752861,509237,1887731,1865078,1775101,38.4,69.7,78,78.2,78.6,77.3,68.9,55,24.2,6,73.3,76.7,70,37.7,80.4,73.8,45.2,68.1,76.6,85,17.2,9.8,6.3,5.8,4.8,4,3.4,2.9,2.9,2.6,5.2,5.6,4.8,23.7,3.4,4.6,12.7,6.3,4.2,2.1
Pennsylvania,894708,6462835,543477,2170334,1744185,2242218,33.1,64.6,78,78.5,78.8,77.4,70.6,55.6,25,6,73.1,76,70.3,34.4,80,74.1,48.7,67.6,76.3,85,18.7,11.2,6.4,5.4,4.8,4.1,3.9,3.4,3.1,3.7,5.3,5.7,4.9,24.1,3.9,4.7,10.5,6.2,4.4,2.7
Tennessee,565554,3287522,378052,1102733,1036310,964848,34.1,66.9,74.3,74.7,75.1,73.6,63.4,49.3,22.8,6.7,69.6,74.1,65.3,35.6,76.8,70,46.1,64.4,73,82.5,16.5,9.9,7,5.1,4.6,4,3.1,2.7,3.4,2.3,5.1,4.9,5.3,21.9,3.4,4.5,8.5,6.1,4.1,2.5
Texas,2144860,13917576,2306170,3589821,4255845,4270601,27.9,65,75,75.6,77.4,75.9,69.1,54.8,26.7,6.6,72.2,78.4,66,43.1,78.4,73.2,60.6,68.3,74.9,82.5,18.2,9.8,6.2,4.9,4.3,4,4,3.7,3.5,3.3,5.1,5.1,5.1,16.5,4,4.5,6.2,5.4,4.7,3
Washington,476229,3865155,350634,836873,1324512,1405723,30.7,67,75.4,77.1,77.5,77.5,70,55.6,23.5,5.4,72.9,77.3,68.5,36.7,78.3,73.6,58.4,67.1,72.4,82.5,19.3,9.7,6.7,4.6,4.4,4,3.6,2.7,2.9,3.5,5,5.3,4.6,22.6,3.7,4.4,8.3,6.3,4.5,2.7
Wisconsin,374372,2977001,211714,846436,1009983,937935,47,76.2,82,83.3,84.1,82.6,74.9,56.7,22.9,6.5,78.3,80.9,75.7,44.7,83.7,78.6,55.9,73.7,80.2,86.4,11.2,7,5.3,3.9,3.2,2.7,2.7,2.5,2.3,2.1,3.8,3.9,3.6,17.4,2.7,3.3,7.5,4.2,3.5,1.8
