MetroArea,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces
"Atlanta-Sandy Springs-Roswell, GA Metro Area",5709731,2768670,48.5,2941061,51.5,367065,6.4,405048,7.1,418044,7.3,398541,7,386396,6.8,789903,13.8,829207,14.5,823961,14.4,354029,6.2,300846,5.3,407921,7.1,168808,3,59962,1.1,4270010,4270010,2030550,47.6,2239460,52.4,636691,636691,273565,43,363126,57,5569881,97.6,3126057,54.7,1918474,33.6,17276,0.3,318702,5.6,2031,0,603175,10.6,187341,3.3,139850,2.4
"Baltimore-Columbia-Towson, MD Metro Area",2797407,1349860,48.3,1447547,51.7,170167,6.1,171598,6.1,171130,6.1,177437,6.3,185973,6.6,407396,14.6,347808,12.4,398335,14.2,198512,7.1,168362,6,234470,8.4,113881,4.1,52338,1.9,2178677,2178677,1032870,47.4,1145807,52.6,400689,400689,170962,42.7,229727,57.3,2718943,97.2,1714709,61.3,807220,28.9,6273,0.2,156586,5.6,1429,0.1,152662,5.5,32726,1.2,78464,2.8
"Boston-Cambridge-Newton, MA-NH Metro Area",4774321,2318265,48.6,2456056,51.4,260734,5.5,262155,5.5,276296,5.8,316510,6.6,344989,7.2,702894,14.7,600944,12.6,688946,14.4,330757,6.9,292058,6.1,395141,8.3,201896,4.2,101001,2.1,3801423,3801423,1821409,47.9,1980014,52.1,698038,698038,299250,42.9,398788,57.1,4628359,96.9,3676828,77,382861,8,5948,0.1,364827,7.6,765,0,503956,10.6,197130,4.1,145962,3.1
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135230,549850,48.4,585380,51.6,61248,5.4,62273,5.5,66285,5.8,72720,6.4,80348,7.1,152317,13.4,126656,11.2,158357,13.9,88089,7.8,74526,6.6,104878,9.2,57534,5.1,29999,2.6,902152,902152,431250,47.8,470902,52.2,192411,192411,81632,42.4,110779,57.6,1110816,97.8,903423,79.6,141223,12.4,5760,0.5,34958,3.1,285,0,53999,4.8,25167,2.2,24414,2.2
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2426363,1177811,48.5,1248552,51.5,151476,6.2,168628,6.9,171656,7.1,160081,6.6,156615,6.5,328478,13.5,347206,14.3,348533,14.4,154781,6.4,130395,5.4,189669,7.8,85650,3.5,33195,1.4,1834316,1834316,876626,47.8,957690,52.2,308514,308514,132765,43,175749,57,2370988,97.7,1657526,68.3,545138,22.5,8209,0.3,83347,3.4,582,0,235222,9.7,76186,3.1,55375,2.3
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9550108,4669867,48.9,4880241,51.1,591582,6.2,618075,6.5,641599,6.7,636303,6.7,654881,6.9,1364392,14.3,1284702,13.5,1314558,13.8,643699,6.7,549034,5.7,724638,7.6,363990,3.8,162655,1.7,7307058,7307058,3526562,48.3,3780496,51.7,1251283,1251283,537147,42.9,714136,57.1,9319623,97.6,6302165,66,1603377,16.8,23070,0.2,611259,6.4,3951,0,2092026,21.9,775801,8.1,230485,2.4
"Cincinnati, OH-KY-IN Metro Area",2159329,1056401,48.9,1102928,51.1,134783,6.2,140213,6.5,153545,7.1,148296,6.9,142960,6.6,285477,13.2,269600,12.5,297351,13.8,151205,7,134833,6.2,175198,8.1,82495,3.8,43373,2,1641475,1641475,792420,48.3,849055,51.7,301066,301066,130449,43.3,170617,56.7,2108912,97.7,1774068,82.2,259911,12,3017,0.1,50027,2.3,2225,0.1,65267,3,19664,0.9,50417,2.3
"Cleveland-Elyria, OH Metro Area",2060810,996464,48.4,1064346,51.6,115756,5.6,118388,5.7,131545,6.4,132023,6.4,130975,6.4,252744,12.3,243859,11.8,287015,13.9,156955,7.6,141490,6.9,194568,9.4,103931,5,51561,2.5,1612890,1612890,767054,47.6,845836,52.4,350060,350060,148922,42.5,201138,57.5,2010255,97.5,1522415,73.9,413050,20,5702,0.3,45931,2.2,730,0,112996,5.5,22427,1.1,50555,2.5
"Dallas-Fort Worth-Arlington, TX Metro Area",7102165,3490752,49.2,3611413,50.8,502231,7.1,541442,7.6,531268,7.5,493029,6.9,479103,6.7,1038439,14.6,1014333,14.3,974239,13.7,424635,6,355415,5,461230,6.5,207458,2.9,79343,1.1,5215351,5215351,2527847,48.5,2687504,51.5,748031,748031,325971,43.6,422060,56.4,6911787,97.3,4960842,69.8,1098308,15.5,34749,0.5,451657,6.4,6840,0.1,2018562,28.4,359391,5.1,190378,2.7
"Denver-Aurora-Lakewood, CO Metro Area",2814330,1401100,49.8,1413230,50.2,177290,6.3,189452,6.7,187333,6.7,169194,6,171977,6.1,453574,16.1,410292,14.6,378194,13.4,178402,6.3,162212,5.8,207672,7.4,89325,3.2,39413,1.4,2152998,2152998,1064454,49.4,1088544,50.6,336410,336410,149739,44.5,186671,55.5,2709369,96.3,2297071,81.6,156682,5.6,21005,0.7,109547,3.9,3856,0.1,645348,22.9,121208,4.3,104961,3.7
