MetroArea,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3629190,1798067,49.5,1831123,50.5,233915,6.4,235964,6.5,245068,6.8,227861,6.3,219906,6.1,529805,14.6,491546,13.5,463940,12.8,258695,7.1,215197,5.9,301415,8.3,144737,4,61141,1.7,2772213,2772213,1361400,49.1,1410813,50.9,507293,507293,226499,44.6,280794,55.4,3500732,96.5,2845996,78.4,314994,8.7,22769,0.6,242873,6.7,711,0,217078,6,73389,2,128458,3.5,171037,1990622,113691,366434,604172,874886,46.7,77.1,86.4,88,87.5,85.9,80.5,62.6,27.6,7.1,82.7,85.2,80.3,42.4,86.7,83.4,63.6,76.7,83.2,88.9,8.5,6.3,3.6,2.1,2.6,2.3,2.2,3.8,2,1.9,3,3.1,2.9,17.1,2.3,2.6,6.9,3.6,3.1,1.6
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1932099,947173,49,984926,51,122376,6.3,126572,6.6,123909,6.4,125020,6.5,123389,6.4,295581,15.3,267236,13.8,254164,13.2,127991,6.6,109590,5.7,157753,8.2,74617,3.9,23901,1.2,1486012,1486012,717430,48.3,768582,51.7,256271,256271,112490,43.9,143781,56.1,1879297,97.3,1486135,76.9,294180,15.2,5131,0.3,52604,2.7,1449,0.1,143097,7.4,39798,2.1,52802,2.7,121015,1038339,92875,269714,292508,399465,38.1,75.9,83,83.6,82,80.9,70,59,29.3,7.5,78,83.6,72.7,44.3,83,78.3,57.8,71.6,79.7,86.4,15.6,7.1,3.9,3.2,2.6,2.5,3.5,2.3,1.2,4.9,3.4,3.3,3.5,17.4,2.3,2.9,6,3.9,3,1.8
"New Orleans-Metairie, LA Metro Area",1270399,614492,48.4,655907,51.6,79948,6.3,72197,5.7,84162,6.6,74809,5.9,73492,5.8,186733,14.7,162384,12.8,161402,12.7,87494,6.9,86596,6.8,122605,9.7,57720,4.5,20857,1.6,987568,987568,469743,47.6,517825,52.4,201182,201182,89209,44.3,111973,55.7,1243001,97.8,725467,57.1,448822,35.3,5650,0.4,34124,2.7,253,0,114026,9,28685,2.3,27398,2.2,113404,630395,78154,185922,204960,215573,25,59.8,77.1,76.3,75.5,73.3,68,50.5,26.7,8.7,70.1,73.1,67.3,31.8,78.2,71.2,47.3,63.7,73.9,83.8,20.4,12.6,4.7,6.7,6.1,6.2,3.9,2.8,2.7,1.8,6.1,6,6.1,29.2,3.8,5.5,15.8,6.5,5.1,2.6
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19979477,9672470,48.4,10307007,51.6,1206502,6,1128696,5.6,1230080,6.2,1188318,5.9,1261822,6.3,2942971,14.7,2604502,13,2678462,13.4,1348414,6.7,1246301,6.2,1759716,8.8,952774,4.8,430919,2.2,15690043,15690043,7481735,47.7,8208308,52.3,3143409,3143409,1334618,42.5,1808791,57.5,19326652,96.7,11524534,57.7,3420991,17.1,72874,0.4,2226627,11.1,9101,0,4924385,24.6,2072525,10.4,652825,3.3,1262111,10679340,1183224,2476480,2412346,4748600,21.5,60.6,79.5,81.1,81.1,79.7,73.1,60.3,29.1,7.4,75.4,80.1,71,35.3,80.9,77.2,58.5,70.9,76.8,85.3,19.5,10.7,5.4,4.4,3.9,3.7,3.9,3.5,3.4,3.8,4.7,4.7,4.6,21.4,3.6,4.1,7.1,5,4.6,2.9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6096372,2946054,48.3,3150318,51.7,351994,5.8,358323,5.9,383075,6.3,386539,6.3,387911,6.4,872147,14.3,756115,12.4,797716,13.1,430206,7.1,398629,6.5,557325,9.1,291221,4.8,125171,2.1,4775449,4775449,2274781,47.6,2500668,52.4,973717,973717,417127,42.8,556590,57.2,5914628,97,4011936,65.8,1285687,21.1,10565,0.2,369588,6.1,2542,0,591878,9.7,234310,3.8,181744,3,410043,3172649,248692,892817,801035,1312269,32,65.9,78.6,80.8,80,78.4,71.8,59.6,28.7,8.2,74.9,77.4,72.5,34.3,81.2,75.9,49.9,67.4,77.2,85.9,16,10.1,7,5,4.7,4.4,4.6,3.5,4.6,2.7,5.4,5.9,4.9,23.9,4.1,4.9,10.2,7.3,5.2,2.7
"Phoenix-Mesa-Scottsdale, AZ Metro Area",4857962,2415266,49.7,2442696,50.3,304660,6.3,312379,6.4,341168,7,322902,6.6,318182,6.5,699690,14.4,633615,13,601673,12.4,286866,5.9,276803,5.7,443135,9.1,233582,4.8,83307,1.7,3704034,3704034,1825414,49.3,1878620,50.7,760024,760024,345580,45.5,414444,54.5,4666239,96.1,3826597,78.8,277836,5.7,113770,2.3,192042,4,11965,0.2,1515683,31.2,244029,5,191723,3.9,305597,2461512,306647,559451,826125,806424,34.7,72,77.9,77.7,78.5,79,68.5,54.6,22.9,5.9,74.3,79.5,69.1,40.2,79.9,74.6,60.1,68.5,75.7,83.3,15.7,8.4,5.8,3.8,3.4,2.9,4.3,3.4,3.1,3.5,4.3,4.4,4.3,17.1,3.4,3.8,6.1,5.9,3.4,2.3
"Pittsburgh, PA Metro Area",2324743,1131947,48.7,1192796,51.3,117740,5.1,117318,5,127655,5.5,132619,5.7,135332,5.8,312155,13.4,267240,11.5,297651,12.8,172437,7.4,180558,7.8,258687,11.1,140195,6,65156,2.8,1886029,1886029,908988,48.2,977041,51.8,464038,464038,200454,43.2,263584,56.8,2270338,97.7,2008492,86.4,190320,8.2,2325,0.1,59469,2.6,379,0,42268,1.8,9353,0.4,54405,2.3,143139,1204319,52733,342356,344666,490286,37.4,68.1,83,83.1,83.6,80.6,72.5,58.6,25.7,7,76.6,80.3,72.9,35.8,82.2,77.5,47.4,68.5,78.8,86.1,12.3,8.4,4.8,3.5,3.4,3.2,3.6,3.3,2.8,4.1,4,4.1,3.9,19.6,3,3.6,8.6,5.7,3.3,2.2
"San Francisco-Oakland-Hayward, CA Metro Area",4729484,2343130,49.5,2386354,50.5,255397,5.4,245105,5.2,275736,5.8,255220,5.4,265621,5.6,770445,16.3,687334,14.5,646842,13.7,305648,6.5,289980,6.1,423312,9,213129,4.5,95715,2,3798163,3798163,1865538,49.1,1932625,50.9,732156,732156,323269,44.2,408887,55.8,4416883,93.4,2258551,47.8,341977,7.2,23664,0.5,1255010,26.5,31321,0.7,1033915,21.9,506360,10.7,312601,6.6,230628,2717687,235306,399834,623568,1441541,27.4,67.6,83.1,84.2,84.6,81.2,75.3,61.5,31,7.6,78.9,83.4,74.3,37.8,82.8,80,67.3,73.2,76.2,85.5,14.6,7.9,3.8,3.9,3.2,3.3,3.2,3.3,3.1,2.3,3.8,3.8,3.7,21.5,2.9,3.4,4.6,4,4.5,2.7
"Seattle-Tacoma-Bellevue, WA Metro Area",3939363,1972803,50.1,1966560,49.9,240310,6.1,241198,6.1,231352,5.9,218064,5.5,238725,6.1,669820,17,570762,14.5,514618,13.1,254479,6.5,232004,5.9,321934,8.2,142589,3.6,63508,1.6,3092686,3092686,1540997,49.8,1551689,50.2,528031,528031,235562,44.6,292469,55.4,3669363,93.1,2669825,67.8,236630,6,32150,0.8,553171,14,35635,0.9,402525,10.2,141952,3.6,270000,6.9,203161,2253419,149749,408136,670222,1013576,31.9,69,82.3,81.5,82.3,81,74.9,59.4,27.6,5.6,77.8,82.4,73,37.6,82.1,78.7,65.2,72.7,76.2,84.7,15.6,8.3,3.8,3.1,2.9,3,2.3,3,1.5,3.8,3.5,3.6,3.4,19.1,2.7,3,6.2,3.7,3.3,2.3
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3142663,1523799,48.5,1618864,51.5,168313,5.4,172708,5.5,178205,5.7,175933,5.6,174743,5.6,415551,13.2,389366,12.4,416076,13.2,217327,6.9,212008,6.7,348184,11.1,194689,6.2,79560,2.5,2516526,2516526,1204605,47.9,1311921,52.1,622433,622433,278250,44.7,344183,55.3,3023503,96.2,2427557,77.2,382296,12.2,9323,0.3,106874,3.4,1732,0.1,629987,20,95721,3,119160,3.8,224601,1584022,153623,462949,498989,534767,28.9,69.4,79.7,77.1,79.1,77.2,67,50.3,21.2,5.2,72.8,76.8,69,34.5,78.9,73.2,55.2,68,74.4,81.7,22.2,9.8,5.8,4.6,4.2,3.5,4.1,3.8,3.7,6.3,4.8,4.7,4.8,22.7,3.4,4.3,7.4,5.2,4.4,2.8
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6251240,3060837,49,3190403,51,403717,6.5,387590,6.2,407116,6.5,391183,6.3,393546,6.3,932132,14.9,901992,14.4,856239,13.7,410568,6.6,354166,5.7,488148,7.8,234096,3.7,90747,1.5,4816925,4816925,2325207,48.3,2491718,51.7,812991,812991,357041,43.9,455950,56.1,5956835,95.3,3311568,53,1582494,25.3,16268,0.3,628076,10,4183,0.1,1009755,16.2,414246,6.6,294405,4.7,259891,3543965,274529,586414,766502,1827652,30.1,68.8,82.7,84.1,83.7,84.1,78.2,65.3,34.9,8.7,79.9,83.9,76.1,40.4,83.5,81.2,69.4,74.5,77.9,86.5,16.8,10,5.5,3.6,3.5,3.4,3.5,3.1,3,5,4.3,4,4.7,25.9,3.3,3.7,6,6.2,4.8,2.3
