State,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
Arizona,540590,3358777,458638,823793,1198014,1030067,32.5,68.3,74.8,75.2,76.3,75.1,66,49.9,21,5.6,70.9,75.6,66.2,37.5,78,71.3,55.6,65.3,72.4,81.6,20.8,9,6.3,4.8,4.3,4.4,4.1,4.2,3,3.6,5.2,5.1,5.2,21.4,3.6,4.7,7.1,6.6,4.8,2.5
California,2809135,20762623,3348498,4412959,6161241,7251758,23.3,62.9,76,77.1,77.3,76.3,69.3,55,25.8,6.3,72.3,77.7,66.8,37.6,78.1,73.5,60.1,68.7,73.8,82.4,21.3,10.6,6.3,5.3,4.6,4.4,4.4,4.4,4,4.2,5.5,5.5,5.5,21.2,4.2,4.9,7.1,6.2,4.8,3.5
Colorado,332823,3030626,249874,630201,891392,1276902,39.3,72.9,80.9,79.2,80.9,80.8,73.1,59.4,27.5,7.8,76.8,80.8,72.8,43.9,81.8,77.3,62.6,71.2,76.4,83.9,13.7,6.8,3.9,4,3.5,3.1,3.2,3.1,3,1.4,3.8,3.9,3.7,16.4,2.9,3.5,4.6,4.8,3.9,2.5
Florida,1538044,10320602,1143719,3042602,3366774,3251850,26.9,66,74.3,77,77.6,76.1,66.5,51.8,21.5,5.4,71.4,75.4,67.5,36.6,77.9,72,55.1,67.4,74,80.2,17.8,9.5,6.7,5,4.5,4.1,4.2,4.1,3.7,4.3,5.2,5.1,5.3,21.3,3.8,4.7,8.1,5.7,4.6,3.1
Georgia,804536,5252458,643837,1486809,1593031,1770499,28,64.8,74.8,76,76.6,76.8,67.2,52.2,23,6,71.6,75.9,67.5,38.5,78.5,72.5,53,66.4,74.2,83.3,19.6,10.6,6.5,4.8,5.2,3.7,3.9,3.2,3.6,3,5.3,4.9,5.7,20.8,3.8,4.6,9.3,5.8,4.5,2.8
Illinois,868597,6615008,663881,1630129,1995913,2469539,32.3,66,78.6,79.5,80,78.9,71.3,55.9,25.9,6.3,74.4,78.2,70.7,38,80.5,75.5,56.3,68.8,76.1,84.6,19.1,11.8,7.2,5.7,4.8,4.3,4.1,4,3.5,3.1,5.7,6,5.4,26.2,4.1,5,9.1,7.4,5.1,2.8
Indiana,487197,3304801,355972,1039039,1048080,968340,36.3,69.3,78.1,78.3,78.9,78.7,71.6,55.3,24.8,6.1,74.1,78.1,70.2,38.1,80.8,74.8,51.6,68.8,78,86.2,16.1,8.1,5.2,4.4,4.5,3.1,2.7,2.4,2,1.9,4.3,4.3,4.3,19.4,3,3.8,9.3,4.8,3.6,1.8
Louisiana,477335,2187303,332242,801413,694333,596178,24.9,59.2,71.7,73,72.8,71.5,63,48.5,23.3,7.3,67.1,69.6,64.7,34.6,76.3,68.1,41.9,63.4,72.6,83.9,20.1,12.6,9.1,6.3,6.2,3.7,3.5,2.7,3.2,2.3,6.2,6.5,5.9,23.8,4,5.4,13.1,6.8,4.7,2.2
Maryland,302336,3278728,298141,759748,865790,1341339,32,65.7,79,80.7,82.5,81.9,75.8,60.6,30.1,8.8,76.9,79.8,74.2,35.3,82.2,78.2,58.4,71,78.1,86.8,17.4,10.4,6.5,5.5,4.1,3.3,3.8,3,3.8,3.8,4.8,4.8,4.9,24.8,3.8,4.2,8.6,6.5,4.4,2.4
Massachusetts,393386,3676554,283105,838017,867689,1691938,35.4,68.4,80.6,82.7,81.7,81.6,75.3,62.8,32,7.4,77.3,80.4,74.4,34,83.1,78.5,55.1,71.9,78.8,85.6,14.6,7.4,4.9,4.4,3.9,3.3,3.4,2.9,3.5,3.4,4.2,4.4,3.9,22.3,3.1,3.8,7.6,5.4,3.8,2.6
Michigan,774589,4984906,411712,1392693,1770926,1578866,35.4,70.6,76.9,77.5,78,76.7,67.5,51,20.5,5.9,72.2,75.7,68.7,36.2,78.8,72.4,46,65,74.1,84,18.4,9.6,7.6,6.2,4.5,3.9,3.9,3.2,3.4,2.4,5.4,5.7,5,25,3.6,4.8,12.5,6.5,4.8,2.3
Minnesota,291176,2941706,181168,644115,980363,1113866,46.3,80.4,85.5,85.2,86,84.4,77.4,63.7,27.7,6.4,81.4,83.9,78.9,45.4,85.7,81.6,59.4,74.8,82.6,88.1,12.1,5.2,3.7,3.6,2.9,2.6,3,2.1,1.9,2.4,3.2,3.5,2.9,15.2,2.5,3,8,3.9,3.1,1.8
Missouri,434772,3035992,286505,904243,974667,974591,38,70.9,78.4,80.3,80.6,77.5,68.7,53.3,24,6.7,74,77.2,71,38.5,80.7,74.5,48.9,68.1,76.5,85.8,14.5,7.9,5.8,4.2,3.6,3.4,2.8,2.6,2.3,2.6,4.2,4.4,4,18.6,3.1,3.7,10.6,5.3,3.1,1.9
Nevada,209395,1556329,213605,463219,533348,394329,28.9,70.8,78.5,77.1,78.3,76.2,68.4,49.5,22.8,6.4,73.1,78.1,67.9,38.8,78.8,73.3,66.2,70.3,74,79.7,21.1,9.4,5.7,6,4.8,4.3,4.4,5.2,4.7,6.6,5.4,5.2,5.6,24.8,3.8,5,6.5,6.1,4.9,3.1
NewYork,1494547,10314312,1247033,2635741,2698071,4079238,25.1,60.7,77.3,79.3,79.3,77.8,70.3,57.6,26.5,7.3,73.3,76.7,70,34.3,80.1,74.9,54.6,68.2,75.3,85.3,18.1,11,6.4,5.3,4.3,4.1,3.7,3.3,3.5,3.8,5.2,5.6,4.8,23.2,3.8,4.6,8.4,5.8,4.8,2.9
NorthCarolina,799343,5128876,584146,1296509,1713940,1766592,30.2,62.3,76.3,77.3,78.3,76.6,67.6,51.8,22.9,6.4,71.8,75,68.7,37.9,78.6,73,54.3,66.8,74,82.8,18.6,10.5,6.6,4.9,4,3.4,3.6,2.3,2.9,3.2,4.8,4.7,4.9,20,3.4,4.1,7.7,5.5,4.3,2.3
Ohio,881796,5788288,512461,1888065,1847435,1794308,37.8,71.5,78.3,79.5,79.7,77.7,68.8,54.3,24.6,5.7,73.9,77.1,70.7,38.1,80.6,74.2,46.2,68.4,76.9,85.4,16.7,8.2,6.4,5,4.3,3.6,3.1,3,2.7,4,4.7,4.9,4.4,21.3,3.2,4.2,11.8,5.5,4.1,1.9
Pennsylvania,871695,6462418,522536,2170495,1721861,2269407,34.2,66.5,78.8,78.9,79.1,78.1,71.9,56.5,25.7,6.6,73.9,77.3,70.5,32.9,80.9,74.8,49,67.7,77,85.8,17.3,10,5.5,5.7,4.3,3.5,3.3,3.6,3.6,3.1,4.8,5.1,4.6,24.1,3.5,4.2,9.5,5.7,4.3,2.3
Tennessee,536579,3342919,369486,1110524,1029111,1008932,34.5,68.8,76.7,77.4,77.9,74.3,66.1,50.7,23,6.3,71.6,76,67.3,35.7,78.6,71.9,48.3,66.1,74.5,84.4,16,9,5.6,4.7,4.2,3.3,3.1,2.4,2.3,3.3,4.5,4.4,4.6,19.6,3.2,4,8.8,5.2,3.9,1.9
Texas,2044554,14277325,2257283,3647642,4343199,4435730,27.7,65.2,75.4,76.5,77.2,76.7,69.2,55.6,26.6,6.9,72.6,78.9,66.2,42.1,78.6,73.6,61.5,68.1,75.1,82.7,17.7,8.9,5.5,4.7,3.9,3.8,3.7,3.2,3.6,3.3,4.7,4.6,4.8,16.9,3.6,4.2,5.6,5,4.5,2.7
Washington,451993,3952991,335603,854281,1347205,1447120,32.1,68.5,78.4,77,78.5,78.6,70.2,56,23.1,5.6,74,78.6,69.2,37.5,79.2,74.6,59.4,68.7,73.6,82.6,18.3,8.6,5,5.1,3.8,3.7,3.3,3.2,2.6,2.8,4.5,4.5,4.6,20.6,3.4,4,7.7,5.7,3.9,2.6
