State,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces
Michigan,9922576,4877067,49.2,5045509,50.8,570655,5.8,598189,6,636928,6.4,676059,6.8,712398,7.2,1221558,12.3,1175407,11.8,1375302,13.9,730014,7.4,655425,6.6,908606,9.2,458619,4.6,203416,2.1,7714752,7714752,3748128,48.6,3966624,51.4,1570641,1570641,695418,44.3,875223,55.7,9650639,97.3,7801483,78.6,1378111,13.9,53668,0.5,293157,3,3757,0,485972,4.9,120463,1.2,271937,2.7
Minnesota,5489594,2730030,49.7,2759564,50.3,350927,6.4,356553,6.5,361354,6.6,356969,6.5,362856,6.6,745711,13.6,675937,12.3,744590,13.6,390211,7.1,339528,6.2,451628,8.2,238759,4.3,114571,2.1,4206696,4206696,2071636,49.2,2135060,50.8,804958,804958,361152,44.9,443806,55.1,5333856,97.2,4614799,84.1,320267,5.8,55212,1,258839,4.7,1570,0,282040,5.1,83169,1.5,155738,2.8
Missouri,6083672,2983645,49,3100027,51,374370,6.2,394003,6.5,383841,6.3,410146,6.7,424100,7,796209,13.1,733744,12.1,807305,13.3,428490,7,380516,6.3,540203,8.9,286170,4.7,124575,2,4691106,4691106,2271360,48.4,2419746,51.6,950948,950948,416051,43.8,534897,56.2,5933806,97.5,5011327,82.4,709969,11.7,25808,0.4,114889,1.9,6199,0.1,240413,4,65614,1.1,149866,2.5
Nevada,2890845,1447456,50.1,1443389,49.9,176933,6.1,191233,6.6,189784,6.6,175671,6.1,189057,6.5,411910,14.2,388122,13.4,390850,13.5,181199,6.3,173974,6,264352,9.1,120527,4.2,37233,1.3,2222290,2222290,1107329,49.8,1114961,50.2,422112,422112,199464,47.3,222648,52.7,2747279,95,1952341,67.5,246720,8.5,33607,1.2,231566,8,18326,0.6,813394,28.1,264719,9.2,143566,5
NewYork,19795791,9616592,48.6,10179199,51.4,1185088,6,1135365,5.7,1162921,5.9,1255601,6.3,1415343,7.1,2875580,14.5,2498772,12.6,2760964,13.9,1352469,6.8,1191241,6,1661791,8.4,869931,4.4,430725,2.2,15582624,15582624,7457463,47.9,8125161,52.1,2962447,2962447,1261783,42.6,1700664,57.4,19214381,97.1,12621132,63.8,3081333,15.6,69933,0.4,1672186,8.4,6446,0,3725193,18.8,1763351,8.9,581410,2.9
NorthCarolina,10042802,4896006,48.8,5146796,51.2,598858,6,642590,6.4,654511,6.5,678256,6.8,705943,7,1298130,12.9,1312886,13.1,1364407,13.6,670409,6.7,601267,6,906975,9,441678,4.4,166892,1.7,7754752,7754752,3724425,48,4030327,52,1515545,1515545,658879,43.5,856666,56.5,9801345,97.6,6934715,69.1,2172492,21.6,120513,1.2,268322,2.7,4990,0,911674,9.1,300313,3,241457,2.4
Ohio,11613423,5683951,48.9,5929472,51.1,689288,5.9,718862,6.2,753824,6.5,779720,6.7,775259,6.7,1486363,12.8,1400811,12.1,1575665,13.6,836258,7.2,757819,6.5,1044297,9,537991,4.6,257266,2.2,8983615,8983615,4338198,48.3,4645417,51.7,1839554,1839554,798960,43.4,1040594,56.6,11304092,97.3,9519055,82,1426291,12.3,21901,0.2,233468,2,4995,0,411202,3.5,98382,0.8,309331,2.7
Pennsylvania,12802503,6262246,48.9,6540257,51.1,714892,5.6,750131,5.9,747764,5.8,843862,6.6,850127,6.6,1648641,12.9,1501855,11.7,1774180,13.9,945070,7.4,844788,6.6,1199864,9.4,656960,5.1,324369,2.5,10110483,10110483,4883973,48.3,5226510,51.7,2181193,2181193,942140,43.2,1239053,56.8,12493132,97.6,10386678,81.1,1408512,11,25085,0.2,420116,3.3,4253,0,870209,6.8,248488,1.9,309371,2.4
Tennessee,6600299,3214689,48.7,3385610,51.3,399237,6,414645,6.3,423160,6.4,432276,6.5,457494,6.9,865801,13.1,841160,12.7,893939,13.5,459186,7,397621,6,607647,9.2,293726,4.5,114407,1.7,5106499,5106499,2454974,48.1,2651525,51.9,1015780,1015780,448323,44.1,567457,55.9,6459319,97.9,5129336,77.7,1110412,16.8,19294,0.3,107075,1.6,2909,0,333460,5.1,90293,1.4,140980,2.1
Texas,27469114,13625413,49.6,13843701,50.4,1966708,7.2,2052116,7.5,2003725,7.3,1968657,7.2,2005047,7.3,3977864,14.5,3725435,13.6,3496526,12.7,1631946,5.9,1419583,5.2,1928709,7,935127,3.4,357671,1.3,20260330,20260330,9950860,49.1,10309470,50.9,3221507,3221507,1428111,44.3,1793396,55.7,26777787,97.5,20587917,74.9,3298173,12,132948,0.5,1248823,4.5,20071,0.1,10672216,38.9,1489855,5.4,691327,2.5
Washington,7170351,3585221,50,3585130,50,444671,6.2,462010,6.4,434856,6.1,450710,6.3,488790,6.8,1050364,14.6,926769,12.9,948243,13.2,487492,6.8,439820,6.1,624151,8.7,285286,4,127189,1.8,5558381,5558381,2761352,49.7,2797029,50.3,1036626,1036626,473605,45.7,563021,54.3,6773113,94.5,5513655,76.9,262552,3.7,92403,1.3,568108,7.9,46453,0.6,886419,12.4,289942,4,397238,5.5
Wisconsin,5771337,2868297,49.7,2903040,50.3,336843,5.8,366301,6.3,364306,6.3,378190,6.6,406700,7,725456,12.6,696695,12.1,798893,13.8,426763,7.4,370427,6.4,506537,8.8,267557,4.6,126669,2.2,4479298,4479298,2205411,49.2,2273887,50.8,900763,900763,403895,44.8,496868,55.2,5639636,97.7,4965524,86,362290,6.3,51752,0.9,156192,2.7,1643,0,381149,6.6,102235,1.8,131701,2.3
