State,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces
Arizona,6828065,3387385,49.6,3440680,50.4,429860,6.3,456155,6.7,460054,6.7,464814,6.8,480228,7,914761,13.4,845274,12.4,842972,12.3,415824,6.1,398119,5.8,652858,9.6,335901,4.9,131245,1.9,5206537,5206537,2561598,49.2,2644939,50.8,1120004,1120004,515072,46,604932,54,6605619,96.7,5285994,77.4,300685,4.4,308469,4.5,217556,3.2,11284,0.2,2098411,30.7,481631,7.1,222446,3.3
California,39144818,19440558,49.7,19704260,50.3,2507649,6.4,2540713,6.5,2519716,6.4,2606760,6.7,2884717,7.4,5832712,14.9,5190370,13.3,5243141,13.4,2480156,6.3,2149326,5.5,2981899,7.6,1518127,3.9,689532,1.8,30028400,30028400,14786858,49.2,15241542,50.8,5189558,5189558,2298554,44.3,2891004,55.7,37391047,95.5,23824254,60.9,2277229,5.8,282777,0.7,5548936,14.2,157554,0.4,15184545,38.8,5300297,13.5,1753771,4.5
Colorado,5456574,2741020,50.2,2715554,49.8,333539,6.1,359884,6.6,357031,6.5,351894,6.4,382373,7,827137,15.2,737989,13.5,711031,13,352606,6.5,331518,6.1,436772,8,191972,3.5,82828,1.5,4199802,4199802,2100215,50,2099587,50,711572,711572,323620,45.5,387952,54.5,5263243,96.5,4607390,84.4,224809,4.1,49138,0.9,162880,3,9136,0.2,1164278,21.3,209890,3.8,193331,3.5
Florida,20271272,9891238,48.8,10380034,51.2,1098273,5.4,1137660,5.6,1146160,5.7,1210563,6,1284335,6.3,2593253,12.8,2463472,12.2,2743332,13.5,1359858,6.7,1289133,6.4,2185122,10.8,1228681,6.1,531430,2.6,16168283,16168283,7803581,48.3,8364702,51.7,3945233,3945233,1771351,44.9,2173882,55.1,19769416,97.5,15357374,75.8,3280778,16.2,47032,0.2,544068,2.7,11898,0.1,4962905,24.5,528266,2.6,501856,2.5
Georgia,10214860,4975458,48.7,5239402,51.3,649360,6.4,717436,7,709025,6.9,726627,7.1,728645,7.1,1383268,13.5,1388193,13.6,1401045,13.7,645444,6.3,563058,5.5,809315,7.9,362897,3.6,130547,1.3,7712446,7712446,3695751,47.9,4016695,52.1,1302759,1302759,563658,43.3,739101,56.7,9980736,97.7,6077438,59.5,3197929,31.3,28491,0.3,388457,3.8,4337,0,950093,9.3,284084,2.8,234124,2.3
Illinois,12859995,6310435,49.1,6549560,50.9,779666,6.1,821924,6.4,845577,6.6,857029,6.7,893861,7,1773212,13.8,1672605,13,1744768,13.6,876726,6.8,766402,6,1040206,8.1,540245,4.2,247774,1.9,9899810,9899810,4801668,48.5,5098142,51.5,1828225,1828225,791259,43.3,1036966,56.7,12564530,97.7,9238679,71.8,1844624,14.3,28792,0.2,674236,5.2,4514,0,2171988,16.9,773685,6,295465,2.3
Indiana,6619680,3253089,49.1,3366591,50.9,419209,6.3,431017,6.5,454693,6.9,466373,7,484815,7.3,842022,12.7,822598,12.4,878429,13.3,452571,6.8,402629,6.1,555659,8.4,285259,4.3,124406,1.9,5039946,5039946,2448618,48.6,2591328,51.4,965324,965324,421586,43.7,543738,56.3,6462941,97.6,5559694,84,605660,9.1,15704,0.2,138664,2.1,2602,0,439094,6.6,140617,2.1,156739,2.4
Louisiana,4670724,2286299,48.9,2384425,51.1,304845,6.5,325163,7,299797,6.4,311822,6.7,333842,7.1,670600,14.4,578072,12.4,597756,12.8,312351,6.7,282868,6.1,383313,8.2,194195,4.2,76100,1.6,3554539,3554539,1711452,48.1,1843087,51.9,653608,653608,284257,43.5,369351,56.5,4573051,97.9,2914693,62.4,1502375,32.2,22645,0.5,81039,1.7,1146,0,228578,4.9,51153,1.1,97673,2.1
Maryland,6006401,2912348,48.5,3094053,51.5,366627,6.1,375402,6.3,373801,6.2,387700,6.5,400385,6.7,834133,13.9,769729,12.8,868662,14.5,421380,7,361597,6,498035,8.3,243301,4.1,105649,1.8,4658669,4658669,2223758,47.7,2434911,52.3,846985,846985,365364,43.1,481621,56.9,5819107,96.9,3395048,56.5,1770161,29.5,15403,0.3,385167,6.4,2911,0,572263,9.5,250417,4.2,187294,3.1
Massachusetts,6794422,3297384,48.5,3497038,51.5,365383,5.4,374601,5.5,396265,5.8,456905,6.7,494624,7.3,941776,13.9,838603,12.3,976402,14.4,477635,7,428002,6.3,590043,8.7,298338,4.4,155845,2.3,5407228,5407228,2587786,47.9,2819442,52.1,1044226,1044226,448520,43,595706,57,6596038,97.1,5373238,79.1,499357,7.3,10663,0.2,430739,6.3,1410,0,757948,11.2,280631,4.1,198384,2.9
