MetroArea,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces
"Detroit-Warren-Dearborn, MI Metro Area",4313002,2100208,48.7,2212794,51.3,253313,5.9,252254,5.8,279454,6.5,271353,6.3,268651,6.2,567489,13.2,515911,12,606540,14.1,315611,7.3,291662,6.8,406540,9.4,195679,4.5,88545,2.1,3352665,3352665,1608411,48,1744254,52,690764,690764,299175,43.3,391589,56.7,4204557,97.5,2989036,69.3,960599,22.3,13555,0.3,187949,4.4,1043,0,191143,4.4,52375,1.2,108445,2.5
"Green Bay, WI Metro Area",320050,159653,49.9,160397,50.1,20035,6.3,23675,7.4,19114,6,20389,6.4,19611,6.1,41038,12.8,40240,12.6,42907,13.4,23110,7.2,20998,6.6,28398,8.9,14667,4.6,5868,1.8,244990,244990,121310,49.5,123680,50.5,48933,48933,22233,45.4,26700,54.6,310849,97.1,275868,86.2,6806,2.1,7332,2.3,8537,2.7,0,0,23820,7.4,12306,3.8,9201,2.9
"Houston-The Woodlands-Sugar Land, TX Metro Area",6892427,3424638,49.7,3467789,50.3,512498,7.4,509706,7.4,519027,7.5,475644,6.9,449712,6.5,1036871,15,982115,14.2,887030,12.9,404887,5.9,373080,5.4,468139,6.8,199910,2.9,73808,1.1,5048853,5048853,2482908,49.2,2565945,50.8,741857,741857,330922,44.6,410935,55.4,6728829,97.6,4539294,65.9,1188466,17.2,26770,0.4,543112,7.9,3332,0,2569796,37.3,427855,6.2,163598,2.4
"Indianapolis-Carmel-Anderson, IN Metro Area",2027059,990721,48.9,1036338,51.1,135760,6.7,134375,6.6,149278,7.4,133575,6.6,123845,6.1,292506,14.4,268292,13.2,267362,13.2,132224,6.5,118200,5.8,161950,8,78271,3.9,31421,1.6,1524775,1524775,731481,48,793294,52,271642,271642,117336,43.2,154306,56.8,1970895,97.2,1569359,77.4,305486,15.1,3290,0.2,63480,3.1,414,0,138346,6.8,28866,1.4,56164,2.8
"Jacksonville, FL Metro Area",1504980,731479,48.6,773501,51.4,93647,6.2,97918,6.5,91271,6.1,91994,6.1,92880,6.2,215653,14.3,188476,12.5,203273,13.5,110457,7.3,89183,5.9,143512,9.5,65056,4.3,21660,1.4,1165832,1165832,560086,48,605746,52,230228,230228,101996,44.3,128232,55.7,1458733,96.9,1040204,69.1,324101,21.5,3819,0.3,62675,4.2,228,0,132135,8.8,27706,1.8,46247,3.1
"Kansas City, MO-KS Metro Area",2126945,1045499,49.2,1081446,50.8,139086,6.5,150086,7.1,144396,6.8,133804,6.3,126166,5.9,297447,14,279394,13.1,277130,13,139671,6.6,134063,6.3,181066,8.5,87901,4.1,36735,1.7,1606625,1606625,778335,48.4,828290,51.6,305702,305702,133843,43.8,171859,56.2,2061577,96.9,1659012,78,263358,12.4,10007,0.5,62608,2.9,2951,0.1,193271,9.1,63641,3,65368,3.1
"Las Vegas-Henderson-Paradise, NV Metro Area",2204079,1099857,49.9,1104222,50.1,139156,6.3,146987,6.7,142196,6.5,134297,6.1,135606,6.2,329846,15,304861,13.8,295065,13.4,135322,6.1,123627,5.6,197679,9,91083,4.1,28354,1.3,1689888,1689888,836864,49.5,853024,50.5,317116,317116,147972,46.7,169144,53.3,2095938,95.1,1296594,58.8,258429,11.7,16275,0.7,224757,10.2,16380,0.7,688812,31.3,283503,12.9,108141,4.9
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13353907,6584663,49.3,6769244,50.7,805140,6,781254,5.9,838583,6.3,849092,6.4,937381,7,2100563,15.7,1802564,13.5,1831294,13.7,850996,6.4,756048,5.7,1026020,7.7,520303,3.9,254669,1.9,10423003,10423003,5085363,48.8,5337640,51.2,1800992,1800992,783984,43.5,1017008,56.5,12838467,96.1,6947526,52,879168,6.6,90380,0.7,2157705,16.2,36427,0.3,6031492,45.2,2727261,20.4,515440,3.9
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6158824,2993170,48.6,3165654,51.4,346834,5.6,338694,5.5,349634,5.7,353060,5.7,362098,5.9,833831,13.5,805467,13.1,880208,14.3,420498,6.8,368685,6,582214,9.5,349775,5.7,167826,2.7,4906636,4906636,2354472,48,2552164,52,1099815,1099815,473527,43.1,626288,56.9,6020719,97.8,4335992,70.4,1314191,21.3,13516,0.2,156216,2.5,1130,0,2789474,45.3,199674,3.2,138105,2.2
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3600618,1786760,49.6,1813858,50.4,233996,6.5,236597,6.6,243448,6.8,229563,6.4,217582,6,528442,14.7,478908,13.3,476397,13.2,252475,7,215800,6,289868,8.1,138686,3.9,58856,1.6,2745073,2745073,1349337,49.2,1395736,50.8,487410,487410,216854,44.5,270556,55.5,3486544,96.8,2824525,78.4,311157,8.6,22405,0.6,241731,6.7,1268,0,212115,5.9,85458,2.4,114074,3.2
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1904226,927868,48.7,976358,51.3,123331,6.5,121747,6.4,125276,6.6,125785,6.6,124264,6.5,290955,15.3,259096,13.6,255738,13.4,124170,6.5,109190,5.7,151799,8,67443,3.5,25432,1.3,1460718,1460718,702988,48.1,757730,51.9,244674,244674,105896,43.3,138778,56.7,1855662,97.4,1493047,78.4,283956,14.9,4883,0.3,51916,2.7,1200,0.1,137694,7.2,20660,1.1,48564,2.6
"New Orleans-Metairie, LA Metro Area",1275762,615036,48.2,660726,51.8,80358,6.3,80254,6.3,77651,6.1,76101,6,79504,6.2,188084,14.7,164683,12.9,162870,12.8,86711,6.8,86553,6.8,118231,9.3,54301,4.3,20461,1.6,991468,991468,469976,47.4,521492,52.6,192993,192993,84606,43.8,108387,56.2,1253252,98.2,721012,56.5,452392,35.5,4267,0.3,38239,3,159,0,115089,9,37183,2.9,22510,1.8
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",20320876,9832766,48.4,10488110,51.6,1225697,6,1165795,5.7,1239530,6.1,1222861,6,1321416,6.5,3007265,14.8,2653233,13.1,2782263,13.7,1356881,6.7,1242878,6.1,1742331,8.6,921870,4.5,438856,2.2,15945251,15945251,7597530,47.6,8347721,52.4,3103057,3103057,1311028,42.2,1792029,57.8,19729037,97.1,11737983,57.8,3490216,17.2,61796,0.3,2306839,11.4,8026,0,4994395,24.6,2124177,10.5,591839,2.9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6096120,2949278,48.4,3146842,51.6,353679,5.8,360053,5.9,383652,6.3,391392,6.4,396243,6.5,871691,14.3,744483,12.2,820832,13.5,423447,6.9,400261,6.6,543457,8.9,275552,4.5,131378,2.2,4767043,4767043,2269686,47.6,2497357,52.4,950387,950387,405321,42.6,545066,57.4,5935103,97.4,4095677,67.2,1278614,21,12028,0.2,367634,6,2355,0,578762,9.5,178795,2.9,161017,2.6
"Phoenix-Mesa-Scottsdale, AZ Metro Area",4737270,2354739,49.7,2382531,50.3,305265,6.4,306663,6.5,337208,7.1,317643,6.7,308444,6.5,679718,14.3,617153,13,596066,12.6,284940,6,259468,5.5,426671,9,218059,4.6,79972,1.7,3593003,3593003,1771055,49.3,1821948,50.7,724702,724702,329520,45.5,395182,54.5,4556150,96.2,3693624,78,253169,5.3,106691,2.3,186768,3.9,11477,0.2,1469056,31,304421,6.4,181120,3.8
"Pittsburgh, PA Metro Area",2333367,1135275,48.7,1198092,51.3,118925,5.1,113732,4.9,132980,5.7,137507,5.9,137443,5.9,309158,13.2,265572,11.4,307897,13.2,175176,7.5,180066,7.7,252844,10.8,133359,5.7,68708,2.9,1889410,1889410,909105,48.1,980305,51.9,454911,454911,195740,43,259171,57,2271448,97.3,2016783,86.4,188228,8.1,2333,0.1,55431,2.4,900,0,40528,1.7,7773,0.3,61919,2.7
"San Francisco-Oakland-Hayward, CA Metro Area",4727357,2337366,49.4,2389991,50.6,257809,5.5,258815,5.5,266026,5.6,253453,5.4,272370,5.8,768900,16.3,682380,14.4,657617,13.9,309907,6.6,285013,6,414238,8.8,201488,4.3,99341,2.1,3789565,3789565,1858426,49,1931139,51,715067,715067,315758,44.2,399309,55.8,4421630,93.5,2296865,48.6,338259,7.2,24139,0.5,1241479,26.3,34055,0.7,1033991,21.9,486833,10.3,305727,6.5
"Seattle-Tacoma-Bellevue, WA Metro Area",3867046,1936045,50.1,1931001,49.9,239103,6.2,237510,6.1,225656,5.8,217211,5.6,239660,6.2,644572,16.7,552548,14.3,521083,13.5,246581,6.4,237089,6.1,307573,8,135416,3.5,63044,1.6,3030534,3030534,1508116,49.8,1522418,50.2,506033,506033,225270,44.5,280763,55.5,3598386,93.1,2645382,68.4,219502,5.7,25961,0.7,522036,13.5,34537,0.9,389865,10.1,150968,3.9,268660,6.9
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3091399,1497422,48.4,1593977,51.6,168431,5.4,169847,5.5,177230,5.7,175707,5.7,172950,5.6,407554,13.2,377572,12.2,418795,13.5,216388,7,204510,6.6,340671,11,184261,6,77483,2.5,2467713,2467713,1180238,47.8,1287475,52.2,602415,602415,269101,44.7,333314,55.3,2995249,96.9,2429223,78.6,382775,12.4,11066,0.4,108119,3.5,1615,0.1,601042,19.4,62451,2,96150,3.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6216710,3042042,48.9,3174668,51.1,400517,6.4,390534,6.3,403096,6.5,387605,6.2,391937,6.3,933289,15,895978,14.4,875716,14.1,405988,6.5,347102,5.6,477519,7.7,218716,3.5,88713,1.4,4787000,4787000,2311316,48.3,2475684,51.7,784948,784948,344708,43.9,440240,56.1,5958885,95.9,3284121,52.8,1574262,25.3,21508,0.3,639707,10.3,3063,0,982809,15.8,436224,7,257825,4.1
