Year,City,State,Team,PositionInLeague,InSuperBowl,WonSuperBowl,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
2015,Minneapolis,Minnesota,Vikings,7,0,0,3524583,1744650,49.5,1779933,50.5,232792,6.6,234430,6.7,238457,6.8,224633,6.4,219693,6.2,516396,14.7,464012,13.2,496779,14.1,248129,7,201494,5.7,260856,7.4,125530,3.6,61382,1.7,2679040,2679040,1311163,48.9,1367877,51.1,447768,447768,197656,44.1,250112,55.9,3408189,96.7,2816262,79.9,281345,8,18402,0.5,226181,6.4,638,0,200674,5.7,65361,1.9,116394,3.3,181952,1945062,120015,376595,613980,816220,43.4,78,86.5,84.5,86.1,84.8,79,61.4,27,5.7,81.7,84.8,78.6,47.8,85.4,82.1,59,75.9,82.4,88.2,13.4,8.5,4.1,3.8,2.7,3.3,3.6,2.9,3.4,4.1,3.9,4.3,3.4,17.8,3,3.3,9.2,4.7,3.3,2.2
2015,Kansas City,Missouri,Chiefs,6,0,0,2088269,1023031,49,1065238,51,139363,6.7,148378,7.1,143413,6.9,132146,6.3,129467,6.2,290413,13.9,275157,13.2,281316,13.5,141355,6.8,122534,5.9,164964,7.9,81943,3.9,37820,1.8,1571995,1571995,759468,48.3,812527,51.7,284727,284727,123134,43.2,161593,56.8,2025430,97,1645819,78.8,261672,12.5,8284,0.4,57722,2.8,2510,0.1,184887,8.9,49423,2.4,62839,3,129554,1098004,92652,267074,333913,417136,40.5,73.9,80.7,82,82.9,80.3,71.4,57.4,27.1,6.6,77.2,81.5,73,42.9,82,77.6,58.2,71.3,77.5,85.9,14.6,7.2,4.9,3.9,3.2,3.2,3.6,3.7,2.9,1.7,4,3.7,4.3,21.5,2.6,3.6,8.2,4.6,4.2,1.9
2015,Las Vegas,Nevada,Raiders,19,0,0,2114801,1056226,49.9,1058575,50.1,132074,6.2,141618,6.7,142100,6.7,130367,6.2,139075,6.6,312576,14.8,296119,14,285583,13.5,125356,5.9,120108,5.7,181016,8.6,84134,4,24675,1.2,1616237,1616237,802486,49.7,813751,50.3,289825,289825,135690,46.8,154135,53.2,2004961,94.8,1314736,62.2,232104,11,16922,0.8,204801,9.7,14568,0.7,646217,30.6,221830,10.5,109840,5.2,171895,1093409,168222,321321,389655,260544,24,69.1,72.9,75.4,75.8,74.5,63.3,49.6,22.4,6,70.7,75.6,65.8,35.9,77,70.9,60.4,67.8,73.8,77.3,21.4,11.9,8.6,7.7,7.8,6.8,8.1,6.5,6.6,4.9,8,7.9,8.3,32.1,5.6,7.6,10.1,9.3,6.8,5.3
2015,Buffalo,NewYork,Bills,15,0,0,1135230,549850,48.4,585380,51.6,61248,5.4,62273,5.5,66285,5.8,72720,6.4,80348,7.1,152317,13.4,126656,11.2,158357,13.9,88089,7.8,74526,6.6,104878,9.2,57534,5.1,29999,2.6,902152,902152,431250,47.8,470902,52.2,192411,192411,81632,42.4,110779,57.6,1110816,97.8,903423,79.6,141223,12.4,5760,0.5,34958,3.1,285,0,53999,4.8,25167,2.2,24414,2.2,96517,571509,46224,159252,198365,196104,36.8,69.2,76.7,79.4,78.5,78.1,71.5,53.2,22.4,6.8,73.5,75.8,71.3,32.5,81.6,74.1,43.4,67.9,75.6,84.8,12.8,7.3,7.2,4.7,3.8,4.5,3.3,3.8,3.8,2.5,4.8,5.5,4.1,21.8,3.4,4.5,12,5.7,3.8,3.5
2015,New York City,NewYork,Giants,24,0,0,20182305,9770188,48.4,10412117,51.6,1245146,6.2,1193699,5.9,1224539,6.1,1241316,6.2,1359053,6.7,2954435,14.6,2673908,13.2,2865503,14.2,1355028,6.7,1169534,5.8,1621940,8,854754,4.2,423450,2.1,15764223,15764223,7507934,47.6,8256289,52.4,2900144,2900144,1218523,42,1681621,58,19590266,97.1,11709580,58,3433190,17,59785,0.3,2212742,11,5980,0,4856860,24.1,2168989,10.7,592039,2.9,1518467,10718836,1340734,2625926,2532302,4519446,19.8,58.1,76.7,79.2,79.1,77.1,71.5,57.7,27.7,7.1,73.2,78.1,68.5,36.2,79.2,75,57.5,68.1,75.8,83.9,23.4,13.4,7.3,5.9,5.3,4.9,4.8,4.4,4.7,3.9,6.2,6.2,6.2,23.6,4.8,5.4,9.1,7.2,5.7,3.6
2015,New York City,NewYork,Jets,9,0,0,20182305,9770188,48.4,10412117,51.6,1245146,6.2,1193699,5.9,1224539,6.1,1241316,6.2,1359053,6.7,2954435,14.6,2673908,13.2,2865503,14.2,1355028,6.7,1169534,5.8,1621940,8,854754,4.2,423450,2.1,15764223,15764223,7507934,47.6,8256289,52.4,2900144,2900144,1218523,42,1681621,58,19590266,97.1,11709580,58,3433190,17,59785,0.3,2212742,11,5980,0,4856860,24.1,2168989,10.7,592039,2.9,1518467,10718836,1340734,2625926,2532302,4519446,19.8,58.1,76.7,79.2,79.1,77.1,71.5,57.7,27.7,7.1,73.2,78.1,68.5,36.2,79.2,75,57.5,68.1,75.8,83.9,23.4,13.4,7.3,5.9,5.3,4.9,4.8,4.4,4.7,3.9,6.2,6.2,6.2,23.6,4.8,5.4,9.1,7.2,5.7,3.6
2015,Charlotte,NorthCarolina,Panthers,1,1,0,2426363,1177811,48.5,1248552,51.5,151476,6.2,168628,6.9,171656,7.1,160081,6.6,156615,6.5,328478,13.5,347206,14.3,348533,14.4,154781,6.4,130395,5.4,189669,7.8,85650,3.5,33195,1.4,1834316,1834316,876626,47.8,957690,52.2,308514,308514,132765,43,175749,57,2370988,97.7,1657526,68.3,545138,22.5,8209,0.3,83347,3.4,582,0,235222,9.7,76186,3.1,55375,2.3,186856,1265639,142178,303622,398352,465241,31.1,68.8,77.8,80.9,80,77.4,67.9,52.5,23.2,6.1,74.3,81.2,67.9,39.5,80,75,55.8,68.8,76,84.1,24,12.7,8.1,6.2,5.1,4.9,4.3,5,3.9,4.1,6.3,5.4,7.3,26.8,4.3,5.5,11.2,7,6,3.1
2015,Cincinatti,Ohio,Bengals,3,0,0,2159329,1056401,48.9,1102928,51.1,134783,6.2,140213,6.5,153545,7.1,148296,6.9,142960,6.6,285477,13.2,269600,12.5,297351,13.8,151205,7,134833,6.2,175198,8.1,82495,3.8,43373,2,1641475,1641475,792420,48.3,849055,51.7,301066,301066,130449,43.3,170617,56.7,2108912,97.7,1774068,82.2,259911,12,3017,0.1,50027,2.3,2225,0.1,65267,3,19664,0.9,50417,2.3,157063,1107626,89468,318598,339334,391066,33.6,70.6,80.1,80.8,79.4,76.7,71,57.1,25.9,6.1,74.7,78.7,70.7,37.8,80.9,75.2,44.6,69.2,77.2,85.3,19.6,8.6,6.4,6,4.2,4.2,3.6,3.2,3.3,4.3,5,5.2,4.8,25.2,3.3,4.6,12.2,6.5,4.5,2.3
2015,Cleveland,Ohio,Browns,31,0,0,2060810,996464,48.4,1064346,51.6,115756,5.6,118388,5.7,131545,6.4,132023,6.4,130975,6.4,252744,12.3,243859,11.8,287015,13.9,156955,7.6,141490,6.9,194568,9.4,103931,5,51561,2.5,1612890,1612890,767054,47.6,845836,52.4,350060,350060,148922,42.5,201138,57.5,2010255,97.5,1522415,73.9,413050,20,5702,0.3,45931,2.2,730,0,112996,5.5,22427,1.1,50555,2.5,167378,1028380,88439,300961,348266,344397,38.8,66.7,78,77.7,78,77.4,69.9,54.2,25.2,5.4,72.8,75.1,70.6,33.3,80.2,73.5,43.2,68,74.2,85.4,19.5,15.7,9,6.9,6.8,5.2,4.9,3.4,4.5,2.3,7.1,7.5,6.7,33.5,4.6,6.1,17.8,7.7,6.4,2.7
2015,Philadelphia,Pennsylvania,Eagles,20,0,0,6069875,2933637,48.3,3136238,51.7,361655,6,365015,6,380526,6.3,399727,6.6,408746,6.7,848246,14,748741,12.3,852447,14,436454,7.2,367383,6.1,505711,8.3,265914,4.4,129310,2.1,4726183,4726183,2247737,47.6,2478446,52.4,900935,900935,381535,42.3,519400,57.7,5901815,97.2,4081353,67.2,1256068,20.7,12541,0.2,355209,5.9,2543,0,545061,9,194101,3.2,168060,2.8,431482,3172649,275413,899465,832760,1245633,28,63.3,75.9,77.7,78.5,77.6,71.4,58.4,28.2,7,73.3,76.4,70.5,32.1,79.9,74.6,45.5,67,76.8,85,21.2,12.8,8.4,6.6,6.1,5.3,5.2,4.8,4.8,3.4,6.7,7.2,6.2,30,5,6,15.5,8.4,6.5,3.1
2015,Pittsburgh,Pennsylvania,Steelers,10,0,0,2353045,1142933,48.6,1210112,51.4,120988,5.1,130011,5.5,119749,5.1,141630,6,142930,6.1,309845,13.2,266407,11.3,324323,13.8,185249,7.9,172472,7.3,236608,10.1,133360,5.7,69473,3,1900239,1900239,912016,48,988223,52,439441,439441,186404,42.4,253037,57.6,2295698,97.6,2046837,87,189005,8,1713,0.1,50915,2.2,669,0,38961,1.7,6559,0.3,57347,2.4,161714,1218165,62060,372764,357476,465996,34.4,68.5,80,79.6,80.7,77.6,72.5,56,24.1,5.9,74.4,78.7,70.2,35.6,80.5,75.1,42.8,67,77.1,84.2,19.4,9.6,6.2,5,4.6,4.9,3.5,3.8,3.2,3.7,5.2,5.3,5.2,23.9,3.8,4.7,12.7,6.7,4.7,2.9
2015,Nashville,Tennessee,Titans,32,0,0,1830298,892146,48.7,938152,51.3,115097,6.3,126680,6.9,115988,6.3,118745,6.5,129609,7.1,266575,14.6,253634,13.9,253057,13.8,124505,6.8,99675,5.4,138375,7.6,62473,3.4,25885,1.4,1400817,1400817,674439,48.1,726378,51.9,226733,226733,99439,43.9,127294,56.1,1786551,97.6,1426262,77.9,276422,15.1,5793,0.3,44791,2.4,396,0,126350,6.9,32887,1.8,43747,2.4,129464,981510,96271,266187,278575,356413,35.9,74.3,81.7,79.7,81.1,77,68.8,55.5,25.3,7.4,75.7,81.6,70.1,41.3,81.2,75.9,53,69.8,77.7,85.2,19.9,7.1,5.8,3.8,3.3,3.9,3.7,3.1,2.4,2.7,4.3,4,4.6,17.9,3.2,3.9,8.8,5.4,3.9,2.1
2015,Dallas,Texas,Cowboys,29,0,0,7102165,3490752,49.2,3611413,50.8,502231,7.1,541442,7.6,531268,7.5,493029,6.9,479103,6.7,1038439,14.6,1014333,14.3,974239,13.7,424635,6,355415,5,461230,6.5,207458,2.9,79343,1.1,5215351,5215351,2527847,48.5,2687504,51.5,748031,748031,325971,43.6,422060,56.4,6911787,97.3,4960842,69.8,1098308,15.5,34749,0.5,451657,6.4,6840,0.1,2018562,28.4,359391,5.1,190378,2.7,489522,3761325,580724,836662,1090247,1299428,31.6,69.4,77.7,79.4,79.4,79,72.1,59.3,28.3,7.3,75.6,82.8,68.6,43.6,80.4,76.4,65.2,70.4,77.4,84.3,14.8,8.7,5.7,4.2,3.9,3.6,3.6,3.2,3.7,3.4,4.5,4.4,4.7,16.3,3.6,4,5.8,5.2,4.5,2.4
2015,Houston,Texas,Texans,12,0,0,6656946,3306193,49.7,3350753,50.3,486647,7.3,517311,7.8,492132,7.4,460113,6.9,459362,6.9,1003372,15.1,951972,14.3,867963,13,397089,6,349034,5.2,423280,6.4,184614,2.8,64057,1,4869218,4869218,2394328,49.2,2474890,50.8,671951,671951,299438,44.6,372513,55.4,6492534,97.5,4387895,65.9,1143291,17.2,24727,0.4,500359,7.5,1843,0,2429487,36.5,434419,6.5,164412,2.5,480346,3499309,616443,826096,985338,1141553,25.9,66,78.1,74.6,77.4,76.9,70.3,57.7,28.8,7.7,73.3,81.9,64.9,44.1,78.2,74.3,64.5,69,75.2,82.6,18.7,9.9,5.4,5.9,4.7,3.8,4.6,3.7,4.2,1.4,5.2,5,5.6,18.1,4.1,4.7,5.3,6,5.1,3.3
2015,Washington D.C.,WashingtoD.C.,Red skins,13,0,0,6098283,2979768,48.9,3118515,51.1,403868,6.6,403440,6.6,378549,6.2,380596,6.2,398975,6.5,929053,15.2,883782,14.5,877236,14.4,393308,6.4,335081,5.5,434602,7.1,197036,3.2,82757,1.4,4683490,4683490,2257889,48.2,2425601,51.8,714395,714395,311293,43.6,403102,56.4,5850413,95.9,3282044,53.8,1543325,25.3,16436,0.3,613621,10.1,3945,0.1,929746,15.2,391042,6.4,247870,4.1,283507,3487698,306905,614577,758368,1738610,29,66.8,81.4,82.1,83.5,82.8,75.8,62.3,33,8,78.5,82.9,74.3,41.4,82.3,79.9,67.8,73.2,77.6,85.4,17.7,10.6,5.8,4.6,3.3,4,3.9,4.1,4.1,2.2,4.8,4.6,5,23.6,3.8,4.2,7.6,6.5,4.5,2.8
2015,Seattle,Washington,Sea hawks,11,0,0,3733580,1865516,50,1868064,50,234160,6.3,233407,6.3,216520,5.8,216187,5.8,245758,6.6,604182,16.2,526650,14.1,519916,13.9,249203,6.7,218247,5.8,280335,7.5,129939,3.5,59076,1.6,2916551,2916551,1448654,49.7,1467897,50.3,469350,469350,207895,44.3,261455,55.7,3495126,93.6,2612891,70,212314,5.7,30623,0.8,473435,12.7,34402,0.9,365564,9.8,131461,3.5,238454,6.4,226118,2116503,150663,415715,656584,895236,29.8,67.4,76.4,78.6,79.8,78.7,72.6,57.6,26.3,4.3,74.9,80.2,69.4,35,79.8,75.7,58.5,68.4,74.3,83.1,18.9,9.4,6.2,5,4.6,4.2,4,3.1,4.2,2.3,5.1,4.9,5.3,25.9,3.8,4.6,9.3,6.3,5.1,3.1
2015,Green Bay,Wisconsin,Packers,8,0,0,316519,158151,50,158368,50,19772,6.2,21851,6.9,20664,6.5,20151,6.4,20050,6.3,41818,13.2,39630,12.5,44186,14,23208,7.3,19015,6,26214,8.3,13502,4.3,6458,2,241857,241857,119380,49.4,122477,50.6,46174,46174,20731,44.9,25443,55.1,306577,96.9,276043,87.2,5668,1.8,6095,1.9,8128,2.6,28,0,22555,7.1,10615,3.4,9942,3.1,18682,165590,13229,50943,57810,45875,54.6,74.3,83,86.3,80.8,86.1,80.9,55,23,6.5,79.6,83.5,75.7,43.8,85.2,80.3,53,78.7,82.2,87.5,8.5,8.2,3.5,4,3.8,3.3,1.4,2.4,2.7,0,3.7,3,4.5,19.4,2.6,3.2,9,2.6,3,3
