State,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
Missouri,6126452,3003165,49,3123287,51,370408,6,373737,6.1,401199,6.5,391923,6.4,406398,6.6,819132,13.4,742343,12.1,753354,12.3,419591,6.8,413293,6.7,596623,9.7,313646,5.1,124805,2,4748726,77.5,2298091,48.4,2450635,51.6,1035074,16.9,456820,44.1,578254,55.9,5952588,97.2,5035197,82.2,704327,11.5,27705,0.5,121417,2,7385,0.1,253474,4.1,56557,0.9,173864,2.8,433391,3040559,263761,889544,1000367,994041,38.2,69.8,79.9,80.4,80.8,77.7,68.5,52.9,23.9,6.1,74,76.6,71.4,37.2,80.9,74.6,48.9,67.4,76.8,85.6,11.6,7.4,4.7,4,3.5,2.9,3.1,2.3,2.8,4.1,3.9,4.5,3.3,18.2,2.8,3.5,11,4.8,3,1.7
Nevada,3034392,1522374,50.2,1512018,49.8,184539,6.1,188880,6.2,201625,6.6,182398,6,180376,5.9,442713,14.6,405128,13.4,396167,13.1,191059,6.3,186387,6.1,291996,9.6,138844,4.6,44280,1.5,2345172,77.3,1169070,49.9,1176102,50.1,475120,15.7,223916,47.1,251204,52.9,2878562,94.9,1924976,63.4,280385,9.2,44666,1.5,250137,8.2,19612,0.6,881145,29,358786,11.8,155830,5.1,210683,1568342,214690,455953,554825,395986,32.2,72.5,77.7,78.5,79.2,75.8,66.3,51.9,23.3,5.8,73.3,77.6,69,36.5,79.3,73.4,64,69.6,74.6,81.3,18.1,8.2,5.5,6,4.3,4.6,3.9,4.2,4.6,8.1,5.1,5.2,5,22.6,3.7,4.7,6.2,6.3,4.6,2.7
NewYork,19542209,9491313,48.6,10050896,51.4,1139842,5.8,1078979,5.5,1154737,5.9,1202251,6.2,1294057,6.6,2872898,14.7,2433825,12.5,2557338,13.1,1327824,6.8,1268393,6.5,1811595,9.3,967841,5,432629,2.2,15477524,79.2,7411537,47.9,8065987,52.1,3212065,16.4,1381107,43,1830958,57,18894554,96.7,12375601,63.3,3069259,15.7,84312,0.4,1666113,8.5,9424,0,3752523,19.2,1689845,8.6,647655,3.3,1412463,10137741,1169035,2550020,2596174,4145049,24.4,62.1,78.2,80.7,80.5,77.9,70.1,57.2,26.3,6.9,74,77.3,70.8,33.9,80.6,75.4,54.6,68.3,75.8,85.5,18.4,10.1,5.5,4.6,3.8,3.8,3.8,3.3,3,3.1,4.7,5,4.4,21.7,3.4,4.1,7.9,5.1,4.5,2.7
NorthCarolina,10383620,5052244,48.7,5331376,51.3,597192,5.8,620626,6,679947,6.5,701383,6.8,682328,6.6,1382310,13.3,1310404,12.6,1378087,13.3,677844,6.5,664925,6.4,1013996,9.8,495511,4.8,179067,1.7,8086762,77.9,3875167,47.9,4211595,52.1,1688574,16.3,737862,43.7,950712,56.3,10085477,97.1,7098569,68.4,2222533,21.4,120845,1.2,306682,3,10218,0.1,995529,9.6,326630,3.1,298143,2.9,769820,5195485,577061,1288844,1734701,1812964,32.3,62.5,75.3,77.6,78.9,77.5,68.9,53.9,23.1,6.6,72.3,76.1,68.7,39.4,78.8,73.6,54.5,67,74.7,83.2,17.6,9.7,6.8,4.1,3.7,3.2,3.2,2.4,3,3.2,4.5,4.2,4.8,18.2,3.3,3.9,7.5,5.3,4,2.1
Ohio,11689442,5732095,49,5957347,51,693129,5.9,691126,5.9,752239,6.4,773272,6.6,752641,6.4,1533104,13.1,1396763,11.9,1488201,12.7,816288,7,796516,6.8,1152361,9.9,595517,5.1,248285,2.1,9099006,77.8,4405595,48.4,4693411,51.6,1996163,17.1,874877,43.8,1121286,56.2,11331044,96.9,9470940,81,1446306,12.4,25672,0.2,271762,2.3,4228,0,455918,3.9,112136,1,358398,3.1,868288,5783405,481873,1838901,1846046,1864052,38,73.1,79.4,79.5,79.6,78.7,69.7,55.6,24.6,6.1,74.7,77.9,71.5,37.9,81.5,74.8,46.7,69.1,77,85.6,16.2,7.9,5.5,4.9,4.4,3.4,3.1,2.5,3,3.4,4.5,4.8,4,21,3,4,12.9,5.2,3.7,1.9
Pennsylvania,12807060,6271620,49,6535440,51,700416,5.5,708163,5.5,775827,6.1,815621,6.4,812406,6.3,1695073,13.2,1496113,11.7,1659541,13,916749,7.2,894782,7,1311159,10.2,707570,5.5,313640,2.4,10159443,79.3,4919474,48.4,5239969,51.6,2332369,18.2,1020825,43.8,1311544,56.2,12473515,97.4,10256084,80.1,1428406,11.2,21418,0.2,455027,3.6,5008,0,974763,7.6,307572,2.4,333545,2.6,847388,6451058,515398,2128238,1725900,2292722,35.3,67,79.7,80.7,80.8,79,72.3,57.9,25.7,7.1,75,77.8,72.2,36.1,81.7,76,52.2,69.2,77.9,86.1,15.6,9,5.9,4.4,3.9,3.4,3.7,2.9,3.4,2.9,4.5,4.8,4.2,20.5,3.4,4,8.3,5.4,3.9,2.3
Tennessee,6770010,3302191,48.8,3467819,51.2,404439,6,413172,6.1,434765,6.4,439465,6.5,437346,6.5,914783,13.5,846438,12.5,883961,13.1,445131,6.6,445713,6.6,658560,9.7,332775,4.9,113462,1.7,5260635,77.7,2527405,48,2733230,52,1104797,16.3,489258,44.3,615539,55.7,6618218,97.8,5235588,77.3,1137801,16.8,19136,0.3,119046,1.8,5494,0.1,372901,5.5,101153,1.5,151792,2.2,552668,3341993,368114,1104400,1042120,1021392,34.4,67.8,74.9,77.8,76.5,74.8,66.4,51.1,23.6,6.8,71.1,75.4,67.1,36.6,78.2,71.5,47.4,65.5,74.3,84,17.3,10.4,7.1,5.5,4.6,3.2,3.7,2.2,2.4,4.9,5.1,5,5.2,22.7,3.4,4.4,10.4,5.5,4.4,2.2
Texas,28701845,14250184,49.6,14451661,50.4,2010781,7,1984419,6.9,2171522,7.6,2069341,7.2,1988685,6.9,4181960,14.6,3910623,13.6,3550999,12.4,1694490,5.9,1539426,5.4,2174294,7.6,1042370,3.6,382935,1.3,21302361,74.2,10473771,49.2,10828590,50.8,3599599,12.5,1605880,44.6,1993719,55.4,27937855,97.3,21099066,73.5,3527027,12.3,149997,0.5,1430857,5,21463,0.1,11368844,39.6,1709445,6,763990,2.7,2091424,14419523,2244501,3693860,4324468,4614669,29,65.4,76.3,76.9,77.7,76.8,69.3,55.9,27.3,7.8,73,79.3,66.7,41.3,79.2,74,61.3,68.5,75.3,83.3,16,8.5,5.6,4.1,3.9,3.5,3.4,3.8,3.3,2.4,4.5,4.4,4.6,16.1,3.5,4,5,5.1,4.2,2.8
Washington,7535591,3766859,50,3768732,50,458194,6.1,466487,6.2,468155,6.2,452515,6,475177,6.3,1153369,15.3,1006328,13.4,930921,12.4,488025,6.5,472433,6.3,710781,9.4,325150,4.3,128056,1.7,5873652,77.9,2920360,49.7,2953292,50.3,1163987,15.4,532355,45.7,631632,54.3,7082958,94,5633263,74.8,291808,3.9,97329,1.3,661781,8.8,53924,0.7,970353,12.9,344853,4.6,452633,6,441729,4027268,341765,853315,1338992,1517004,32.1,69.8,78.2,79,79.7,78.9,70.8,55.4,24,5.3,74.7,79.1,70.2,37.3,79.8,75.3,62.5,69.7,73.4,82.9,17.3,8.2,4.3,3.5,3.4,3.1,2.6,3.1,2.5,4,3.9,3.9,3.8,19.5,2.9,3.4,6.8,4.3,3.5,2.2
Wisconsin,5813568,2891282,49.7,2922286,50.3,330651,5.7,342754,5.9,374768,6.4,378566,6.5,394807,6.8,735765,12.7,706676,12.2,738357,12.7,419486,7.2,405255,7,571672,9.8,290056,5,124755,2.1,4541463,78.1,2240074,49.3,2301389,50.7,986483,17,449922,45.6,536561,54.4,5667055,97.5,4957243,85.3,370632,6.4,50364,0.9,165380,2.8,1961,0,403833,6.9,121475,2.1,146513,2.5,352694,2988247,216915,833595,999699,955330,47,76.5,84.1,83.2,84.9,83.3,75.3,59.4,23.6,6.1,79.1,81.5,76.6,45.7,84.2,79.4,59.1,74.1,80.7,87.4,9.2,5.2,3.7,3,2.5,2.3,2.3,1.8,2.2,1.4,2.9,3.1,2.7,14,2.1,2.6,6.1,3.6,2.5,1.3
