State,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
Arizona,6931071,3444228,49.7,3486843,50.3,436322,6.3,459892,6.6,455551,6.6,475013,6.9,477884,6.9,929487,13.4,849315,12.3,846513,12.2,414697,6,416571,6,684376,9.9,357328,5.2,128122,1.8,5299649,76.5,2611425,49.3,2688224,50.7,1169826,1169826,539236,46.1,630590,53.9,6681391,96.4,5254944,75.8,299674,4.3,306247,4.4,220438,3.2,14140,0.2,2144775,30.9,585948,8.5,249680,3.6,580265,3265650,466553,809959,1183696,996375,31.7,67.9,73.3,73.4,75,74.3,65.7,48.6,20.5,5.1,69.8,74.5,65.1,39.3,77,70.1,54.1,64.2,71.6,80.5,20.9,10.7,6.7,6.3,4.6,4.9,4.6,4,4.2,5.7,5.9,5.9,5.8,21.3,4.2,5.2,10,6.6,4.8,3.1
California,39250017,19491231,49.7,19758786,50.3,2482422,6.3,2524786,6.4,2546294,6.5,2585154,6.6,2807120,7.2,5902164,15,5168066,13.2,5198221,13.2,2481314,6.3,2206037,5.6,3092039,7.9,1538860,3.9,717540,1.8,30156768,76.8,14848286,49.2,15308482,50.8,5348439,5348439,2371854,44.3,2976585,55.7,37370367,95.2,23420234,59.7,2265280,5.8,290133,0.7,5602074,14.3,150521,0.4,15280776,38.9,5642125,14.4,1879650,4.8,3009530,20389158,3524568,4259901,6143115,7028218,23.2,62.1,74.5,76.7,76.7,75.6,67.7,53.3,25.2,5.8,71.3,77,65.6,38.2,77.4,72.6,60,67.3,72.6,82,21.9,11.2,7.2,5.7,5.3,4.9,5.1,4.9,4,4.8,6.1,6,6.3,21.7,4.7,5.5,8.2,7,5.5,3.6
Colorado,5540545,2790701,50.4,2749844,49.6,335071,6,361119,6.5,353781,6.4,354657,6.4,390411,7,837560,15.1,745669,13.5,719910,13,371856,6.7,327455,5.9,460219,8.3,202606,3.7,80231,1.4,4280033,77.2,2140793,50,2139240,50,743056,743056,339794,45.7,403262,54.3,5356184,96.7,4654921,84,234142,4.2,54743,1,175951,3.2,8325,0.2,1181218,21.3,228102,4.1,184361,3.3,353185,2979087,254148,637867,894354,1216081,35.5,70.2,80.5,78,81.2,80.2,72.6,57,28.6,6.3,76,80.2,71.6,44.4,81.1,76.7,63.2,69.4,75.8,84.1,16.2,8.6,4.6,4.4,3.7,3.5,3.3,3,2.6,5,4.3,4.4,4.2,17.3,3.3,3.8,6.8,5.2,4,2.5
Florida,20612439,10070860,48.9,10541579,51.1,1117467,5.4,1133256,5.5,1166476,5.7,1224713,5.9,1266856,6.1,2660916,12.9,2467080,12,2755495,13.4,1419462,6.9,1309954,6.4,2278240,11.1,1269026,6.2,543498,2.6,16467299,79.9,7951948,48.3,8515351,51.7,4090764,4090764,1839806,45,2250958,55,20079688,97.4,15574165,75.6,3310428,16.1,52738,0.3,559393,2.7,12540,0.1,5126578,24.9,570424,2.8,532751,2.6,1607260,10057500,1219577,3000938,3311684,3080708,26.1,64.9,74.9,76.1,77.3,74.8,65.8,50.3,20.8,5.3,70.7,74.6,66.9,37.7,77.3,71.3,54.9,67.2,73,80.1,19.7,10.3,6.3,5.9,5.1,4.6,4.6,4.3,3.8,3.7,5.6,5.5,5.8,21.4,4.1,5.1,8.7,6.1,5.1,3.1
Georgia,10310371,5018150,48.7,5292221,51.3,654878,6.4,699964,6.8,723468,7,735575,7.1,711091,6.9,1403742,13.6,1385447,13.4,1403862,13.6,657357,6.4,575853,5.6,848651,8.2,378572,3.7,131911,1.3,7799761,75.6,3735972,47.9,4063789,52.1,1359134,1359134,589480,43.4,769654,56.6,10051915,97.5,6054861,58.7,3254495,31.6,37939,0.4,398897,3.9,6503,0.1,962334,9.3,299220,2.9,258456,2.5,855057,5137000,669436,1444444,1584205,1728176,28.7,62.8,74.2,74,76.7,76.1,66.3,50.5,22.3,6.6,70.8,75.1,66.7,37.7,78,71.8,51.5,65.5,73.7,83.2,18.9,10.9,6.9,6.3,4.9,3.6,4.3,3.8,2.9,3,5.5,5.3,5.8,22.9,3.8,4.9,9.9,6,5.1,2.7
Illinois,12801539,6289724,49.1,6511815,50.9,769490,6,807357,6.3,830625,6.5,854774,6.7,874074,6.8,1765751,13.8,1654483,12.9,1716447,13.4,860048,6.7,795660,6.2,1073859,8.4,541813,4.2,257158,2,9878820,77.2,4796996,48.6,5081824,51.4,1872830,1872830,811520,43.3,1061310,56.7,12480128,97.5,9123763,71.3,1813477,14.2,30470,0.2,684783,5.3,4851,0,2178790,17,822784,6.4,321411,2.5,892034,6637337,664752,1626704,2033865,2467068,31.1,68,79.3,80.6,79.8,78.5,69.5,54.7,24.5,6.2,74.4,78.1,70.8,38.8,80.5,75.3,55.3,68.4,75.9,84.6,20.3,11,6.7,5.3,5.1,4.8,5,4.3,3.7,4.3,5.8,5.9,5.7,25.5,4.2,5.2,10.3,7.3,5.4,2.9
Indiana,6633053,3267337,49.3,3365716,50.7,420367,6.3,444103,6.7,437512,6.6,464192,7,474303,7.2,857485,12.9,813214,12.3,864269,13,449806,6.8,414463,6.2,579237,8.7,290399,4.4,123703,1.9,5055520,76.2,2458014,48.6,2597506,51.4,993339,993339,434753,43.8,558586,56.2,6474410,97.6,5536418,83.5,617745,9.3,17515,0.3,141451,2.1,3526,0.1,448079,6.8,157755,2.4,158643,2.4,502125,3287247,356165,1075160,1039751,928161,35.3,71,77.7,78.4,78.1,78.1,71,56.3,23.9,6.2,74.1,78,70.1,40.6,80.6,74.5,51.1,69.5,77.7,85.7,15.9,8.4,6,4.9,4.2,3.5,2.8,2.7,2.4,1.8,4.6,4.7,4.4,18.8,3.3,4.1,10,5,3.9,1.9
Louisiana,4681666,2291880,49,2389786,51,306963,6.6,305789,6.5,317199,6.8,315906,6.7,320789,6.9,671108,14.3,583366,12.5,587387,12.5,314579,6.7,284401,6.1,403859,8.6,193434,4.1,76886,1.6,3564385,76.1,1719143,48.2,1845242,51.8,674179,674179,294468,43.7,379711,56.3,4588917,98,2901495,62,1514755,32.4,25508,0.5,77921,1.7,1030,0,231168,4.9,68208,1.5,92749,2,488695,2195316,349379,812699,693599,585164,25.8,60.7,70.5,72.6,73.6,70.7,58.4,47.8,24.2,7,66.6,69,64.2,36.3,75.4,67.4,42.8,63.4,71.6,82.4,24.3,12,8.5,6.1,6,4.7,5,4.2,1.9,1.6,6.5,7,5.9,22.7,4.4,5.8,13.5,7,4.9,2.7
Maryland,6016447,2917773,48.5,3098674,51.5,362895,6,376707,6.3,374531,6.2,385317,6.4,394489,6.6,832284,13.8,765502,12.7,854684,14.2,421724,7,371866,6.2,518401,8.6,247593,4.1,110454,1.8,4670295,77.6,2228185,47.7,2442110,52.3,876448,876448,378312,43.2,498136,56.8,5815406,96.7,3397255,56.5,1793593,29.8,15234,0.3,376518,6.3,2480,0,586730,9.8,230326,3.8,201041,3.3,310698,3260486,285001,787065,850820,1323174,30.8,65,77.5,82.3,83.2,81.2,75.6,59.1,30.9,8.4,76.6,79.6,73.9,36.3,81.9,78.1,61.3,70.6,78.2,86,18.3,11.3,7.5,4.2,4.1,3.8,3.3,3.5,3.6,3.9,5,5.1,4.9,26.5,3.8,4.3,7.5,6.6,4.6,2.5
Massachusetts,6811779,3305817,48.5,3505962,51.5,359774,5.3,364085,5.3,404687,5.9,459893,6.8,495825,7.3,950957,14,826713,12.1,960054,14.1,481240,7.1,434126,6.4,612922,9,307411,4.5,154092,2.3,5432832,79.8,2601274,47.9,2831558,52.1,1074425,1074425,463436,43.1,610989,56.9,6599414,96.9,5350175,78.5,506677,7.4,12547,0.2,440845,6.5,3758,0.1,779696,11.4,285412,4.2,212365,3.1,394961,3653022,293838,836230,868647,1654375,35.8,68.9,80.7,82.1,82.6,80.7,75.5,62.8,31.2,7.6,77.3,79.8,75,32.8,83.2,78.5,57.1,72.2,77.3,86.1,17,9.3,5.6,4,3.8,4.4,3.7,3.9,4,1.9,4.8,5.2,4.4,25.5,3.6,4.3,9.4,5.8,4.7,2.7
