State,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
Michigan,9928300,4883220,49.2,5045080,50.8,571663,5.8,599374,6,618799,6.2,672620,6.8,705442,7.1,1248301,12.6,1158269,11.7,1349140,13.6,729622,7.3,666005,6.7,940210,9.5,458117,4.6,210738,2.1,7737117,77.9,3763553,48.6,3973564,51.4,1609065,1609065,715138,44.4,893927,55.6,9622080,96.9,7793481,78.5,1363336,13.7,51161,0.5,292514,2.9,2967,0,491430,4.9,118621,1.2,306220,3.1,831530,4931971,436802,1410266,1779474,1524795,35,68.2,76.1,76.6,77.6,75.6,66.9,49.3,20.7,5.3,71.2,74.5,67.9,37.1,78,71.6,44,63.7,74,84,19.3,10.9,7.4,6,5.1,4.2,3.8,3.5,3.3,2.8,5.7,6.1,5.2,23.5,3.9,5,11.6,7.1,4.9,2.4
Minnesota,5519952,2747946,49.8,2772006,50.2,351080,6.4,367625,6.7,354541,6.4,356368,6.5,365055,6.6,744809,13.5,680392,12.3,727552,13.2,392973,7.1,349222,6.3,471206,8.5,237811,4.3,121318,2.2,4231329,76.7,2087052,49.3,2144277,50.7,830335,830335,373937,45,456398,55,5363306,97.2,4596566,83.3,331308,6,63229,1.1,258899,4.7,1452,0,288460,5.2,111852,2,156646,2.8,295628,2923540,180035,642080,1004298,1068535,45.7,79.1,84.9,85.7,85.1,85.1,77.7,61.6,27,5.9,81.1,83.6,78.4,44.1,85.5,81.3,58.7,75.2,82.2,88,12,5.7,4.8,2.9,3.4,2.5,3.3,2.8,2.3,3,3.5,3.9,3,17,2.6,3.2,8.3,4.4,3.3,1.9
Missouri,6093000,2994651,49.1,3098349,50.9,371532,6.1,383413,6.3,394332,6.5,416251,6.8,406458,6.7,799577,13.1,737255,12.1,792112,13,434237,7.1,380854,6.3,560897,9.2,289682,4.8,126400,2.1,4702936,77.2,2280183,48.5,2422753,51.5,976979,976979,430358,44,546621,56,5942900,97.5,5011507,82.3,702946,11.5,30888,0.5,117335,1.9,9193,0.2,243567,4,71031,1.2,150100,2.5,460814,3013701,285648,903434,1004051,950902,38.8,70.5,75.7,79.4,80.1,76.2,67.8,53.2,24.6,6.1,73.2,76.4,70.1,38,80,73.5,49.4,68,75,84.5,13.5,7.9,6.7,4.9,3.7,4.1,3.2,2.2,2.1,2.7,4.6,4.8,4.4,21,3.2,4.2,10.2,5.1,4.4,2.1
Nevada,2940058,1473153,50.1,1466905,49.9,183361,6.2,189607,6.4,190840,6.5,179975,6.1,185665,6.3,424305,14.4,390373,13.3,391041,13.3,186877,6.4,176253,6,275928,9.4,126239,4.3,39594,1.3,2262556,77,1126972,49.8,1135584,50.2,441761,441761,208138,47.1,233623,52.9,2800856,95.3,1966690,66.9,260993,8.9,34267,1.2,244373,8.3,20240,0.7,836626,28.5,274293,9.3,139202,4.7,220330,1510444,222509,457613,529509,359218,28.7,69.4,75.4,76.5,77.7,75.8,66.5,49.9,22,6.1,72,76.9,67,37.2,78.2,72.3,64.7,69,73,80.2,18.8,10.3,8.7,5.5,5.2,5.7,5.6,4.4,4.7,3.7,6.3,6.1,6.6,25.1,4.7,5.9,6.3,7.8,5.6,3.9
NewYork,19745289,9582050,48.5,10163239,51.5,1159019,5.9,1154082,5.8,1144724,5.8,1247594,6.3,1386278,7,2886788,14.6,2460284,12.5,2708708,13.7,1342783,6.8,1224248,6.2,1715037,8.7,874198,4.4,441546,2.2,15565903,78.8,7446482,47.8,8119421,52.2,3030781,3030781,1293780,42.7,1737001,57.3,19128428,96.9,12530463,63.5,3080534,15.6,73052,0.4,1668036,8.4,9236,0,3747614,19,1767107,8.9,616861,3.1,1568726,10231358,1265315,2610871,2728809,4017816,24.6,60.5,76.6,78.2,78.7,77.2,69.8,55.6,26.1,6.8,72.6,76.3,69.1,34.8,79.6,74.2,54.4,67.2,74.7,84.6,20.3,11.5,6.8,5.5,4.8,4.2,4.2,4.2,4,3.1,5.6,5.8,5.4,23.2,4.1,4.9,8.6,6.5,5.2,3.1
NorthCarolina,10146788,4933381,48.6,5213407,51.4,594593,5.9,644508,6.4,657271,6.5,688545,6.8,684686,6.7,1321286,13,1304270,12.9,1385796,13.7,674152,6.6,623090,6.1,944866,9.3,457145,4.5,166580,1.6,7849894,77.4,3756375,47.9,4093519,52.1,1568591,1568591,684988,43.7,883603,56.3,9877922,97.4,6989065,68.9,2182212,21.5,120843,1.2,275428,2.7,6081,0.1,931110,9.2,304293,3,268866,2.6,834194,5038243,593985,1287680,1723188,1703741,29.6,62.9,75.1,75.1,76.9,75.4,67.3,50.1,22.2,5.8,70.7,74.7,66.9,38.8,77.4,71.7,53.6,64.8,72.9,82,22,10.9,7.3,6,5.4,4.1,4,3.5,3,3.2,5.7,5.4,6,22.7,3.9,5,9.4,7.2,4.9,2.8
Ohio,11614373,5691600,49,5922773,51,692745,6,711735,6.1,740373,6.4,770170,6.6,777289,6.7,1500872,12.9,1380616,11.9,1546555,13.3,844210,7.3,764894,6.6,1080660,9.3,552480,4.8,251774,2.2,9005402,77.5,4359708,48.4,4645694,51.6,1884914,1884914,822082,43.6,1062832,56.4,11289941,97.2,9476221,81.6,1443510,12.4,18081,0.2,239025,2.1,4031,0,420081,3.6,109073,0.9,324432,2.8,925490,5752861,509237,1887731,1865078,1775101,38.4,69.7,78,78.2,78.6,77.3,68.9,55,24.2,6,73.3,76.7,70,37.7,80.4,73.8,45.2,68.1,76.6,85,17.2,9.8,6.3,5.8,4.8,4,3.4,2.9,2.9,2.6,5.2,5.6,4.8,23.7,3.4,4.6,12.7,6.3,4.2,2.1
Pennsylvania,12784227,6262870,49,6521357,51,709743,5.6,730999,5.7,757881,5.9,832809,6.5,830820,6.5,1674043,13.1,1481365,11.6,1737627,13.6,942174,7.4,865005,6.8,1239574,9.7,648670,5.1,333517,2.6,10109382,79.1,4892729,48.4,5216653,51.6,2221761,2221761,965024,43.4,1256737,56.6,12460473,97.5,10340877,80.9,1407047,11,23556,0.2,423180,3.3,3417,0,900002,7,262396,2.1,323754,2.5,894708,6462835,543477,2170334,1744185,2242218,33.1,64.6,78,78.5,78.8,77.4,70.6,55.6,25,6,73.1,76,70.3,34.4,80,74.1,48.7,67.6,76.3,85,18.7,11.2,6.4,5.4,4.8,4.1,3.9,3.4,3.1,3.7,5.3,5.7,4.9,24.1,3.9,4.7,10.5,6.2,4.4,2.7
Tennessee,6651194,3247058,48.8,3404136,51.2,404168,6.1,414174,6.2,427162,6.4,430207,6.5,448285,6.7,886029,13.3,837897,12.6,893927,13.4,444547,6.7,419543,6.3,628370,9.4,307956,4.6,108929,1.6,5147942,77.4,2473357,48,2674585,52,1045255,1045255,460325,44,584930,56,6511344,97.9,5177478,77.8,1114434,16.8,19053,0.3,116375,1.7,4798,0.1,347442,5.2,79206,1.2,139850,2.1,565554,3287522,378052,1102733,1036310,964848,34.1,66.9,74.3,74.7,75.1,73.6,63.4,49.3,22.8,6.7,69.6,74.1,65.3,35.6,76.8,70,46.1,64.4,73,82.5,16.5,9.9,7,5.1,4.6,4,3.1,2.7,3.4,2.3,5.1,4.9,5.3,21.9,3.4,4.5,8.5,6.1,4.1,2.5
Texas,27862596,13830953,49.6,14031643,50.4,2006911,7.2,2031248,7.3,2051493,7.4,2005735,7.2,1991929,7.1,4061590,14.6,3748838,13.5,3500664,12.6,1668559,6,1442786,5.2,2011707,7.2,965638,3.5,375498,1.3,20570902,73.8,10107352,49.1,10463550,50.9,3352843,3352843,1488306,44.4,1864537,55.6,27147882,97.4,20702709,74.3,3362283,12.1,135275,0.5,1300300,4.7,25228,0.1,10883279,39.1,1622087,5.8,714714,2.6,2144860,13917576,2306170,3589821,4255845,4270601,27.9,65,75,75.6,77.4,75.9,69.1,54.8,26.7,6.6,72.2,78.4,66,43.1,78.4,73.2,60.6,68.3,74.9,82.5,18.2,9.8,6.2,4.9,4.3,4,4,3.7,3.5,3.3,5.1,5.1,5.1,16.5,4,4.5,6.2,5.4,4.7,3
Washington,7288000,3639726,49.9,3648274,50.1,449944,6.2,466175,6.4,442606,6.1,450777,6.2,481943,6.6,1074803,14.7,944034,13,951227,13.1,486384,6.7,461294,6.3,654584,9,293733,4,130496,1.8,5658939,77.6,2806590,49.6,2852349,50.4,1078813,1078813,491452,45.6,587361,54.4,6873864,94.3,5516602,75.7,266977,3.7,94637,1.3,597215,8.2,48182,0.7,906451,12.4,350251,4.8,414136,5.7,476229,3865155,350634,836873,1324512,1405723,30.7,67,75.4,77.1,77.5,77.5,70,55.6,23.5,5.4,72.9,77.3,68.5,36.7,78.3,73.6,58.4,67.1,72.4,82.5,19.3,9.7,6.7,4.6,4.4,4,3.6,2.7,2.9,3.5,5,5.3,4.6,22.6,3.7,4.4,8.3,6.3,4.5,2.7
Wisconsin,5778709,2872921,49.7,2905788,50.3,334091,5.8,360129,6.2,365683,6.3,380691,6.6,404786,7,730022,12.6,685711,11.9,781660,13.5,429855,7.4,378820,6.6,529223,9.2,270063,4.7,127975,2.2,4493718,77.8,2215906,49.3,2277812,50.7,927261,927261,419230,45.2,508031,54.8,5638379,97.6,4941688,85.5,361653,6.3,52608,0.9,155252,2.7,1534,0,387015,6.7,125644,2.2,140330,2.4,374372,2977001,211714,846436,1009983,937935,47,76.2,82,83.3,84.1,82.6,74.9,56.7,22.9,6.5,78.3,80.9,75.7,44.7,83.7,78.6,55.9,73.7,80.2,86.4,11.2,7,5.3,3.9,3.2,2.7,2.7,2.5,2.3,2.1,3.8,3.9,3.6,17.4,2.7,3.3,7.5,4.2,3.5,1.8
