State,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces
Arizona,7171646,3565129,49.7,3606517,50.3,434032,6.1,441613,6.2,488738,6.8,477306,6.7,489653,6.8,979328,13.7,882618,12.3,852462,11.9,430467,6,436326,6.1,727956,10.2,398408,5.6,132739,1.9,5529647,77.1,2726338,49.3,2803309,50.7,1259103,17.6,579400,46,679703,54,6884666,96,5590505,78,336340,4.7,330599,4.6,237873,3.3,15661,0.2,2266342,31.6,373688,5.2,286980,4
California,39557045,19673553,49.7,19883492,50.3,2428493,6.1,2398894,6.1,2646096,6.7,2557470,6.5,2710448,6.9,6034398,15.3,5264457,13.3,5068026,12.8,2485050,6.3,2296376,5.8,3286461,8.3,1651296,4.2,729580,1.8,30571507,77.3,15074187,49.3,15497320,50.7,5667337,14.3,2521517,44.5,3145820,55.5,37552583,94.9,23535388,59.5,2283850,5.8,302792,0.8,5821585,14.7,155739,0.4,15540142,39.3,5453229,13.8,2004462,5.1
Colorado,5695564,2864761,50.3,2830803,49.7,335642,5.9,352145,6.2,364535,6.4,368833,6.5,374122,6.6,889656,15.6,781388,13.7,710218,12.5,362167,6.4,349003,6.1,502418,8.8,218031,3.8,87406,1.5,4428826,77.8,2215430,50,2213396,50,807855,14.2,369328,45.7,438527,54.3,5468094,96,4790677,84.1,237578,4.2,55146,1,180277,3.2,7585,0.1,1235127,21.7,196831,3.5,227470,4
Florida,21299325,10404676,48.8,10894649,51.2,1135392,5.3,1127602,5.3,1244592,5.8,1234024,5.8,1255590,5.9,2758515,13,2586704,12.1,2741968,12.9,1449290,6.8,1406864,6.6,2404234,11.3,1393550,6.5,561000,2.6,17071450,80.2,8246984,48.3,8824466,51.7,4358784,20.5,1965555,45.1,2393229,54.9,20685400,97.1,15899574,74.6,3410741,16,59870,0.3,593634,2.8,12841,0.1,5562452,26.1,708740,3.3,613925,2.9
Georgia,10519475,5120290,48.7,5399185,51.3,645488,6.1,683042,6.5,739018,7,754377,7.2,719378,6.8,1442243,13.7,1401044,13.3,1396330,13.3,667863,6.3,614264,5.8,896948,8.5,416680,4,142800,1.4,8016182,76.2,3835526,47.8,4180656,52.2,1456428,13.8,633675,43.5,822753,56.5,10233069,97.3,6127645,58.3,3319691,31.6,34485,0.3,436051,4.1,14049,0.1,1021754,9.7,301148,2.9,286406,2.7
Illinois,12741080,6266062,49.2,6475018,50.8,759456,6,762237,6,838140,6.6,835845,6.6,839026,6.6,1765517,13.9,1644390,12.9,1636054,12.8,855616,6.7,814251,6.4,1143329,9,587651,4.6,259568,2,9885278,77.6,4801941,48.6,5083337,51.4,1990548,15.6,869736,43.7,1120812,56.3,12400103,97.3,9135145,71.7,1793079,14.1,35846,0.3,717938,5.6,5317,0,2208868,17.3,712778,5.6,340977,2.7
Indiana,6691878,3295973,49.3,3395905,50.7,417774,6.2,430155,6.4,451395,6.7,459222,6.9,465439,7,874246,13.1,826473,12.4,841750,12.6,447600,6.7,426678,6.4,613699,9.2,310870,4.6,126577,1.9,5124821,76.6,2493916,48.7,2630905,51.3,1051146,15.7,462537,44,588609,56,6511237,97.3,5539927,82.8,637277,9.5,14040,0.2,154220,2.3,3470,0.1,472419,7.1,162303,2.4,180641,2.7
Louisiana,4659978,2276530,48.9,2383448,51.1,301857,6.5,297439,6.4,317930,6.8,308126,6.6,308893,6.6,645255,13.8,589714,12.7,567313,12.2,303589,6.5,299252,6.4,434897,9.3,211869,4.5,73844,1.6,3562393,76.4,1712995,48.1,1849398,51.9,720610,15.5,315499,43.8,405111,56.2,4554933,97.7,2877115,61.7,1509407,32.4,25657,0.6,76255,1.6,1133,0,239954,5.1,65366,1.4,105045,2.3
Maryland,6042718,2930350,48.5,3112368,51.5,361435,6,364571,6,385477,6.4,379728,6.3,384168,6.4,826526,13.7,775079,12.8,822740,13.6,418074,6.9,393879,6.5,546442,9,276084,4.6,108515,1.8,4704363,77.9,2246001,47.7,2458362,52.3,931041,15.4,401479,43.1,529562,56.9,5819703,96.3,3305047,54.7,1810885,30,13433,0.2,378985,6.3,7311,0.1,628435,10.4,304042,5,223015,3.7
Massachusetts,6902149,3350887,48.5,3551262,51.5,357223,5.2,369278,5.4,392598,5.7,457341,6.6,492981,7.1,990332,14.3,842140,12.2,921551,13.4,490589,7.1,450575,6.5,656546,9.5,327266,4.7,153729,2.2,5535023,80.2,2652764,47.9,2882259,52.1,1137541,16.5,492790,43.3,644751,56.7,6667405,96.6,5335175,77.3,537523,7.8,16198,0.2,472403,6.8,2775,0,846780,12.3,303331,4.4,234744,3.4
Michigan,9995915,4926816,49.3,5069099,50.7,569183,5.7,587011,5.9,619055,6.2,660528,6.6,690292,6.9,1291353,12.9,1165562,11.7,1290759,12.9,700756,7,700963,7,1009186,10.1,506974,5.1,204293,2,7831650,78.3,3817463,48.7,4014187,51.3,1720453,17.2,769203,44.7,951250,55.3,9703250,97.1,7825285,78.3,1376751,13.8,53012,0.5,325828,3.3,3907,0,517381,5.2,118467,1.2,292665,2.9
Minnesota,5611179,2793980,49.8,2817199,50.2,354932,6.3,360713,6.4,370367,6.6,356388,6.4,359550,6.4,759541,13.5,714967,12.7,689680,12.3,401080,7.1,355327,6.3,510486,9.1,262775,4.7,115373,2.1,4309132,76.8,2127007,49.4,2182125,50.6,888634,15.8,403054,45.4,485580,54.6,5436347,96.9,4629375,82.5,367653,6.6,60983,1.1,273126,4.9,2396,0,308013,5.5,102814,1.8,174832,3.1
Missouri,6126452,3003165,49,3123287,51,370408,6,373737,6.1,401199,6.5,391923,6.4,406398,6.6,819132,13.4,742343,12.1,753354,12.3,419591,6.8,413293,6.7,596623,9.7,313646,5.1,124805,2,4748726,77.5,2298091,48.4,2450635,51.6,1035074,16.9,456820,44.1,578254,55.9,5952588,97.2,5035197,82.2,704327,11.5,27705,0.5,121417,2,7385,0.1,253474,4.1,56557,0.9,173864,2.8
Nevada,3034392,1522374,50.2,1512018,49.8,184539,6.1,188880,6.2,201625,6.6,182398,6,180376,5.9,442713,14.6,405128,13.4,396167,13.1,191059,6.3,186387,6.1,291996,9.6,138844,4.6,44280,1.5,2345172,77.3,1169070,49.9,1176102,50.1,475120,15.7,223916,47.1,251204,52.9,2878562,94.9,1924976,63.4,280385,9.2,44666,1.5,250137,8.2,19612,0.6,881145,29,358786,11.8,155830,5.1
NewYork,19542209,9491313,48.6,10050896,51.4,1139842,5.8,1078979,5.5,1154737,5.9,1202251,6.2,1294057,6.6,2872898,14.7,2433825,12.5,2557338,13.1,1327824,6.8,1268393,6.5,1811595,9.3,967841,5,432629,2.2,15477524,79.2,7411537,47.9,8065987,52.1,3212065,16.4,1381107,43,1830958,57,18894554,96.7,12375601,63.3,3069259,15.7,84312,0.4,1666113,8.5,9424,0,3752523,19.2,1689845,8.6,647655,3.3
NorthCarolina,10383620,5052244,48.7,5331376,51.3,597192,5.8,620626,6,679947,6.5,701383,6.8,682328,6.6,1382310,13.3,1310404,12.6,1378087,13.3,677844,6.5,664925,6.4,1013996,9.8,495511,4.8,179067,1.7,8086762,77.9,3875167,47.9,4211595,52.1,1688574,16.3,737862,43.7,950712,56.3,10085477,97.1,7098569,68.4,2222533,21.4,120845,1.2,306682,3,10218,0.1,995529,9.6,326630,3.1,298143,2.9
Ohio,11689442,5732095,49,5957347,51,693129,5.9,691126,5.9,752239,6.4,773272,6.6,752641,6.4,1533104,13.1,1396763,11.9,1488201,12.7,816288,7,796516,6.8,1152361,9.9,595517,5.1,248285,2.1,9099006,77.8,4405595,48.4,4693411,51.6,1996163,17.1,874877,43.8,1121286,56.2,11331044,96.9,9470940,81,1446306,12.4,25672,0.2,271762,2.3,4228,0,455918,3.9,112136,1,358398,3.1
Pennsylvania,12807060,6271620,49,6535440,51,700416,5.5,708163,5.5,775827,6.1,815621,6.4,812406,6.3,1695073,13.2,1496113,11.7,1659541,13,916749,7.2,894782,7,1311159,10.2,707570,5.5,313640,2.4,10159443,79.3,4919474,48.4,5239969,51.6,2332369,18.2,1020825,43.8,1311544,56.2,12473515,97.4,10256084,80.1,1428406,11.2,21418,0.2,455027,3.6,5008,0,974763,7.6,307572,2.4,333545,2.6
Tennessee,6770010,3302191,48.8,3467819,51.2,404439,6,413172,6.1,434765,6.4,439465,6.5,437346,6.5,914783,13.5,846438,12.5,883961,13.1,445131,6.6,445713,6.6,658560,9.7,332775,4.9,113462,1.7,5260635,77.7,2527405,48,2733230,52,1104797,16.3,489258,44.3,615539,55.7,6618218,97.8,5235588,77.3,1137801,16.8,19136,0.3,119046,1.8,5494,0.1,372901,5.5,101153,1.5,151792,2.2
Texas,28701845,14250184,49.6,14451661,50.4,2010781,7,1984419,6.9,2171522,7.6,2069341,7.2,1988685,6.9,4181960,14.6,3910623,13.6,3550999,12.4,1694490,5.9,1539426,5.4,2174294,7.6,1042370,3.6,382935,1.3,21302361,74.2,10473771,49.2,10828590,50.8,3599599,12.5,1605880,44.6,1993719,55.4,27937855,97.3,21099066,73.5,3527027,12.3,149997,0.5,1430857,5,21463,0.1,11368844,39.6,1709445,6,763990,2.7
Washington,7535591,3766859,50,3768732,50,458194,6.1,466487,6.2,468155,6.2,452515,6,475177,6.3,1153369,15.3,1006328,13.4,930921,12.4,488025,6.5,472433,6.3,710781,9.4,325150,4.3,128056,1.7,5873652,77.9,2920360,49.7,2953292,50.3,1163987,15.4,532355,45.7,631632,54.3,7082958,94,5633263,74.8,291808,3.9,97329,1.3,661781,8.8,53924,0.7,970353,12.9,344853,4.6,452633,6
Wisconsin,5813568,2891282,49.7,2922286,50.3,330651,5.7,342754,5.9,374768,6.4,378566,6.5,394807,6.8,735765,12.7,706676,12.2,738357,12.7,419486,7.2,405255,7,571672,9.8,290056,5,124755,2.1,4541463,78.1,2240074,49.3,2301389,50.7,986483,17,449922,45.6,536561,54.4,5667055,97.5,4957243,85.3,370632,6.4,50364,0.9,165380,2.8,1961,0,403833,6.9,121475,2.1,146513,2.5
