MetroArea,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces
"Atlanta-Sandy Springs-Roswell, GA Metro Area",5950828,2877423,48.4,3073405,51.6,369235,6.2,398969,6.7,425321,7.1,420072,7.1,385006,6.5,837028,14.1,835812,14,840932,14.1,375588,6.3,330988,5.6,459776,7.7,201408,3.4,70693,1.2,4500088,4500088,2137183,47.5,2362905,52.5,731877,731877,317079,43.3,414798,56.7,5788591,97.3,3140829,52.8,2038334,34.3,24159,0.4,365643,6.1,6160,0.1,646761,10.9,213466,3.6,162237,2.7
"Baltimore-Columbia-Towson, MD Metro Area",2802789,1350529,48.2,1452260,51.8,167016,6,165069,5.9,176852,6.3,172559,6.2,177462,6.3,403051,14.4,355837,12.7,370317,13.2,193218,6.9,186444,6.7,254461,9.1,128310,4.6,52193,1.9,2190753,2190753,1038678,47.4,1152075,52.6,434964,434964,185935,42.7,249029,57.3,2704306,96.5,1662011,59.3,817688,29.2,5770,0.2,157866,5.6,5308,0.2,169909,6.1,55663,2,98483,3.5
"Boston-Cambridge-Newton, MA-NH Metro Area",4875390,2370248,48.6,2505142,51.4,257276,5.3,260614,5.3,271396,5.6,320059,6.6,348073,7.1,739246,15.2,609805,12.5,652669,13.4,344276,7.1,306939,6.3,440574,9,219555,4.5,104908,2.2,3912534,3912534,1879142,48,2033392,52,765037,765037,331367,43.3,433670,56.7,4702804,96.5,3663633,75.1,407229,8.4,10405,0.2,400556,8.2,1926,0,562958,11.5,219055,4.5,172586,3.5
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1130152,547590,48.5,582562,51.5,61095,5.4,61738,5.5,64156,5.7,72692,6.4,70346,6.2,157107,13.9,126378,11.2,145226,12.9,82661,7.3,83724,7.4,114789,10.2,60469,5.4,29771,2.6,901997,901997,431617,47.9,470380,52.1,205029,205029,88664,43.2,116365,56.8,1099452,97.3,895236,79.2,137375,12.2,5613,0.5,37152,3.3,22,0,58971,5.2,24054,2.1,30700,2.7
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2569213,1246886,48.5,1322327,51.5,156383,6.1,169329,6.6,178651,7,174002,6.8,152916,6,358444,14,357949,13.9,363207,14.1,168503,6.6,142053,5.5,213036,8.3,100661,3.9,34079,1.3,1958453,1958453,933442,47.7,1025011,52.3,347776,347776,149826,43.1,197950,56.9,2498869,97.3,1707921,66.5,578901,22.5,11082,0.4,102826,4,1217,0,269910,10.5,96922,3.8,70344,2.7
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9497790,4652999,49,4844791,51,571033,6,576472,6.1,634560,6.7,619247,6.5,617434,6.5,1366686,14.4,1262664,13.3,1248425,13.1,628719,6.6,589145,6.2,806005,8.5,401017,4.2,176383,1.9,7338745,7338745,3549660,48.4,3789085,51.6,1383405,1383405,599048,43.3,784357,56.7,9223740,97.1,6266286,66,1553178,16.4,29510,0.3,646746,6.8,4964,0.1,2128297,22.4,723056,7.6,274050,2.9
"Cincinnati, OH-KY-IN Metro Area",2189442,1073504,49,1115938,51,137038,6.3,136684,6.2,148992,6.8,148126,6.8,143405,6.5,297065,13.6,269097,12.3,282916,12.9,156800,7.2,137884,6.3,196561,9,95075,4.3,39799,1.8,1678948,1678948,812104,48.4,866844,51.6,331435,331435,145196,43.8,186239,56.2,2129737,97.3,1776549,81.1,266491,12.2,2862,0.1,60327,2.8,1381,0.1,73212,3.3,22127,1,59705,2.7
"Cleveland-Elyria, OH Metro Area",2057009,994750,48.4,1062259,51.6,114523,5.6,112803,5.5,127995,6.2,127060,6.2,126288,6.1,264176,12.8,239385,11.6,265992,12.9,148804,7.2,149013,7.2,215240,10.5,115954,5.6,49776,2.4,1623135,1623135,772010,47.6,851125,52.4,380970,380970,163820,43,217150,57,1992998,96.9,1513150,73.6,403531,19.6,4928,0.2,47596,2.3,827,0,124444,6,22966,1.1,64011,3.1
"Dallas-Fort Worth-Arlington, TX Metro Area",7540371,3709694,49.2,3830677,50.8,520700,6.9,534328,7.1,567730,7.5,532388,7.1,490310,6.5,1118064,14.8,1067671,14.2,997457,13.2,460091,6.1,398131,5.3,525973,7,237630,3.2,89898,1.2,5585536,5585536,2714204,48.6,2871332,51.4,853501,853501,375729,44,477772,56,7320251,97.1,5102978,67.7,1197972,15.9,45063,0.6,534650,7.1,5896,0.1,2189777,29,433692,5.8,220120,2.9
"Denver-Aurora-Lakewood, CO Metro Area",2932415,1465425,50,1466990,50,176187,6,184058,6.3,186388,6.4,176611,6,169762,5.8,493928,16.8,431914,14.7,380881,13,185917,6.3,169060,5.8,236968,8.1,99867,3.4,40874,1.4,2273326,2273326,1129048,49.7,1144278,50.3,377709,377709,169039,44.8,208670,55.2,2812292,95.9,2379650,81.1,167061,5.7,23705,0.8,124068,4.2,3277,0.1,680017,23.2,114531,3.9,120123,4.1
