MetroArea,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
"Detroit-Warren-Dearborn, MI Metro Area",322609,2228297,204782,565098,758368,774231,34,69.1,80.7,79.8,77.7,76.9,69.1,52.2,22.1,5.5,73.2,78.3,68.2,35.2,79.1,73.6,46.5,65.6,75.4,85,17.3,10.9,6.2,5.1,4.7,4.2,3.6,3,4,5.8,5.2,5.3,5.1,22.8,3.8,4.5,11,6.4,4.5,2.5
"Green Bay, WI Metro Area",13649,169767,12757,48323,57232,48563,48.3,81.4,87.5,84,87.8,83.9,76.4,55.3,22.6,5.1,80.7,84.4,77,51.2,84.3,80.6,69.4,74.9,82.9,86.6,5.6,3.2,2.4,2.4,2.5,1.3,0.6,1.9,1.9,5.4,2,1.9,2.1,7.1,1.7,1.9,2.8,2.7,1.8,1.1
"Houston-The Woodlands-Sugar Land, TX Metro Area",481070,3646701,590833,853977,1027978,1253759,26.2,64.5,78.6,77.4,79,77.3,70.1,57.8,28,8.7,74.1,82.3,65.9,40.9,79.4,75.2,65.2,68.9,76,83.7,20.8,9.8,5.3,4.9,3.8,3.9,3.6,5,4.3,4.4,4.8,4.9,4.7,17.3,3.8,4.3,3.9,5.7,4.7,3.2
"Indianapolis-Carmel-Anderson, IN Metro Area",128515,1068791,106927,277423,297711,404176,36.9,75.1,81.2,80.8,80.3,80.6,73.9,56.8,26.5,6.1,77,81.2,73,36.6,83,77.2,52.2,71.5,78.6,86.7,13.5,6.1,5.7,3.6,3.9,3.4,3,2,6.3,4,4,4.1,3.8,21.4,2.9,3.7,10.2,5.3,3.5,1.9
"Jacksonville, FL Metro Area",99334,795956,73375,219695,261458,264083,32.3,65,76.9,77.2,78.5,77.2,69.5,55.1,22.7,5.2,73,77.4,68.8,37,78.6,73.9,52.4,71.1,73.8,82.4,17.4,10.6,6.3,4.5,5.5,3.7,2,3.7,2.7,3,5,4.6,5.5,23.8,3.6,4.5,10.1,4.7,5.5,2.2
"Kansas City, MO-KS Metro Area",110535,1134112,82535,263924,345990,440858,44.8,76.2,82.3,83.5,83.7,82.2,71.9,58.1,27.6,7.4,78.4,82.5,74.3,38.6,83,78.6,59.2,69.7,80.5,86.1,11.3,6.8,4.4,3.1,2.8,3.4,2.1,2.5,2.6,2.1,3.5,3.8,3.1,19.5,2.6,3.1,8.8,5.5,2.3,1.7
"Las Vegas-Henderson-Paradise, NV Metro Area",166676,1154857,171019,338728,402323,289448,30.3,71.5,75.8,78.2,78.7,75.4,66.4,50.8,22.4,5.9,72.9,77.1,68.7,35.9,79.1,73.1,63.8,69.5,74.3,80.9,17.1,8.8,5.9,6.6,4.7,4.8,4.2,3.9,4.4,11.2,5.5,5.6,5.3,23.2,4,5.1,6.4,6.7,4.8,3
"Los Angeles-Long Beach-Anaheim, CA Metro Area",933587,7209600,1290335,1451503,1978417,2584334,22.4,63.8,78.3,80.3,78.9,78.3,70.4,58.9,27.6,7.1,74.5,80.5,68.5,38.5,79.7,75.8,64.5,71.7,76.7,83.1,20.1,9.6,5.9,4.5,4.3,3.8,4.2,3.5,3.9,4.5,4.9,4.7,5.1,17.8,3.9,4.4,5.3,5.1,4.6,3.4
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",418864,3225683,375781,869846,939488,1132303,24,65.1,77.8,78.1,81,80.9,72.7,58,27.2,6.8,75.4,79.9,71,39.4,80.8,76.5,62.5,72.2,78.7,82.6,20.2,9.7,5.6,5.5,4,3.3,3.3,4.5,3.8,4.7,4.7,4.5,4.9,19.4,3.5,4.2,7.4,4.8,4.3,2.8
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",171037,1990622,113691,366434,604172,874886,46.7,77.1,86.4,88,87.5,85.9,80.5,62.6,27.6,7.1,82.7,85.2,80.3,42.4,86.7,83.4,63.6,76.7,83.2,88.9,8.5,6.3,3.6,2.1,2.6,2.3,2.2,3.8,2,1.9,3,3.1,2.9,17.1,2.3,2.6,6.9,3.6,3.1,1.6
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",121015,1038339,92875,269714,292508,399465,38.1,75.9,83,83.6,82,80.9,70,59,29.3,7.5,78,83.6,72.7,44.3,83,78.3,57.8,71.6,79.7,86.4,15.6,7.1,3.9,3.2,2.6,2.5,3.5,2.3,1.2,4.9,3.4,3.3,3.5,17.4,2.3,2.9,6,3.9,3,1.8
"New Orleans-Metairie, LA Metro Area",113404,630395,78154,185922,204960,215573,25,59.8,77.1,76.3,75.5,73.3,68,50.5,26.7,8.7,70.1,73.1,67.3,31.8,78.2,71.2,47.3,63.7,73.9,83.8,20.4,12.6,4.7,6.7,6.1,6.2,3.9,2.8,2.7,1.8,6.1,6,6.1,29.2,3.8,5.5,15.8,6.5,5.1,2.6
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",1262111,10679340,1183224,2476480,2412346,4748600,21.5,60.6,79.5,81.1,81.1,79.7,73.1,60.3,29.1,7.4,75.4,80.1,71,35.3,80.9,77.2,58.5,70.9,76.8,85.3,19.5,10.7,5.4,4.4,3.9,3.7,3.9,3.5,3.4,3.8,4.7,4.7,4.6,21.4,3.6,4.1,7.1,5,4.6,2.9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",410043,3172649,248692,892817,801035,1312269,32,65.9,78.6,80.8,80,78.4,71.8,59.6,28.7,8.2,74.9,77.4,72.5,34.3,81.2,75.9,49.9,67.4,77.2,85.9,16,10.1,7,5,4.7,4.4,4.6,3.5,4.6,2.7,5.4,5.9,4.9,23.9,4.1,4.9,10.2,7.3,5.2,2.7
"Phoenix-Mesa-Scottsdale, AZ Metro Area",305597,2461512,306647,559451,826125,806424,34.7,72,77.9,77.7,78.5,79,68.5,54.6,22.9,5.9,74.3,79.5,69.1,40.2,79.9,74.6,60.1,68.5,75.7,83.3,15.7,8.4,5.8,3.8,3.4,2.9,4.3,3.4,3.1,3.5,4.3,4.4,4.3,17.1,3.4,3.8,6.1,5.9,3.4,2.3
"Pittsburgh, PA Metro Area",143139,1204319,52733,342356,344666,490286,37.4,68.1,83,83.1,83.6,80.6,72.5,58.6,25.7,7,76.6,80.3,72.9,35.8,82.2,77.5,47.4,68.5,78.8,86.1,12.3,8.4,4.8,3.5,3.4,3.2,3.6,3.3,2.8,4.1,4,4.1,3.9,19.6,3,3.6,8.6,5.7,3.3,2.2
"San Francisco-Oakland-Hayward, CA Metro Area",230628,2717687,235306,399834,623568,1441541,27.4,67.6,83.1,84.2,84.6,81.2,75.3,61.5,31,7.6,78.9,83.4,74.3,37.8,82.8,80,67.3,73.2,76.2,85.5,14.6,7.9,3.8,3.9,3.2,3.3,3.2,3.3,3.1,2.3,3.8,3.8,3.7,21.5,2.9,3.4,4.6,4,4.5,2.7
"Seattle-Tacoma-Bellevue, WA Metro Area",203161,2253419,149749,408136,670222,1013576,31.9,69,82.3,81.5,82.3,81,74.9,59.4,27.6,5.6,77.8,82.4,73,37.6,82.1,78.7,65.2,72.7,76.2,84.7,15.6,8.3,3.8,3.1,2.9,3,2.3,3,1.5,3.8,3.5,3.6,3.4,19.1,2.7,3,6.2,3.7,3.3,2.3
"Tampa-St. Petersburg-Clearwater, FL Metro Area",224601,1584022,153623,462949,498989,534767,28.9,69.4,79.7,77.1,79.1,77.2,67,50.3,21.2,5.2,72.8,76.8,69,34.5,78.9,73.2,55.2,68,74.4,81.7,22.2,9.8,5.8,4.6,4.2,3.5,4.1,3.8,3.7,6.3,4.8,4.7,4.8,22.7,3.4,4.3,7.4,5.2,4.4,2.8
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",259891,3543965,274529,586414,766502,1827652,30.1,68.8,82.7,84.1,83.7,84.1,78.2,65.3,34.9,8.7,79.9,83.9,76.1,40.4,83.5,81.2,69.4,74.5,77.9,86.5,16.8,10,5.5,3.6,3.5,3.4,3.5,3.1,3,5,4.3,4,4.7,25.9,3.3,3.7,6,6.2,4.8,2.3
