MetroArea,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
"Atlanta-Sandy Springs-Roswell, GA Metro Area",337830,3217090,293456,740725,865063,1321104,28.2,67.2,81.7,81.3,82.1,81.2,72.3,57,25.1,7.5,76.8,82.1,71.9,41.8,81.5,78,60.8,71.2,78,85.6,15.8,8.2,5,4.5,2.8,2.8,2.8,3,3.5,2.6,3.8,3.7,4,17.9,2.9,3.3,5.7,4.5,3.8,2.2
"Baltimore-Columbia-Towson, MD Metro Area",153160,1501762,110127,351500,388172,659068,30.7,64.7,80.9,79.9,82.4,81.7,74.2,58.7,27.9,7.9,76.3,78.6,74.1,34.6,81.8,77.7,52.6,69.2,77.6,86.5,15.7,9.4,5.6,5.9,3.4,3.1,3.6,2.1,3,1.7,4.4,4.3,4.5,25.3,3.2,3.9,7.4,5.9,4.5,2.2
"Boston-Cambridge-Newton, MA-NH Metro Area",249711,2679301,180120,514635,566883,1391297,36.3,68.2,83.1,83.8,84.7,81.9,76.2,65.4,33.2,8.8,78.9,81.7,76.2,34.6,84.1,80.3,58.4,71.6,79.6,86.7,15.5,8.6,4.5,3.2,3.7,3.8,4,3.5,3.4,1.4,4.3,4.3,4.2,21.8,3.4,3.8,11.1,5.6,3.8,2.5
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",85061,569256,42877,146700,188304,217215,38.9,69.2,80.4,79.6,82.9,77.3,69.4,57.3,21.8,6.4,74.7,77.1,72.3,34.7,81.7,75.3,46.7,66.7,75.9,86.2,10.3,6.4,4.3,5.5,3.1,3,3.8,2.4,1.8,0,3.9,4.3,3.4,18.8,2.7,3.6,8.2,4.1,3.9,2.6
"Charlotte-Concord-Gastonia, NC-SC Metro Area",150262,1378804,136266,298081,420174,535635,37.5,72.2,80.4,83.6,81.7,80.9,73.5,57.3,22.3,6.8,77.5,83.8,71.5,42.3,81.9,78.1,60.9,72,78,85.9,16.9,7.6,5.5,3.4,2.6,3.1,3.3,1.7,4.4,3.4,3.7,3.4,4,15.8,2.8,3.2,6.4,4.4,3.9,1.6
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",565012,5083495,496047,1143934,1366520,2089138,31.3,68.3,80.2,82.3,81.7,80.8,73,59.3,27.2,6.7,76.7,81.6,71.9,36.4,81.9,77.7,60,69.8,77.8,86.1,18.3,10.7,6.7,5.1,4.3,3.9,4.6,4,3.2,3.2,5.3,5.2,5.4,26.1,3.9,4.7,8.3,7.3,5.2,2.5
"Cincinnati, OH-KY-IN Metro Area",139176,1129799,83452,321539,325285,413486,39.7,75,82.5,79.8,82.3,80.2,73.2,57.5,27.3,8.2,77,80.8,73.3,40.8,82.5,77.3,49.4,71.3,78.4,86.7,13.1,6.8,3.3,4.3,2.8,2.7,2.6,2.5,1.8,3.4,3.4,3.9,3,16.7,2.5,3,11.2,4.1,2.9,1.3
"Cleveland-Elyria, OH Metro Area",153728,1024513,81386,277595,337570,370819,33.4,71.9,81.7,81.3,79.8,80.6,71.6,56.7,27,7.1,75.6,77.9,73.4,36.4,82.4,76.1,49,69,77,86.4,21.2,9.2,5.4,5.3,5,4.1,3.7,3.1,3,2,5,5.6,4.3,24.5,3.3,4.5,13.2,6.9,4.2,2
"Dallas-Fort Worth-Arlington, TX Metro Area",430779,4065232,550078,904474,1120500,1466362,31.5,71.9,79.6,80.5,81.4,80.5,72.9,61.8,29.9,8.9,77.3,85,69.7,41.7,81.6,77.9,66.5,73.1,79.5,83.9,13.9,7.5,5.3,3.4,3.3,2.8,3.7,3.1,3.3,2.3,3.9,3.4,4.5,16.1,3.1,3.5,4.6,4.4,3.8,2.5
"Denver-Aurora-Lakewood, CO Metro Area",132027,1684084,140423,316519,445443,759315,40.8,80.7,86.1,84.8,83.7,84.2,75.8,63,30.5,7.9,81.3,85.9,76.6,41.3,85.1,81.4,66.6,75.2,80.9,86.9,12.3,5.1,3.5,2.8,3.1,2.4,2.6,2.8,2.4,2,3.1,3.4,2.7,16.5,2.5,2.9,3.8,4,2.8,2.4
